statement_id	register	record_unit_id	page	events	source_present	quantity_present	path_present	target_present	receiver_whole_card_present	strict_four_slot_formula	four_slot_with_receiver	source_values_de	quantity_values_de	path_values_de	target_values_de	source_order_formula
H1-S001	HERBAL	H1	f10r	10	YES	YES	YES	NO	YES	NO	YES	aus dem laufenden Pflanzenansatz	Sollmaß	Flüssigkeit aus dem Lauf entnehmen	ARBEITSFACH	X > X > S > X > T > P > X > X > Q > X
H1-S002	HERBAL	H1	f10r	4	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X > X > X > X
H2-S001	HERBAL	H2	f10r	9	NO	YES	NO	NO	NO	NO	NO	NONE	auf Sollmaß bereitstellen | Sollmaß	NONE	NONE	X > X > X > Q > X > X > X > Q > X
H2-S002	HERBAL	H2	f10r	8	YES	YES	NO	NO	NO	NO	NO	aus dem laufenden Pflanzenansatz	Sollmaß	NONE	NONE	X > X > X > X > X > X > Q > S
H2-S003	HERBAL	H2	f10r	7	NO	YES	NO	NO	NO	NO	NO	NONE	bis zur Sollstufe zuführen | auf Sollmaß abziehen	NONE	NONE	X > X > X > X > Q > X > Q
H3-S001	HERBAL	H3	f11r	7	NO	YES	NO	YES	NO	NO	NO	NONE	Pflanzenmaterial bis zum Sollmaß halten	NONE	bei der Zielstelle „dicht beblätterte Pflanze mit blauer Blütenkrone“ halten	X > T > X > Q > X > X > X
H3-S002	HERBAL	H3	f11r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
H3-S003	HERBAL	H3	f11r	5	NO	YES	NO	NO	NO	NO	NO	NONE	Sollmaß	NONE	NONE	X > X > X > X > Q
H3-S004	HERBAL	H3	f11r	4	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X > X > X > X
H4-S001	HERBAL	H4	f55v	5	NO	YES	NO	NO	NO	NO	NO	NONE	Sollmaß setzen | Sollmaß | eine Stoffportion davon zuführen | eine Stoffportion davon zuführen	NONE	NONE	Q > Q > Q > Q > X
