occurrence_id	event_id_sha256	page	locus	group_index	group_count	record_ordinal	field_ordinal	within_field_position	pre_reveal_role	confidence	ownership_rationale
O01	981b2d9e38d668534aad	f81v	f81v.2	1	12	1	1	ONLY	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Upper prose is remote from the large communal pool and has no singular connector; at most it belongs to the page apparatus.
O02	3d19084425f7704526bb	f81v	f81v.17	4	9	1	2	LAST	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Middle prose remains a continuous block above the pool without a one-object ownership device.
O03	fd845f5d08d196b8f2eb	f81v	f81v.18	6	10	1	2	LAST	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	The line is continuous prose above the communal pool; proximity cannot select one figure or station.
O04	c5505ccf625d48dbe300	f81v	f81v.18	7	10	1	3	ONLY	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Same physical line and page-owned prose block as O03; field division does not create a visible owner.
O05	e2f1e1401c9968881c2b	f81v	f81v.18	8	10	1	4	ONLY	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Same physical line and page-owned prose block as O03; field division does not create a visible owner.
O06	89d3c81b04de86110894	f81v	f81v.24	6	10	1	2	LAST	VESSEL_POOL_OR_CONTAINER	LOW	Lower prose approaches the large green communal pool, but no line or pointer assigns the text exclusively to it.
O07	703ad549c02364938489	f81v	f81v.27	4	7	1	2	ONLY	VESSEL_POOL_OR_CONTAINER	MEDIUM	Lowest prose line lies immediately over the large bounded pool and is more plausibly pool-owned than figure-owned.
O08	6a1a94579224e49768a2	f82r	f82r.2	5	8	1	3	LAST	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Upper prose is fitted between a left figure, a central vessel and a right figure; none singularly owns this cell.
O09	4309ffd0f68b02ac6337	f82r	f82r.7	4	9	1	2	LAST	JUNCTION_OR_INTERMEDIATE_STATION	LOW	Upper block wraps beside the central decorated vessel/nozzle, but proximity is shared with flanking figures.
O10	ee1f24f1f8b7a97fa77a	f82r	f82r.19	4	5	1	1	LAST	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Beginning of the large lower prose block is separated from individual illustrated stations and reads as configuration-owned.
O11	a6fb4d07598629df692d	f82r	f82r.23	8	9	1	2	ONLY	VESSEL_POOL_OR_CONTAINER	LOW	Lower prose is spatially above the large green pool complex but lacks an explicit ownership line.
O12	f715d0868a028c99b09b	f82r	f82r.26	2	9	1	1	LAST	VESSEL_POOL_OR_CONTAINER	MEDIUM	Near-bottom prose directly precedes the multi-figure pool; the pool is the clearest visible collective owner.
O13	5481c3785e88955ab2df	f82r	f82r.27	4	8	1	3	ONLY	VESSEL_POOL_OR_CONTAINER	MEDIUM	The seven-cell bottom line borders the communal pool, but its cells have no seven separate drawn stations.
O14	120b9513473a6bd847a4	f82r	f82r.27	7	8	1	6	ONLY	VESSEL_POOL_OR_CONTAINER	MEDIUM	Nonadjacent cell on the same bottom line as O13 and under the same collective pool ownership; no cell-level visual split is licensed.
O15	214317415e27e8ed7f1a	f83r	f83r.3	7	10	1	3	LAST	CONDUIT_PATH_OR_FLOW	LOW	Top prose is adjacent to the upper-left spraying figure/path, but it remains a continuous block without a connector.
O16	a5614b95b8e8940176a2	f83r	f83r.6	7	9	1	3	LAST	CONDUIT_PATH_OR_FLOW	LOW	Top prose remains beside the visible spray trajectory from the upper-left figure; ownership is only regional.
O17	1a6a1aca4db3c66850f8	f83r	f83r.6	8	9	1	4	ONLY	CONDUIT_PATH_OR_FLOW	LOW	Same line and regional spray/path ownership as O16; field segmentation is not a visual pointer.
