occurrence_id	locus	field	family	committed_surface	pre_reveal_role	confidence
O01	f81v.2	F1	V-Q	qokedy	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW
O02	f81v.17	F2	V-S	shedy	VESSEL_POOL_OR_CONTAINER	MEDIUM
O03	f81v.18	F2	V-S	shedy	VESSEL_POOL_OR_CONTAINER	MEDIUM
O04	f81v.18	F3	V-Q	qokedy	VESSEL_POOL_OR_CONTAINER	MEDIUM
O05	f81v.18	F4	V-Q	qokedy	VESSEL_POOL_OR_CONTAINER	MEDIUM
O06	f81v.24	F2	V-S	cheedy	VESSEL_POOL_OR_CONTAINER	MEDIUM
O07	f81v.27	F2	V-S	tedy	VESSEL_POOL_OR_CONTAINER	HIGH
O08	f82r.2	F3	V-QE	qokeedy	JUNCTION_OR_INTERMEDIATE_STATION	MEDIUM
O09	f82r.7	F2	V-S	shedy	JUNCTION_OR_INTERMEDIATE_STATION	MEDIUM
O10	f82r.19	F1	V-QE	qokeedy	VESSEL_POOL_OR_CONTAINER	LOW
O11	f82r.23	F2	V-L	lchedy	VESSEL_POOL_OR_CONTAINER	MEDIUM
O12	f82r.26	F1	V-QE	qokeedy	VESSEL_POOL_OR_CONTAINER	HIGH
O13	f82r.27	F3	V-QE	qokeedy	VESSEL_POOL_OR_CONTAINER	HIGH
O14	f82r.27	F6	V-QE	qokeedy	VESSEL_POOL_OR_CONTAINER	HIGH
O15	f83r.3	F3	V-L	lchedy	TERMINAL_OUTLET_OR_ENDPOINT	LOW
O16	f83r.6	F3	V-QE	qokeedy	TERMINAL_OUTLET_OR_ENDPOINT	LOW
O17	f83r.6	F4	V-L	lchedy	TERMINAL_OUTLET_OR_ENDPOINT	LOW
O18	f83r.11	F1	V-S	shedy	FIGURE_OR_BODY	MEDIUM
O19	f83r.11	F2	V-Q	qokedy	FIGURE_OR_BODY	MEDIUM
O20	f83r.11	F4	V-L	lchedy	FIGURE_OR_BODY	MEDIUM
O21	f83r.14	F2	V-QE	qokeedy	FIGURE_OR_BODY	MEDIUM
O22	f83r.14	F3	V-S	shedy	FIGURE_OR_BODY	MEDIUM
O23	f83r.14	F5	V-L	lchedy	FIGURE_OR_BODY	MEDIUM
O24	f83r.15	F3	V-L	lchedy	FIGURE_OR_BODY	MEDIUM
O25	f83r.20	F3	V-Q	qokedy	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW
O26	f83r.20	F4	V-Q	qokedy	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW
O27	f83r.22	F2	V-QE	qokeedy	CONDUIT_PATH_OR_FLOW	MEDIUM
O28	f83r.24	F1	V-S	shedy	CONDUIT_PATH_OR_FLOW	MEDIUM
O29	f83r.25	F1	V-QE	qokeedy	CONDUIT_PATH_OR_FLOW	MEDIUM
O30	f83r.25	F2	V-Q	qokedy	CONDUIT_PATH_OR_FLOW	MEDIUM
O31	f83r.26	F1	V-S	shedy	CONDUIT_PATH_OR_FLOW	MEDIUM
O32	f83r.27	F1	V-QE	qokeedy	CONDUIT_PATH_OR_FLOW	MEDIUM
O33	f83r.28	F1	V-Q	qokedy	JUNCTION_OR_INTERMEDIATE_STATION	LOW
O34	f83r.28	F2	V-S	shedy	JUNCTION_OR_INTERMEDIATE_STATION	LOW
O35	f83r.37	F2	V-L	lchedy	VISUALLY_UNOWNED	LOW
O36	f83r.37	F3	V-S	shedy	VISUALLY_UNOWNED	LOW
O37	f83r.41	F1	V-L	lchedy	VISUALLY_UNOWNED	LOW
O38	f83r.44	F1	V-S	shedy	VISUALLY_UNOWNED	LOW
