occurrence_id	visual_role	confidence	ownership_rationale
R4O01	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Upper prose block is remote from the large lower pool and has no object-level leader or caption boundary; only page-level ownership is defensible.
R4O02	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Lower prose block is laid out above and around the approach to the single large pool, but no field is tied to one bather or station.
R4O03	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Same lower prose block and pool-level ownership as the adjacent line; field boundaries have no drawn counterparts.
R4O04	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Same physical line as R4O03; separate short field does not create a distinct visible owner.
R4O05	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Same physical line as R4O03; separate short field does not create a distinct visible owner.
R4O06	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Late lower prose remains above the communal pool and its feeding path; no single figure or endpoint is selected.
R4O07	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Final lower prose line lies nearest the pool complex but is not a label attached to a particular bather, inlet, or outlet.
R4O08	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Upper f82r prose is interleaved with several figures and stacked vessels; the field cannot be assigned uniquely among them.
R4O09	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Late line of the upper apparatus block spans the page beneath multiple drawn components without a unique leader.
R4O10	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	The middle text band lies between the reclining figure apparatus and the lower complex; exact ownership is ambiguous after image-first reflow.
R4O11	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	This lower central prose block most plausibly belongs to the lower multi-figure configuration as a whole, not one body or vessel.
R4O12	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Late lower-block line remains a configuration-level entry above the green multi-figure complex.
R4O13	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	One of seven cells on the final line above the lower complex; no sevenfold drawn station alignment is visible.
R4O14	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Same seven-cell line and same configuration owner as R4O13; field ordinal does not supply a visual station.
R4O15	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Upper f83r prose is adjacent to a spraying figure and conduits, but the line spans a general text block with no local leader.
R4O16	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Upper block remains compatible with figure, spray, and conduit ownership, so only the assembled configuration is assigned.
R4O17	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Same physical line as R4O16; the isolated field has no separate visual anchor.
R4O18	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Second upper text band is beside a seated figure/container drawing but lacks a leader joining this field to either component.
R4O19	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Same line and ambiguous figure-versus-container context as R4O18.
R4O20	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Same physical line as R4O18; the short field has no independent drawn owner.
R4O21	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Mid-page prose block lies beside a distinct seated figure/container vignette, but it addresses the vignette as a whole.
R4O22	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Same line and vignette-level ownership as R4O21; no field-to-object alignment is visible.
R4O23	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Same mid-page vignette block; terminal position within a field does not identify body, pool, or outlet.
R4O24	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Late line of the vignette block remains configuration-level because picture-first reflow breaks simple proximity.
R4O25	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Transition area above the large arched conduit has multiple possible owners and no caption leader.
R4O26	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Same transition line as R4O25; the extra field is not spatially keyed to a separate object.
R4O27	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Text near the arched conduit and adjacent figure is not locally attached to path, body, or endpoint.
