occurrence_id	page	locus	record_ordinal	field_ordinal	field_length	within_field_position	value_family	surface	wrapper	visual_role	confidence	ownership_rationale
R4O01	f81v	f81v.2	1	1	1	ONLY	VAL-C	qokedy	q	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Upper prose block is remote from the large lower pool and has no object-level leader or caption boundary; only page-level ownership is defensible.
R4O02	f81v	f81v.17	1	2	3	LAST	VAL-A	shedy	sh	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Lower prose block is laid out above and around the approach to the single large pool, but no field is tied to one bather or station.
R4O03	f81v	f81v.18	1	2	5	LAST	VAL-A	shedy	sh	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Same lower prose block and pool-level ownership as the adjacent line; field boundaries have no drawn counterparts.
R4O04	f81v	f81v.18	1	3	1	ONLY	VAL-C	qokedy	q	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Same physical line as R4O03; separate short field does not create a distinct visible owner.
R4O05	f81v	f81v.18	1	4	1	ONLY	VAL-C	qokedy	q	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Same physical line as R4O03; separate short field does not create a distinct visible owner.
R4O06	f81v	f81v.24	1	2	4	LAST	VAL-A	cheedy	che	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Late lower prose remains above the communal pool and its feeding path; no single figure or endpoint is selected.
R4O07	f81v	f81v.27	1	2	1	ONLY	VAL-A	tedy	t	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Final lower prose line lies nearest the pool complex but is not a label attached to a particular bather, inlet, or outlet.
R4O08	f82r	f82r.2	1	3	3	LAST	VAL-B	qokeedy	q	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Upper f82r prose is interleaved with several figures and stacked vessels; the field cannot be assigned uniquely among them.
R4O09	f82r	f82r.7	1	2	3	LAST	VAL-A	shedy	sh	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Late line of the upper apparatus block spans the page beneath multiple drawn components without a unique leader.
R4O10	f82r	f82r.19	1	1	4	LAST	VAL-B	qokeedy	q	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	The middle text band lies between the reclining figure apparatus and the lower complex; exact ownership is ambiguous after image-first reflow.
R4O11	f82r	f82r.23	1	2	1	ONLY	VAL-D	lchedy	NONE	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	This lower central prose block most plausibly belongs to the lower multi-figure configuration as a whole, not one body or vessel.
R4O12	f82r	f82r.26	1	1	2	LAST	VAL-B	qokeedy	q	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Late lower-block line remains a configuration-level entry above the green multi-figure complex.
R4O13	f82r	f82r.27	1	3	1	ONLY	VAL-B	qokeedy	q	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	One of seven cells on the final line above the lower complex; no sevenfold drawn station alignment is visible.
