occurrence_id	page	locus	record_ordinal	field_ordinal	field_length	within_field_position	field_position_class
R4O01	f81v	f81v.2	1	1	1	ONLY	ONLY
R4O02	f81v	f81v.17	1	2	3	LAST	LAST
R4O03	f81v	f81v.18	1	2	5	LAST	LAST
R4O04	f81v	f81v.18	1	3	1	ONLY	ONLY
R4O05	f81v	f81v.18	1	4	1	ONLY	ONLY
R4O06	f81v	f81v.24	1	2	4	LAST	LAST
R4O07	f81v	f81v.27	1	2	1	ONLY	ONLY
R4O08	f82r	f82r.2	1	3	3	LAST	LAST
R4O09	f82r	f82r.7	1	2	3	LAST	LAST
R4O10	f82r	f82r.19	1	1	4	LAST	LAST
R4O11	f82r	f82r.23	1	2	1	ONLY	ONLY
R4O12	f82r	f82r.26	1	1	2	LAST	LAST
R4O13	f82r	f82r.27	1	3	1	ONLY	ONLY
R4O14	f82r	f82r.27	1	6	1	ONLY	ONLY
R4O15	f83r	f83r.3	1	3	4	LAST	LAST
R4O16	f83r	f83r.6	1	3	3	LAST	LAST
R4O17	f83r	f83r.6	1	4	1	ONLY	ONLY
R4O18	f83r	f83r.11	1	1	2	LAST	LAST
R4O19	f83r	f83r.11	1	2	4	LAST	LAST
R4O20	f83r	f83r.11	1	4	1	ONLY	ONLY
R4O21	f83r	f83r.14	1	2	1	ONLY	ONLY
R4O22	f83r	f83r.14	1	3	1	ONLY	ONLY
R4O23	f83r	f83r.14	1	5	2	LAST	LAST
R4O24	f83r	f83r.15	1	3	1	ONLY	ONLY
R4O25	f83r	f83r.20	1	3	2	LAST	LAST
R4O26	f83r	f83r.20	1	4	3	LAST	LAST
R4O27	f83r	f83r.22	1	2	1	ONLY	ONLY
R4O28	f83r	f83r.24	1	1	6	LAST	LAST
R4O29	f83r	f83r.25	2	1	1	ONLY	ONLY
R4O30	f83r	f83r.25	2	2	3	LAST	LAST
R4O31	f83r	f83r.26	2	1	5	LAST	LAST
R4O32	f83r	f83r.27	2	1	3	LAST	LAST
R4O33	f83r	f83r.28	2	1	4	LAST	LAST
R4O34	f83r	f83r.28	2	2	1	ONLY	ONLY
R4O35	f83r	f83r.37	2	2	1	ONLY	ONLY
R4O36	f83r	f83r.37	2	3	2	LAST	LAST
R4O37	f83r	f83r.41	2	1	2	LAST	LAST
R4O38	f83r	f83r.44	2	1	2	LAST	LAST
