occurrence_id	page	locus	field_ordinal	record_id	field_length	frozen_role	family	formal_surface
R3O01	f81v	f81v.2	1	R01	1	GENERAL_CONFIGURATION_OR_PAGE_OWNER	VAL-Q	qokedy
R3O02	f81v	f81v.17	2	R02	3	GENERAL_CONFIGURATION_OR_PAGE_OWNER	VAL-S	shedy
R3O03	f81v	f81v.18	2	R02	5	GENERAL_CONFIGURATION_OR_PAGE_OWNER	VAL-S	shedy
R3O04	f81v	f81v.18	3	R02	1	GENERAL_CONFIGURATION_OR_PAGE_OWNER	VAL-Q	qokedy
R3O05	f81v	f81v.18	4	R02	1	GENERAL_CONFIGURATION_OR_PAGE_OWNER	VAL-Q	qokedy
R3O06	f81v	f81v.24	2	R02	4	GENERAL_CONFIGURATION_OR_PAGE_OWNER	VAL-S	cheedy
R3O07	f81v	f81v.27	2	R02	1	GENERAL_CONFIGURATION_OR_PAGE_OWNER	VAL-S	tedy
R3O08	f82r	f82r.2	3	R01	3	JUNCTION_OR_INTERMEDIATE_STATION	VAL-QE	qokeedy
R3O09	f82r	f82r.7	2	R01	3	JUNCTION_OR_INTERMEDIATE_STATION	VAL-S	shedy
R3O10	f82r	f82r.19	1	R02	4	FIGURE_OR_BODY	VAL-QE	qokeedy
R3O11	f82r	f82r.23	2	R03	1	VESSEL_POOL_OR_CONTAINER	VAL-L	lchedy
R3O12	f82r	f82r.26	1	R03	2	VESSEL_POOL_OR_CONTAINER	VAL-QE	qokeedy
R3O13	f82r	f82r.27	3	R03	1	VESSEL_POOL_OR_CONTAINER	VAL-QE	qokeedy
R3O14	f82r	f82r.27	6	R03	1	VESSEL_POOL_OR_CONTAINER	VAL-QE	qokeedy
R3O15	f83r	f83r.3	3	R01	4	FIGURE_OR_BODY	VAL-L	lchedy
R3O16	f83r	f83r.6	3	R01	3	FIGURE_OR_BODY	VAL-QE	qokeedy
R3O17	f83r	f83r.6	4	R01	1	FIGURE_OR_BODY	VAL-L	lchedy
R3O18	f83r	f83r.11	1	R02	2	FIGURE_OR_BODY	VAL-S	shedy
R3O19	f83r	f83r.11	2	R02	4	FIGURE_OR_BODY	VAL-Q	qokedy
R3O20	f83r	f83r.11	4	R02	1	FIGURE_OR_BODY	VAL-L	lchedy
R3O21	f83r	f83r.14	2	R02	1	FIGURE_OR_BODY	VAL-QE	qokeedy
R3O22	f83r	f83r.14	3	R02	1	FIGURE_OR_BODY	VAL-S	shedy
R3O23	f83r	f83r.14	5	R02	2	FIGURE_OR_BODY	VAL-L	lchedy
R3O24	f83r	f83r.15	3	R02	1	FIGURE_OR_BODY	VAL-L	lchedy
R3O25	f83r	f83r.20	3	R03	2	GENERAL_CONFIGURATION_OR_PAGE_OWNER	VAL-Q	qokedy
R3O26	f83r	f83r.20	4	R03	3	GENERAL_CONFIGURATION_OR_PAGE_OWNER	VAL-Q	qokedy
R3O27	f83r	f83r.22	2	R03	1	GENERAL_CONFIGURATION_OR_PAGE_OWNER	VAL-QE	qokeedy
R3O28	f83r	f83r.24	1	R03	6	GENERAL_CONFIGURATION_OR_PAGE_OWNER	VAL-S	shedy
R3O29	f83r	f83r.25	1	R04	1	JUNCTION_OR_INTERMEDIATE_STATION	VAL-QE	qokeedy
R3O30	f83r	f83r.25	2	R04	3	JUNCTION_OR_INTERMEDIATE_STATION	VAL-Q	qokedy
R3O31	f83r	f83r.26	1	R04	5	JUNCTION_OR_INTERMEDIATE_STATION	VAL-S	shedy
R3O32	f83r	f83r.27	1	R04	3	JUNCTION_OR_INTERMEDIATE_STATION	VAL-QE	qokeedy
R3O33	f83r	f83r.28	1	R04	4	JUNCTION_OR_INTERMEDIATE_STATION	VAL-Q	qokedy
R3O34	f83r	f83r.28	2	R04	1	JUNCTION_OR_INTERMEDIATE_STATION	VAL-S	shedy
R3O35	f83r	f83r.37	2	R05	1	CONDUIT_PATH_OR_FLOW	VAL-L	lchedy
R3O36	f83r	f83r.37	3	R05	2	CONDUIT_PATH_OR_FLOW	VAL-S	shedy
R3O37	f83r	f83r.41	1	R05	2	CONDUIT_PATH_OR_FLOW	VAL-L	lchedy
R3O38	f83r	f83r.44	1	R05	2	CONDUIT_PATH_OR_FLOW	VAL-S	shedy
