occurrence_id	page	locus	field_ordinal	record_id	pre_reveal_role	confidence	ownership_rationale
R3O01	f81v	f81v.2	1	R01	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Upper prose block is spatially separate from the single large lower pool; no leader or local object owns the field.
R3O02	f81v	f81v.17	2	R02	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Central prose block lies above the large common pool and cannot be assigned to one figure container or path.
R3O03	f81v	f81v.18	2	R02	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Central prose block lies above the large common pool and cannot be assigned to one figure container or path.
R3O04	f81v	f81v.18	3	R02	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Central prose block lies above the large common pool and cannot be assigned to one figure container or path.
R3O05	f81v	f81v.18	4	R02	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Central prose block lies above the large common pool and cannot be assigned to one figure container or path.
R3O06	f81v	f81v.24	2	R02	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Lower prose remains above rather than inside the pool; proximity does not identify a station.
R3O07	f81v	f81v.27	2	R02	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Last prose line is nearest the common pool but has no leader to a particular figure or wall.
R3O08	f82r	f82r.2	3	R01	JUNCTION_OR_INTERMEDIATE_STATION	MEDIUM	The whole upper record is threaded between two figure-containers and a central suspended vessel on one overhead conduit.
R3O09	f82r	f82r.7	2	R01	JUNCTION_OR_INTERMEDIATE_STATION	MEDIUM	The whole upper record is threaded between two figure-containers and a central suspended vessel on one overhead conduit.
R3O10	f82r	f82r.19	1	R02	FIGURE_OR_BODY	LOW	The middle record occupies the zone of the reclining figure and adjacent feeder apparatus but no leader fixes a subpart.
R3O11	f82r	f82r.23	2	R03	VESSEL_POOL_OR_CONTAINER	MEDIUM	The lower record directly precedes and broadly owns the large green communal pool rather than one bather.
R3O12	f82r	f82r.26	1	R03	VESSEL_POOL_OR_CONTAINER	MEDIUM	The lower record directly precedes and broadly owns the large green communal pool rather than one bather.
R3O13	f82r	f82r.27	3	R03	VESSEL_POOL_OR_CONTAINER	MEDIUM	The lower record directly precedes and broadly owns the large green communal pool rather than one bather.
R3O14	f82r	f82r.27	6	R03	VESSEL_POOL_OR_CONTAINER	MEDIUM	The lower record directly precedes and broadly owns the large green communal pool rather than one bather.
R3O15	f83r	f83r.3	3	R01	FIGURE_OR_BODY	LOW	Upper record shares its zone with the single spray-holding figure but the prose is not directly labelled.
R3O16	f83r	f83r.6	3	R01	FIGURE_OR_BODY	LOW	Upper record shares its zone with the single spray-holding figure but the prose is not directly labelled.
R3O17	f83r	f83r.6	4	R01	FIGURE_OR_BODY	LOW	Upper record shares its zone with the single spray-holding figure but the prose is not directly labelled.
R3O18	f83r	f83r.11	1	R02	FIGURE_OR_BODY	MEDIUM	Second record is aligned with the vertical sequence of three individually contained figures along the left margin.
R3O19	f83r	f83r.11	2	R02	FIGURE_OR_BODY	MEDIUM	Second record is aligned with the vertical sequence of three individually contained figures along the left margin.
R3O20	f83r	f83r.11	4	R02	FIGURE_OR_BODY	MEDIUM	Second record is aligned with the vertical sequence of three individually contained figures along the left margin.
R3O21	f83r	f83r.14	2	R02	FIGURE_OR_BODY	MEDIUM	Second record is aligned with the vertical sequence of three individually contained figures along the left margin.
R3O22	f83r	f83r.14	3	R02	FIGURE_OR_BODY	MEDIUM	Second record is aligned with the vertical sequence of three individually contained figures along the left margin.
R3O23	f83r	f83r.14	5	R02	FIGURE_OR_BODY	MEDIUM	Second record is aligned with the vertical sequence of three individually contained figures along the left margin.
R3O24	f83r	f83r.15	3	R02	FIGURE_OR_BODY	MEDIUM	Second record is aligned with the vertical sequence of three individually contained figures along the left margin.
R3O25	f83r	f83r.20	3	R03	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Third prose block is not locally attached to the later arch or serpentine conduit and lacks an isolated owner.
R3O26	f83r	f83r.20	4	R03	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Third prose block is not locally attached to the later arch or serpentine conduit and lacks an isolated owner.
R3O27	f83r	f83r.22	2	R03	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Third prose block is not locally attached to the later arch or serpentine conduit and lacks an isolated owner.
R3O28	f83r	f83r.24	1	R03	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Third prose block is not locally attached to the later arch or serpentine conduit and lacks an isolated owner.
R3O29	f83r	f83r.25	1	R04	JUNCTION_OR_INTERMEDIATE_STATION	MEDIUM	Short fourth record occupies the paired-figure arch and coupling zone rather than an isolated body or terminal.
R3O30	f83r	f83r.25	2	R04	JUNCTION_OR_INTERMEDIATE_STATION	MEDIUM	Short fourth record occupies the paired-figure arch and coupling zone rather than an isolated body or terminal.
R3O31	f83r	f83r.26	1	R04	JUNCTION_OR_INTERMEDIATE_STATION	MEDIUM	Short fourth record occupies the paired-figure arch and coupling zone rather than an isolated body or terminal.
R3O32	f83r	f83r.27	1	R04	JUNCTION_OR_INTERMEDIATE_STATION	MEDIUM	Short fourth record occupies the paired-figure arch and coupling zone rather than an isolated body or terminal.
R3O33	f83r	f83r.28	1	R04	JUNCTION_OR_INTERMEDIATE_STATION	MEDIUM	Short fourth record occupies the paired-figure arch and coupling zone rather than an isolated body or terminal.
