occurrence_id	locus	field	visual_text_block	pre_reveal_role	confidence	ownership_rationale
O01	f81v.2	F1	upper_prose_block	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Upper prose is separated from the large lower pool and has no unique local component owner.
O02	f81v.17	F2	lower_prose_block	VESSEL_POOL_OR_CONTAINER	MEDIUM	Lower prose block immediately precedes and spans the width of the single large communal pool.
O03	f81v.18	F2	lower_prose_block	VESSEL_POOL_OR_CONTAINER	MEDIUM	Same pool-facing block; no individual figure can safely own the field.
O04	f81v.18	F3	lower_prose_block	VESSEL_POOL_OR_CONTAINER	MEDIUM	Same pool-facing block; field subdivision does not create a new visual owner.
O05	f81v.18	F4	lower_prose_block	VESSEL_POOL_OR_CONTAINER	MEDIUM	Same pool-facing block; field subdivision does not create a new visual owner.
O06	f81v.24	F2	lower_prose_block	VESSEL_POOL_OR_CONTAINER	MEDIUM	Late portion of the prose block directly above the large bounded green pool.
O07	f81v.27	F2	lower_prose_block	VESSEL_POOL_OR_CONTAINER	HIGH	Final line of the block is nearest the large bounded pool and reads as its block-level owner.
O08	f82r.2	F3	upper_apparatus_block	JUNCTION_OR_INTERMEDIATE_STATION	MEDIUM	Upper text is threaded between decorated vertical apparatus nodes and connecting arcs.
O09	f82r.7	F2	upper_apparatus_block	JUNCTION_OR_INTERMEDIATE_STATION	MEDIUM	Upper block remains inside the multi-node apparatus zone rather than beside a single body or basin.
O10	f82r.19	F1	lower_pool_block	VESSEL_POOL_OR_CONTAINER	LOW	The final major prose block leads into the large lower green pool, but the line is near its upper boundary.
O11	f82r.23	F2	lower_pool_block	VESSEL_POOL_OR_CONTAINER	MEDIUM	Lower prose block has the large pool complex as its clearest shared owner.
O12	f82r.26	F1	lower_pool_block	VESSEL_POOL_OR_CONTAINER	HIGH	Penultimate lower line directly precedes the pool complex.
O13	f82r.27	F3	lower_pool_block	VESSEL_POOL_OR_CONTAINER	HIGH	Last lower line directly precedes the pool; all seven cells retain one block-level owner.
O14	f82r.27	F6	lower_pool_block	VESSEL_POOL_OR_CONTAINER	HIGH	Nonadjacent repeated-cell position is frozen to the same pool-level role as the rest of line 27.
O15	f83r.3	F3	upper_prose_block	TERMINAL_OUTLET_OR_ENDPOINT	LOW	Upper block is closest to the margin figure handling a spray or outlet, though page-level ownership remains possible.
O16	f83r.6	F3	upper_prose_block	TERMINAL_OUTLET_OR_ENDPOINT	LOW	Same upper block and same weak outlet-side ownership.
O17	f83r.6	F4	upper_prose_block	TERMINAL_OUTLET_OR_ENDPOINT	LOW	Field subdivision supplies no distinct visual owner; retain the weak upper outlet assignment.
O18	f83r.11	F1	middle_body_block	FIGURE_OR_BODY	MEDIUM	Second block begins beside the left-margin figure seated in a layered receptacle.
O19	f83r.11	F2	middle_body_block	FIGURE_OR_BODY	MEDIUM	Same body-facing block; adjacent fields cannot be assigned to separate drawn parts.
O20	f83r.11	F4	middle_body_block	FIGURE_OR_BODY	MEDIUM	Same body-facing block; adjacent fields cannot be assigned to separate drawn parts.
O21	f83r.14	F2	middle_body_block	FIGURE_OR_BODY	MEDIUM	Middle block remains horizontally owned by the left seated figure more than by the later conduit drawing.
O22	f83r.14	F3	middle_body_block	FIGURE_OR_BODY	MEDIUM	Same body-facing block; no safe per-field component ownership.
O23	f83r.14	F5	middle_body_block	FIGURE_OR_BODY	MEDIUM	Same body-facing block; no safe per-field component ownership.
O24	f83r.15	F3	middle_body_block	FIGURE_OR_BODY	MEDIUM	Same block and local figure owner.
O25	f83r.20	F3	middle_body_block	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	End of the middle block approaches the lower apparatus and cannot be owned uniquely by body or path.
O26	f83r.20	F4	middle_body_block	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	End of the middle block approaches the lower apparatus and cannot be owned uniquely by body or path.
O27	f83r.22	F2	arch_and_path_block	CONDUIT_PATH_OR_FLOW	MEDIUM	Short block is embedded above the blue arch/path linking the left terminal to the central figure.
O28	f83r.24	F1	arch_and_path_block	CONDUIT_PATH_OR_FLOW	MEDIUM	Same arch/path-facing block rather than a uniquely owned figure label.
O29	f83r.25	F1	arch_and_path_block	CONDUIT_PATH_OR_FLOW	MEDIUM	Same arch/path-facing block.
O30	f83r.25	F2	arch_and_path_block	CONDUIT_PATH_OR_FLOW	MEDIUM	Same physical line and same path-level owner.
O31	f83r.26	F1	arch_and_path_block	CONDUIT_PATH_OR_FLOW	MEDIUM	Same block sits within the curved-conduit zone.
O32	f83r.27	F1	arch_and_path_block	CONDUIT_PATH_OR_FLOW	MEDIUM	Same curved-conduit zone; endpoint and body remain secondary possibilities.
O33	f83r.28	F1	arch_and_path_block	JUNCTION_OR_INTERMEDIATE_STATION	LOW	Transition into the central vessel/rosette complex makes a junction reading slightly preferable to generic path.
O34	f83r.28	F2	arch_and_path_block	JUNCTION_OR_INTERMEDIATE_STATION	LOW	Same transition line and same weak central-junction ownership.
O35	f83r.37	F2	lower_right_prose_block	VISUALLY_UNOWNED	LOW	Lower-right prose is near several path, rosette and outlet elements with no unique visible owner.
O36	f83r.37	F3	lower_right_prose_block	VISUALLY_UNOWNED	LOW	Same ambiguous lower-right block; do not redistribute by attractiveness.
O37	f83r.41	F1	lower_right_prose_block	VISUALLY_UNOWNED	LOW	Late lower-right line has no uniquely local drawn component.
O38	f83r.44	F1	lower_right_prose_block	VISUALLY_UNOWNED	LOW	Final line remains visually unowned despite proximity to the overall apparatus.
