root_id	recognition_form	atomic_meaning_de	material_workshop_expansion_de	station_workshop_expansion_de	celestial_relational_expansion_de	content_events	content_pages	label_mnemonic_events	common_surface_examples
R-Y	Y	POSTEN	dieser Pflanzen-/Drogenposten	dieser Stationsposten	dieser Himmels-/Ringposten	729	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	197	chedy|dy|chey|shey|qoky|qokeey
R-OK	OK	SETZEN	im Ansatz ansetzen	an der Station ansetzen	Posten aktivieren	366	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	78	qokeedy|qokedy|qokain|qoky|qokeey|qokaiin
R-E	E	KURZ	kurz einwirken lassen	kurz halten	erster Grad	316	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	91	qokedy|shey|qokey|otedy|cheky|lshedy
R-DY	DY	SCHLUSS	Teilansatz abschließen	Stationszelle schließen	Eintrag schließen	333	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	34	shedy|qokeedy|qokedy|lchedy|oldy|qoteedy
R-O	O	AUSFÜHREN	den Arbeitsschritt ausführen	Stationshandlung ausführen	eingetragene Operation ausführen	192	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	129	lo|o|oiin|ody|chody|qopchy
R-OL	OL	FORTSETZEN	denselben Ansatz fortführen	im selben Lauf fortfahren	in derselben Reihe fortfahren	267	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	50	ol|chol|qol|oldy|sol|shol
R-EE	EE	LÄNGER	länger halten oder ziehen lassen	länger halten	zweiter/längerer Grad	203	f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	59	qokeedy|qokeey|cheey|qoteedy|sheedy|okeedy
R-OT	OT	DANACH	den nächsten Teilgang nehmen	zur nächsten Station	nächster Platz	130	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	103	qoty|otar|qoteedy|otedy|qotchy|qotedy
R-AL	AL	ZIEL	in das Zielgefäß oder an die Gebrauchsstelle	zur Ziel-/Aufnahmestelle	Zielplatz	131	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	82	dal|qokal|okal|al|qotal|daldy
R-CH	CH	NEHMEN	vom bezeichneten Pflanzenteil entnehmen	aus Becken oder Vorrat entnehmen	Eintrag entnehmen/wählen	171	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	41	chor|chaiin|chcthy|dchey|chody|chal
