step	operation	rule
1	SELECT_ONCE	draw or accept exactly four physical pages; no resampling
2	GUARD_SOURCE	query only explicitly released selector values
3	FREEZE_IMAGE_OWNER	record visible owners before text parsing
4	EXACT_SURFACE_FIRST	replay every GDT405 surface byte-for-byte
5	AMBER_EXACT_SURFACE	use primary recipe and separately audit its package boundary
6	NEW_SURFACE	compose only from visibly present locked atoms
7	NO_ONE_EDIT_IMPORT	a neighbour never supplies an invisible atom
8	SEGMENT_STATEMENTS	licensed close or real prose-owner boundary only
9	RUN_FACTORIZED_SCOPE	use only the thirty-one locked factors
10	MAX_LOOKAHEAD_ONE	never skip more than one card forward
11	STOP_ON_BOUNDARY	owner or statement crossing fails the batch
12	STOP_ON_RETUNE	do not change any of the forty-six working values
