atom	locked_working_value_de	factor_family	gdt404_event_count	gdt404_physical_pages	next_batch_policy	retuning_allowed
Y	AKTIVER POSTEN	ARGUMENT	204	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
OK	SETZEN	ACTION_HEAD	87	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
OL	FORTSETZEN	ORDER_CONTROL	111	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
OT	DANACH	ORDER_CONTROL	58	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
AL	ZIELORT	RELATION	37	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
CH	NEHMEN	ACTION_HEAD	120	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
SH	HALTEN	ACTION_HEAD	118	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
AR	AUSGANG	RELATION	67	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
K	GEBEN	ACTION_HEAD	74	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
AIIN	WERT	ARGUMENT	68	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
S	WÄHLEN	ACTION_HEAD	49	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
CHD	UMSETZEN	ACTION_HEAD	46	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
OR	EINHEIT	ARGUMENT	38	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
L	VERBINDUNG	RELATION	20	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
T	EINSTELLEN	ACTION_HEAD	66	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
AIN	ANTEIL	ARGUMENT	52	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
R	MARKIEREN	ACTION_HEAD	12	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
P	EINSETZEN	ACTION_HEAD	32	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
AIR	LAUF	RELATION	4	f1r|f81r	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
E	GRAD I	GRADE	124	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
EE	GRAD II	GRADE	41	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
EEE	GRAD III	GRADE	2	f24v|f81r	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
DY	SCHLUSS	FORMAL_CONTROL	79	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
O	AUSFÜHRUNG	FORMAL_CONTROL	135	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
CARRIER_Q	BEGINNMARKER	FORMAL_CONTROL	7	f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
IIN	STUFE	FORMAL_CONTROL	11	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
DA	ZWEITE STUFE	FORMAL_CONTROL	1	f1r	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
D_ADDR	HIER	LOCAL_OR_CLASS_SIGN	85	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
AM_ADDR	HIER	LOCAL_OR_CLASS_SIGN	12	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
A_ADDR	HIER	LOCAL_OR_CLASS_SIGN	10	f1r|f24v|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
S_ADDR	HIER	LOCAL_OR_CLASS_SIGN	2	f1r|f81r	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
LOCAL_CHAR_F	HIER	LOCAL_OR_CLASS_SIGN	16	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
D_LABEL	HIER	LOCAL_OR_CLASS_SIGN	1	f1r	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
S_LABEL	HIER	LOCAL_OR_CLASS_SIGN	0	NONE	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
M_LOCAL	HIER	LOCAL_OR_CLASS_SIGN	1	f24v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
Z_ADDR	HIER	LOCAL_OR_CLASS_SIGN	0	NONE	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
G_LABEL	VARIANTE	LOCAL_OR_CLASS_SIGN	0	NONE	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
LOCAL_CHAR_G	VARIANTE	LOCAL_OR_CLASS_SIGN	0	NONE	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
LOCAL_CHAR_I	VARIANTE	LOCAL_OR_CLASS_SIGN	6	f1r|f24v|f81r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
LOCAL_CHAR_B	VARIANTE	LOCAL_OR_CLASS_SIGN	0	NONE	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
LOCAL_CHAR_J	VARIANTE	LOCAL_OR_CLASS_SIGN	0	NONE	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
LOCAL_CHAR_Z	VARIANTE	LOCAL_OR_CLASS_SIGN	0	NONE	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
HO	KLASSE	LOCAL_OR_CLASS_SIGN	3	f1r|f24v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
AN	KLASSE	LOCAL_OR_CLASS_SIGN	5	f1r|f95v	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
OS	VORBEZUG	LOCAL_OR_CLASS_SIGN	2	f1r	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
RESUME_CARD	VORBEZUG	LOCAL_OR_CLASS_SIGN	0	NONE	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	NO
