lock_id	surface	locked_recipe	gdt404_surface_status	gdt404_event_count	gdt404_physical_page_count	gdt404_physical_pages	gdt404_first_event_id	amber_boundary	locked_candidate_recipes	next_batch_exact_surface_rule	allowed_change	forbidden_change
G405-W0001	aiin	AIIN	EXACT_SURFACE_ONE_RECIPE	4	1	f95v	G404-E0535	NO	AIIN	REPLAY_LOCKED_RECIPE_WITHOUT_EDIT	NONE	NEW_ATOM|CORE_RETUNE|INVISIBLE_COMPONENT|POSTHOC_RESEGMENTATION
G405-W0002	ain	AIN	EXACT_SURFACE_ONE_RECIPE	3	2	f1r|f81r	G404-E0142	NO	AIN	REPLAY_LOCKED_RECIPE_WITHOUT_EDIT	NONE	NEW_ATOM|CORE_RETUNE|INVISIBLE_COMPONENT|POSTHOC_RESEGMENTATION
G405-W0003	al	AL	EXACT_SURFACE_ONE_RECIPE	2	2	f81r|f95v	G404-E0330	NO	AL	REPLAY_LOCKED_RECIPE_WITHOUT_EDIT	NONE	NEW_ATOM|CORE_RETUNE|INVISIBLE_COMPONENT|POSTHOC_RESEGMENTATION
G405-W0004	alched	AL+CHD	NEW_VISIBLE_COMPOSITION	1	1	f81r	G404-E0310	NO	AL+CHD::2	REPLAY_LOCKED_RECIPE_WITHOUT_EDIT	NONE	NEW_ATOM|CORE_RETUNE|INVISIBLE_COMPONENT|POSTHOC_RESEGMENTATION
G405-W0005	alfshed	AL+LOCAL_CHAR_F+SH+E+D_ADDR	NEW_MICROFORM_OLD_FACTORS	1	1	f95v	G404-E0579	YES	AL+AIIN+D_ADDR::3 | OK+EE+SH+D_ADDR::3 | AL+CHD+DY+D_ADDR::1 | AL+T+E+D_ADDR+Y+D_ADDR::1 | D_ADDR+CH+SH+E+D_ADDR::1 | OL+EEE+SH+D_ADDR::1 | OL+OR+D_ADDR::1	REPLAY_PRIMARY_RECIPE__KEEP_AMBER_BOUNDARY_VISIBLE	BOUNDARY_PROMOTION_BY_VISIBLE_RECURRENCE_ONLY	NEW_ATOM|CORE_RETUNE|INVISIBLE_COMPONENT|POSTHOC_RESEGMENTATION
G405-W0006	alkain	AL+K+AIN	NEW_VISIBLE_COMPOSITION	1	1	f95v	G404-E0546	NO	AL+K+AIN::4	REPLAY_LOCKED_RECIPE_WITHOUT_EDIT	NONE	NEW_ATOM|CORE_RETUNE|INVISIBLE_COMPONENT|POSTHOC_RESEGMENTATION
G405-W0007	alor	AL+OR	EXACT_SURFACE_ONE_RECIPE	1	1	f95v	G404-E0523	NO	AL+OR	REPLAY_LOCKED_RECIPE_WITHOUT_EDIT	NONE	NEW_ATOM|CORE_RETUNE|INVISIBLE_COMPONENT|POSTHOC_RESEGMENTATION
G405-W0008	am	AM_ADDR	EXACT_SURFACE_ONE_RECIPE	2	2	f24v|f95v	G404-E0225	NO	AM_ADDR	REPLAY_LOCKED_RECIPE_WITHOUT_EDIT	NONE	NEW_ATOM|CORE_RETUNE|INVISIBLE_COMPONENT|POSTHOC_RESEGMENTATION
G405-W0009	ar	AR	EXACT_SURFACE_ONE_RECIPE	4	3	f1r|f81r|f95v	G404-E0003	NO	AR	REPLAY_LOCKED_RECIPE_WITHOUT_EDIT	NONE	NEW_ATOM|CORE_RETUNE|INVISIBLE_COMPONENT|POSTHOC_RESEGMENTATION
G405-W0010	archytaiin	AR+CH+Y+T+AIIN	NEW_VISIBLE_COMPOSITION	1	1	f95v	G404-E0531	NO	CH+K+EE+T+K+AIIN::1 | K+EE+O+T+D_ADDR+AIIN::1 | OK+E+T+OL+AIIN::1 | OT+E+T+AIIN::1 | OT+OL+T+D_ADDR+AIIN::1 | S+OT+T+AIIN::1 | SH+E+T+OL+AIIN::1 | SH+Y+T+AIIN::1	REPLAY_LOCKED_RECIPE_WITHOUT_EDIT	NONE	NEW_ATOM|CORE_RETUNE|INVISIBLE_COMPONENT|POSTHOC_RESEGMENTATION
G405-W0011	arol	AR+OL	EXACT_SURFACE_ONE_RECIPE	1	1	f81r	G404-E0388	NO	AR+OL	REPLAY_LOCKED_RECIPE_WITHOUT_EDIT	NONE	NEW_ATOM|CORE_RETUNE|INVISIBLE_COMPONENT|POSTHOC_RESEGMENTATION
G405-W0012	arsa	AR+S+A_ADDR	NEW_MICROFORM_OLD_FACTORS	1	1	f24v	G404-E0253	YES	AIN+A_ADDR::19 | AIR+A_ADDR::5 | AL+Y+A_ADDR::3 | AL+O+A_ADDR::1 | AM_ADDR+Y+A_ADDR::1 | A_ADDR+Y+A_ADDR::1	REPLAY_PRIMARY_RECIPE__KEEP_AMBER_BOUNDARY_VISIBLE	BOUNDARY_PROMOTION_BY_VISIBLE_RECURRENCE_ONLY	NEW_ATOM|CORE_RETUNE|INVISIBLE_COMPONENT|POSTHOC_RESEGMENTATION
G405-W0013	ase	A_ADDR+S+E	NEW_VISIBLE_COMPOSITION	1	1	f1r	G404-E0018	NO	A_ADDR+S+E::4	REPLAY_LOCKED_RECIPE_WITHOUT_EDIT	NONE	NEW_ATOM|CORE_RETUNE|INVISIBLE_COMPONENT|POSTHOC_RESEGMENTATION
