global_teaching_order	hierarchy_level	entry_id	entry_kind	surface_symbol_or_pattern	short_value_de	written_as_manuscript_card	scope	composition_license	what_supplies_concrete_content	must_not_be_read_as	source_path
1	L1_ATOMIC_ROOT	ROOT_AIIN	PRODUCTIVE_CARD_COMPONENT	AIIN	sollwert	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
2	L1_ATOMIC_ROOT	ROOT_AIN	PRODUCTIVE_CARD_COMPONENT	AIN	portion	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
3	L1_ATOMIC_ROOT	ROOT_IIN	PRODUCTIVE_CARD_COMPONENT	IIN	stufe	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
4	L1_ATOMIC_ROOT	ROOT_AL	PRODUCTIVE_CARD_COMPONENT	AL	ziel	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
5	L1_ATOMIC_ROOT	ROOT_AR	PRODUCTIVE_CARD_COMPONENT	AR	quelle	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
6	L1_ATOMIC_ROOT	ROOT_AIR	PRODUCTIVE_CARD_COMPONENT	AIR	Lauf/Bahn	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
7	L1_ATOMIC_ROOT	ROOT_OK	PRODUCTIVE_CARD_COMPONENT	OK	ansetzen	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
8	L1_ATOMIC_ROOT	ROOT_OL	PRODUCTIVE_CARD_COMPONENT	OL	fortsetzen	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
9	L1_ATOMIC_ROOT	ROOT_OT	PRODUCTIVE_CARD_COMPONENT	OT	folgend	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
10	L1_ATOMIC_ROOT	ROOT_OR	PRODUCTIVE_CARD_COMPONENT	OR	Ansatz	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
