unit_order	unit_id	page	register	owner_or_system	group_count	compact_current_reading_de	concrete_content_wager	strongest_rival	source_of_concrete_content
1	H1	f10r	HERBAL_ARTICLE	der ganzen breitblättrigen gezähnten Bildpflanze	14	Nimm einen Teil der Wurzel der abgebildeten Pflanze, säubere und zerschneide ihn. Setze ihn mit Wasser im Gefäß an und fange den ersten Auszug auf. Gebrauche davon das kleine örtliche Maß; erwärme den weitergeführten Auszug gelinde und verwahre den Rest.	WURZEL · WASSER · GEFÄSS · ERSTER AUSZUG · KLEINES MASS · INNERER GEBRAUCH	allgemeiner Materialauszug ohne medizinischen Gebrauch	VISIBLE_PLANT_PLUS_SIMULATED_MASTER_ARTICLE
2	H2	f10r	HERBAL_ARTICLE	der ganzen breitblättrigen gezähnten Bildpflanze	24	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	JUNGE SPITZEN · TUCHPRESSUNG · ZWEI FRAKTIONEN · GLEICHES MASS · ÖL · SALBE	zweistufige Werkstoffpaste ohne Körperziel	VISIBLE_PLANT_PLUS_SIMULATED_MASTER_ARTICLE
3	H3	f11r	HERBAL_ARTICLE	der ganzen dicht blau bekrönten Bildpflanze	17	Koche junge Blüten und Blätter in Wein, wringe sie durch Tuch, lasse den Auszug stehen und seihe ihn nochmals klar. Behalte Blüten zurück. Gebrauche vom klaren Auszug ein kleines Maß als Trank; erwärme die zurückbehaltenen Blüten in Öl und streiche die Zubereitung äußerlich an die bezeichnete Stelle.	BLÜTEN · WEIN · AUSWRINGEN · STEHEN · NACHSEIHEN · KLARAUSZUG · TRANK · ÖL	Färbe- oder Duftauszug mit zweiter äußerer Verwendung	VISIBLE_PLANT_PLUS_SIMULATED_MASTER_ARTICLE
4	H4	f55v	HERBAL_ARTICLE	der ganzen breitblättrigen rispigen Bildpflanze	18	Zerstoße breite Blätter, gib Wein hinzu und lasse den verschlossenen Ansatz kühl stehen. Wring eine Portion durch Leinwand und verwahre den klaren Auszug. Wasche damit die bezeichnete äußere Stelle. Erwärme zurückbehaltene Blätter mit Honig und lege sie frisch als warme Auflage an.	BLATT · WEIN · KÜHLER ANSATZ · LEINWAND · KLARAUSZUG · WASCHUNG · HONIG · AUFLAGE	Textil- oder Materialwäsche mit anschließendem Klebeverband	VISIBLE_PLANT_PLUS_SIMULATED_MASTER_ARTICLE
5	H5	f56r	HERBAL_ARTICLE	der ganzen mehrköpfigen stacheligen Bildpflanze	27	Nimm frisches oberirdisches Kraut vom feuchten Standort und lege eine kleine zerstoßene Portion kurz an die bezeichnete Hautstelle; nimm sie ab und wasche nach. Trockne den übrigen blühenden Bestand im Schatten. Setze daraus mit mildem Wein einen Auszug an, seihe ihn, gib Honig hinzu und gebrauche ein kleines Maß als Brusttrank.	FEUCHTER STANDORT · FRISCHES KRAUT · KURZE AUFLAGE · NACHWASCHEN · TROCKNEN · WEIN · HONIG · TRANK	zweifacher Werkstoffgebrauch: frische Ätzung und konservierter Auszug	VISIBLE_PLANT_PLUS_SIMULATED_MASTER_ARTICLE
6	B1	f81v	BIO_STATION_RECORD	B1_SHARED_TWO_ROW_POOL	66	Im gemeinsamen zweireihigen Becken werden Portion, Wärme und Zusatz örtlich eingestellt. Der Posten wird gemischt, zum bezeichneten Platz geführt, gewaschen oder gebadet, anschließend gespült, abgesetzt, geseiht und am lokalen Ablauf beendet.	LOCAL_BATH_WASH_CLOTH_TEMPER_DRAIN_APPLICATION	Badehaus-/Waschhaus-Betriebsregister oder formale Bildlegende mit denselben lokalen Besitzern, ohne therapeutische Patientensemantik.	VISIBLE_LOCAL_STATION_PLUS_SIMULATED_MASTER_ACTION
7	B2	f82r	BIO_STATION_RECORD	B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL|B2_LOWER_POOL_EDGE_STATIONS	62	Arbeite fünf sichtbare Stationsgruppen nacheinander ab: obere Paarbecken, linkes Mittelgerät, ungelöster Mittelposten, unteres Mehrpersonenbecken und Randplätze. An jeder Station neu bemessen, temperieren, benetzen oder baden, abziehen und schließen; Stoff und Richtung werden beim Stationswechsel nicht mitgenommen.	LOCAL_BATH_WASH_CLOTH_TEMPER_DRAIN_APPLICATION	Badehaus-/Waschhaus-Betriebsregister oder formale Bildlegende mit denselben lokalen Besitzern, ohne therapeutische Patientensemantik.	VISIBLE_LOCAL_STATION_PLUS_SIMULATED_MASTER_ACTION
8	B3	f83r	BIO_STATION_RECORD	B3_UPPER_MARGIN_OPEN_FAN_STATION|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	86	Bearbeite zuerst die drei Randgefäße einzeln: setzen und benetzen, dann füllen und waschen, dann klarziehen, spülen und ablassen. Der Zwischenbereich bleibt exemplarabhängig. Erst danach folgt das sichtbar gekoppelte Hauptpaar mit warmem Tuch, doppelter Spülung, Klärung und lokalem Abzug.	LOCAL_BATH_WASH_CLOTH_TEMPER_DRAIN_APPLICATION	Badehaus-/Waschhaus-Betriebsregister oder formale Bildlegende mit denselben lokalen Besitzern, ohne therapeutische Patientensemantik.	VISIBLE_LOCAL_STATION_PLUS_SIMULATED_MASTER_ACTION
9	B4	f83r	BIO_STATION_RECORD	B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	47	Am gekoppelten Hauptpaar wird ein Tuch in temperierte Flüssigkeit getaucht, der Waschposten gefiltert und warm aufgelegt. Danach werden linke offene Station und rechter Mehrarmknoten getrennt bedient: bemessen, mischen, zweimal waschen, ablassen beziehungsweise warmes Wasser einfüllen und bereitstellen.	LOCAL_BATH_WASH_CLOTH_TEMPER_DRAIN_APPLICATION	Badehaus-/Waschhaus-Betriebsregister oder formale Bildlegende mit denselben lokalen Besitzern, ohne therapeutische Patientensemantik.	VISIBLE_LOCAL_STATION_PLUS_SIMULATED_MASTER_ACTION
10	B5	f83r	BIO_STATION_RECORD	B5_LEFT_OPEN_FRINGE_STATION	11	Am linken offenen Endposten ziehe eine Portion ab, erwärme sie einmal, halte sie für die örtliche Dauer und führe sie unter gleichem Ansatz zum Ziel; bemesse und mische an der zweiten Öffnung.	LOCAL_BATH_WASH_CLOTH_TEMPER_DRAIN_APPLICATION	Badehaus-/Waschhaus-Betriebsregister oder formale Bildlegende mit denselben lokalen Besitzern, ohne therapeutische Patientensemantik.	VISIBLE_LOCAL_STATION_PLUS_SIMULATED_MASTER_ACTION
11	B6	f83r	BIO_STATION_RECORD	B6_RIGHT_S_RUN_MULTIPORT_STATION	9	Richte den rechten Mehrarmknoten ohne Kochen ein, benutze die erste Öffnung, bemesse den Posten, führe ihn durch Tuch und gebrauche die gefilterte Portion an der bezeichneten Stelle.	LOCAL_BATH_WASH_CLOTH_TEMPER_DRAIN_APPLICATION	Badehaus-/Waschhaus-Betriebsregister oder formale Bildlegende mit denselben lokalen Besitzern, ohne therapeutische Patientensemantik.	VISIBLE_LOCAL_STATION_PLUS_SIMULATED_MASTER_ACTION
12	A1	f67r2	ASTRO_INSTRUMENT	PAIRED_BUT_DISCONNECTED_CELESTIAL_REFERENCE_WHEELS	190	Wähle zuerst linkes oder rechtes Rad. Zeige den lokalen Sektor, Sternplatz, Ring oder Bedingungsplatz. Kopiere das Etikett und lies ausschließlich den Eintrag dieses Rades im Meisterexemplar. Lösche beim Radwechsel jeden lokalen Schlüssel.	rechts ein 12-teiliges Zeichen-/Kalenderrad mit Bedingungen; links ein Stern-/Aspekt- oder Lehrkreis	Zwei unabhängige Lehr- oder Schmuckscheiben ohne Wahl-/Konkordanzfunktion.	VISIBLE_LOCUS_PLUS_LOCAL_MASTER_NOMENCLATOR
13	A2	f68r1	ASTRO_INSTRUMENT	MULTIPANEL_STAR_FIELD_ATLAS_WITH_SEVERAL_CENTRES	65	Wähle das sichtbare Paneel oder Zentrum und danach genau einen lokalen Sternplatz. Kopiere sein Etikett als paneelgebundenen Exemplareintrag. Ein anderes Zentrum eröffnet einen neuen Namensraum.	28 räumliche Stern- oder Mondstationsadressen innerhalb eines mehrteiligen Himmelsatlanten	Mehrere unabhängige Sternbilder, Lehrskizzen oder dekorative Himmelsfelder ohne gemeinsamen Atlasalgorithmus.	VISIBLE_LOCUS_PLUS_LOCAL_MASTER_NOMENCLATOR
14	A3	f69v	ASTRO_INSTRUMENT	THREE_DISCONNECTED_HETEROGENEOUS_CELESTIAL_WHEELS	140	Wähle linkes, mittleres oder rechtes Rad. Links kann einer von 28 lokalen Plätzen nachgeschlagen werden; Mitte und rechts tragen eigene Rubriken. Kein Wert darf zwischen den drei Rädern wandern.	links Mondstations-/Kalenderinventar; Mitte möglicher Witterungs- oder Zustandsring; rechts möglicher Licht-/Planeten-/Komplexionsring	Drei unabhängige Kalender-, Qualitäts- oder bloße Formalräder; die linke 28er-Teilung kann ohne Mondhaussemantik bestehen.	VISIBLE_LOCUS_PLUS_LOCAL_MASTER_NOMENCLATOR
