unified_serial	register	page	unit_or_locus	source_group_identity	visible_identity	owner_or_namespace	construction_or_address	current_short_reading	content_layer
1	HERBAL_PROSE	f10r	H1-S001	E001	dchey	H1	C01	Setze die gelernte Fachkarte: Wurzel als aktueller Posten.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
2	HERBAL_PROSE	f10r	H1-S001	E002	cthoor	H1	C05	Führe es aus dem Vorrat oder am Ansatz aus: Ansatz bereit.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
3	HERBAL_PROSE	f10r	H1-S001	E003	char	H1	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
4	HERBAL_PROSE	f10r	H1-S001	E004	chty	H1	C06	Führe es in der angegebenen Portion oder Stufe aus: Teil abtrennen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
5	HERBAL_PROSE	f10r	H1-S001	E005	os	H1	C01	Setze die gelernte Fachkarte: Mischgefäß.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
6	HERBAL_PROSE	f10r	H1-S001	E006	chair	H1	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Wasserzulauf.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
7	HERBAL_PROSE	f10r	H1-S001	E007	otytchol	H1	C02	Danach oder in demselben Gang: naechsten Teilposten weiterfuehren.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
8	HERBAL_PROSE	f10r	H1-S001	E008	oky	H1	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
9	HERBAL_PROSE	f10r	H1-S001	E009	daiin	H1	C10	Setze Maß, Portion oder Stufe: Sollmaß.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
10	HERBAL_PROSE	f10r	H1-S001	E010	etyd	H1	C10	Setze Maß, Portion oder Stufe: kleiner Restteil.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
11	HERBAL_PROSE	f10r	H1-S002	E011	qokchy	H1	C07	Führe es mit diesem laufenden Posten aus: Posten zur Weiterbearbeitung ansetzen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
12	HERBAL_PROSE	f10r	H1-S002	E012	qotchol	H1	C02	Danach oder in demselben Gang: danach weiterfuehren.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
13	HERBAL_PROSE	f10r	H1-S002	E013	chol	H1	C02	Danach oder in demselben Gang: fortsetzen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
14	HERBAL_PROSE	f10r	H1-S002	E014	cthy	H1	C07	Führe es mit diesem laufenden Posten aus: bereit.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
15	HERBAL_PROSE	f10r	H2-S001	E015	ycheor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Auszugsansatz.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
16	HERBAL_PROSE	f10r	H2-S001	E016	cthy	H2	C07	Führe es mit diesem laufenden Posten aus: bereit.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
17	HERBAL_PROSE	f10r	H2-S001	E017	chor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
18	HERBAL_PROSE	f10r	H2-S001	E018	cthaiin	H2	C06	Führe es in der angegebenen Portion oder Stufe aus: Fertigmaß.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
19	HERBAL_PROSE	f10r	H2-S001	E019	qoctholy	H2	C02	Danach oder in demselben Gang: bereiten Posten weiterfuehren.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
20	HERBAL_PROSE	f10r	H2-S001	E020	dy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
21	HERBAL_PROSE	f10r	H2-S001	E021	chy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
22	HERBAL_PROSE	f10r	H2-S001	E022	taiin	H2	C10	Setze Maß, Portion oder Stufe: Sollmaß.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
23	HERBAL_PROSE	f10r	H2-S001	E023	shy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
24	HERBAL_PROSE	f10r	H2-S002	E024	qotchor	H2	C02	Danach oder in demselben Gang: Folgeansatz.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
25	HERBAL_PROSE	f10r	H2-S002	E025	chor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
26	HERBAL_PROSE	f10r	H2-S002	E026	otol	H2	C02	Danach oder in demselben Gang: danach fortsetzen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
27	HERBAL_PROSE	f10r	H2-S002	E027	chol	H2	C02	Danach oder in demselben Gang: fortsetzen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
28	HERBAL_PROSE	f10r	H2-S002	E028	cholor	H2	C02	Danach oder in demselben Gang: Fortsetzungsansatz.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
29	HERBAL_PROSE	f10r	H2-S002	E029	chol	H2	C02	Danach oder in demselben Gang: fortsetzen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
30	HERBAL_PROSE	f10r	H2-S002	E030	daiin	H2	C10	Setze Maß, Portion oder Stufe: Sollmaß.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
31	HERBAL_PROSE	f10r	H2-S002	E031	dar	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
32	HERBAL_PROSE	f10r	H2-S003	E032	oykchor	H2	C05	Führe es aus dem Vorrat oder am Ansatz aus: aktuellen Ansatz bearbeiten.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
33	HERBAL_PROSE	f10r	H2-S003	E033	shor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
34	HERBAL_PROSE	f10r	H2-S003	E034	chor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
35	HERBAL_PROSE	f10r	H2-S003	E035	chy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
36	HERBAL_PROSE	f10r	H2-S003	E036	kaiiin	H2	C10	Setze Maß, Portion oder Stufe: Weichstufe.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
37	HERBAL_PROSE	f10r	H2-S003	E037	dy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
38	HERBAL_PROSE	f10r	H2-S003	E038	chodaiin	H2	C01	Setze die gelernte Fachkarte: Zutatenmaß.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
39	HERBAL_PROSE	f11r	H3-S001	E039	tshol	H3	C01	Setze die gelernte Fachkarte: Zutat entnehmen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
40	HERBAL_PROSE	f11r	H3-S001	E040	schoal	H3	C01	Setze die gelernte Fachkarte: Zutat an die Arbeitsstelle geben.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
41	HERBAL_PROSE	f11r	H3-S001	E041	cfhy	H3	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten auswringen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
42	HERBAL_PROSE	f11r	H3-S001	E042	shfydaiin	H3	C06	Führe es in der angegebenen Portion oder Stufe aus: Standmaß.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
43	HERBAL_PROSE	f11r	H3-S001	E043	cphy	H3	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten nachseihen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
44	HERBAL_PROSE	f11r	H3-S001	E044	shey	H3	C01	Setze die gelernte Fachkarte: klarer Auszug.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
45	HERBAL_PROSE	f11r	H3-S001	E045	tchody	H3	C01	Setze die gelernte Fachkarte: Eingangsposten beiseitestellen; Schluss.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
46	HERBAL_PROSE	f11r	H3-S002	E046	shoyty	H3	C01	Setze die gelernte Fachkarte: Zutatenteil.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
47	HERBAL_PROSE	f11r	H3-S003	E047	dchol	H3	C02	Danach oder in demselben Gang: vorigen Posten fortsetzen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
48	HERBAL_PROSE	f11r	H3-S003	E048	chy	H3	C12	Nimm diesen Posten wieder auf: dieser Posten.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
49	HERBAL_PROSE	f11r	H3-S003	E049	kchy	H3	C07	Führe es mit diesem laufenden Posten aus: diesen Posten bearbeiten.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
50	HERBAL_PROSE	f11r	H3-S003	E050	dy	H3	C12	Nimm diesen Posten wieder auf: dieser Posten.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
51	HERBAL_PROSE	f11r	H3-S003	E051	daiin	H3	C10	Setze Maß, Portion oder Stufe: Sollmaß.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
52	HERBAL_PROSE	f11r	H3-S004	E052	qotchy	H3	C02	Danach oder in demselben Gang: anschließender Arbeitsposten.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
53	HERBAL_PROSE	f11r	H3-S004	E053	okchol	H3	C02	Danach oder in demselben Gang: weiterlaufenden Posten aufnehmen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
54	HERBAL_PROSE	f11r	H3-S004	E054	cthy	H3	C07	Führe es mit diesem laufenden Posten aus: bereit.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
55	HERBAL_PROSE	f11r	H3-S004	E055	dy	H3	C12	Nimm diesen Posten wieder auf: dieser Posten.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
56	HERBAL_PROSE	f55v	H4-S001	E056	qokaiin	H4	C06	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
57	HERBAL_PROSE	f55v	H4-S001	E057	chaiin	H4	C10	Setze Maß, Portion oder Stufe: Sollmaß.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE
