dimension	value	count	component_ids	note	status
TOPOLOGY	ORDERED_REPEATED_COMMON_DESTINATION_FANOUT	1	M006	two actions share one written destination; no serial output carry	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
TOPOLOGY	SERIAL_ACTION_OUTPUT_CHAIN	1	M007	the written first action result is consumed by the second action	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
TOPOLOGY	SINGLE_EDGE	5	M001|M002|M003|M004|M005	five unchanged GDT697 one-operation components	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
TOPOLOGY	SINGLE_EDGE_ACROSS_EXACT_STATE_CHECKPOINT	1	M009	C011 skips one exact state checkpoint inside its hull	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
TOPOLOGY	SINGLE_EDGE_WITH_UNBOUND_QUANTITY_HULL	1	M008	C010 skips one unbound quantity register inside its hull	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
SUPPORT_PROFILE	A_MINUS_PLUS_B	1	M007	inherited edge tiers remain visible and are not averaged	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
SUPPORT_PROFILE	A_ONLY	4	M002|M003|M004|M005	inherited edge tiers remain visible and are not averaged	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
SUPPORT_PROFILE	A_PLUS_B	1	M006	inherited edge tiers remain visible and are not averaged	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
SUPPORT_PROFILE	B_ONLY	3	M001|M008|M009	inherited edge tiers remain visible and are not averaged	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
POSITION_CLASS	EDGE_NODE	23	M001|M002|M003|M004|M005|M006|M007|M008|M009	unique occurrence nodes in the nine disjoint locus components	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
POSITION_CLASS	HULL_ONLY_NOT_NODE	2	M008|M009	exactly C010#2 and C011#5	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
POSITION_CLASS	RENDER_ONLY_STRUCTURAL	1	M009	free DY at f26r.2#7	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
RESULT_STATUS	NAMED_INTERMEDIATE_OUTPUT	1	M007	qodar#4 remains the sole written serial intermediate	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
SOURCE_FINAL_STATUS	UNNAMED_NO_OUTGOING_EDGE	8	M001|M002|M003|M004|M005|M006|M007|M009	explicit inherited final status	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
SOURCE_FINAL_STATUS	NOT_DECLARED_IN_V72	1	M008	C010 has no source final-result-status field	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
RESULT_STATUS	NAMED_FINAL_RESULT	0	NONE	no target action has an admitted outgoing named-result edge	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
