record_unit_id	page	assigned_hand	input_item_de	input_owner_or_source_de	surface_stream	event_count	statement_count	microcycle_count	slot_inventory	program_inventory	dominant_program	output_item_de	receiver_or_shelf	handoff_mode	apprentice_run_instruction_de	identity_value_owner_slot_boundary_preserved
H1	f10r	HAND_A_BARE	Abgebildeter Wurzelteil	Bildbesitzer f10r	dchey cthoor dar chty os chair otytchol oky aiin etyd okchy qotchol ol cthy	14	2	7	S1_BEZUG_FOLGE|S6_BEREIT_ABSCHLUSS|S2_MATERIAL_MASS|S3_PROZESS_TRANSFER|S5_ZIEL_ANWENDUNG	P12_BESTAND_REFERENZIEREN|P11_BEREITEN_SCHLIESSEN|P02_MATERIAL_GEBEN|P08_DURCHLASSEN|P06_FORTSETZEN|P03_AM_ZIEL_EINSETZEN|P01_DOSIEREN	P12_BESTAND_REFERENZIEREN	Bemessener Wurzel-Wasseransatz mit Kurzrest	B1	SAME_HAND_DELIVERY	Nimm abgebildeter wurzelteil bei bildbesitzer f10r; arbeite die 2 Aussagen in Kartenfolge ab; kennzeichne das Ergebnis als bemessener wurzel-wasseransatz mit kurzrest und übergib es an B1.	YES
H2	f10r	HAND_A_BARE	Laufender Auszugsansatz	Voriger Artikel unter demselben Pflanzenbild	ycheor cthy or cthaiin qoctholy y y aiin y otchor or otol ol olor ol aiin dar oykchor or or y kaiiin y chodaiin	24	3	8	S1_BEZUG_FOLGE|S6_BEREIT_ABSCHLUSS|S2_MATERIAL_MASS	P12_BESTAND_REFERENZIEREN|P11_BEREITEN_SCHLIESSEN|P01_DOSIEREN|P06_FORTSETZEN	P12_BESTAND_REFERENZIEREN	Fortgesetzter Auszugsansatz mit Zutatsollmaß	B1	SAME_HAND_DELIVERY	Nimm laufender auszugsansatz bei voriger artikel unter demselben pflanzenbild; arbeite die 3 Aussagen in Kartenfolge ab; kennzeichne das Ergebnis als fortgesetzter auszugsansatz mit zutatsollmaß und übergib es an B1.	YES
H3	f11r	HAND_B_Q_OPERATIONAL	Abgebildetes Blütenkraut	Bildbesitzer f11r	tshol schoal cfhy shfydaiin cphy shey tchody shoyty dchol y kchy y aiin qotchy okchol cthy y	17	4	7	S1_BEZUG_FOLGE|S5_ZIEL_ANWENDUNG|S3_PROZESS_TRANSFER|S6_BEREIT_ABSCHLUSS|S2_MATERIAL_MASS	P12_BESTAND_REFERENZIEREN|P03_AM_ZIEL_EINSETZEN|P10_ABZIEHEN_ABFUEHREN|P09_ABSETZEN_SAMMELN|P08_DURCHLASSEN|P06_FORTSETZEN|P11_BEREITEN_SCHLIESSEN|P01_DOSIEREN	P12_BESTAND_REFERENZIEREN	Gestandener und nachgeseihter Klarauszug	B2	SAME_HAND_DELIVERY	Nimm abgebildetes blütenkraut bei bildbesitzer f11r; arbeite die 4 Aussagen in Kartenfolge ab; kennzeichne das Ergebnis als gestandener und nachgeseihter klarauszug und übergib es an B2.	YES
H4	f55v	HAND_C_S_ENTRY	Abgebildetes Blattmaterial	Bildbesitzer f55v	okaiin saiin ykain ykan ody saiin chdy talam ykaiin cheoar cheeky oldy saiin okal oltchy sor sy orain	18	4	6	S2_MATERIAL_MASS|S3_PROZESS_TRANSFER|S6_BEREIT_ABSCHLUSS|S4_DAUER_ZUSTAND|S1_BEZUG_FOLGE|S5_ZIEL_ANWENDUNG	P01_DOSIEREN|P10_ABZIEHEN_ABFUEHREN|P07_UEBERFUEHREN|P11_BEREITEN_SCHLIESSEN|P05_LANG_BEHANDELN|P06_FORTSETZEN|P03_AM_ZIEL_EINSETZEN|P12_BESTAND_REFERENZIEREN	P01_DOSIEREN	Geteilte und lang erwärmte Auszugsportion	B4	SAME_HAND_DELIVERY	Nimm abgebildetes blattmaterial bei bildbesitzer f55v; arbeite die 4 Aussagen in Kartenfolge ab; kennzeichne das Ergebnis als geteilte und lang erwärmte auszugsportion und übergib es an B4.	YES
H5	f56r	HAND_D_EXPANDED	Abgebildeter Stängel-/Pflanzenteil	Bildbesitzer f56r	chochor cho chodaly chaiin cho kchol qotchor choky cheal schol choy choky cheeckhody sh cho kchey qokokchy chokchy chokcheo kchal cho chokchy kchoar sotodan otchey keol chaiin	27	6	11	S1_BEZUG_FOLGE|S5_ZIEL_ANWENDUNG|S2_MATERIAL_MASS|S6_BEREIT_ABSCHLUSS	P12_BESTAND_REFERENZIEREN|P03_AM_ZIEL_EINSETZEN|P01_DOSIEREN|P06_FORTSETZEN|P11_BEREITEN_SCHLIESSEN|P02_MATERIAL_GEBEN	P03_AM_ZIEL_EINSETZEN	Gebundener Zutaten- und Auszugsansatz für Folgeposten	B4	CROSS_HAND_RELAY_D_TO_C	Nimm abgebildeter stängel-/pflanzenteil bei bildbesitzer f56r; arbeite die 6 Aussagen in Kartenfolge ab; kennzeichne das Ergebnis als gebundener zutaten- und auszugsansatz für folgeposten und übergib es an B4.	YES
B1	f81v	HAND_A_BARE	H1-Wurzelansatz und H2-Folgeansatz	Gemeinsames Behandlungsbecken	qokedy okaiin kair okal dar ol kain olkain al ol rol dl olor ol sheckhal aiin qokeedal aiin chckhy dchedy ol sshkchdy chdy ol tedy olchedy okain chckhy dl ral qokchdy y ol cheky ol tedy qokedy qokedy chckhy oky lsho okey lshedy lshedy chdy qolky lchedal ol otar ytey okchedy okal okeey ol tedy al teol dchdy ly dsheol oiiin olkeedy tedy cheky shckhedy al	66	21	37	S4_DAUER_ZUSTAND|S2_MATERIAL_MASS|S3_PROZESS_TRANSFER|S5_ZIEL_ANWENDUNG|S1_BEZUG_FOLGE	P04_KURZ_BEHANDELN|P01_DOSIEREN|P08_DURCHLASSEN|P03_AM_ZIEL_EINSETZEN|P12_BESTAND_REFERENZIEREN|P06_FORTSETZEN|P02_MATERIAL_GEBEN|P05_LANG_BEHANDELN|P07_UEBERFUEHREN|P09_ABSETZEN_SAMMELN|P10_ABZIEHEN_ABFUEHREN	P06_FORTSETZEN	Bemessene, behandelte und überführte Beckenportionen	TERMINAL_APPLICATION_SHELF_B1	LOCAL_SHELF_NO_DRAWN_NEXT_POINTER	Nimm h1-wurzelansatz und h2-folgeansatz bei gemeinsames behandlungsbecken; arbeite die 21 Aussagen in Kartenfolge ab; kennzeichne das Ergebnis als bemessene, behandelte und überführte beckenportionen und übergib es an TERMINAL_APPLICATION_SHELF_B1.	YES
B2	f82r	HAND_B_Q_OPERATIONAL	H3-Klarauszug und lokale Beckenposten	Mehrere f82r-Stationen	dchedy qolchedy qokain y qokeedy qokal lcheckhy lched qokeey lcheckhedy qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy oteey qokal sheckhy qoky dshedy otaiin qokar tedy solshedy qokeey qoky ls shey qokain dar qokain qokeedy lchy shey qcthey qokeey lcheey aiin y qokeeedy lchedy lar tshey qokeedy al lchedar ches aiin oteey qokaiin qokey pchedy rsheal daldy qokeedy rshedy qoteedy qokeedy lochedy	62	22	40	S3_PROZESS_TRANSFER|S1_BEZUG_FOLGE|S2_MATERIAL_MASS|S4_DAUER_ZUSTAND|S5_ZIEL_ANWENDUNG	P07_UEBERFUEHREN|P06_FORTSETZEN|P02_MATERIAL_GEBEN|P12_BESTAND_REFERENZIEREN|P05_LANG_BEHANDELN|P03_AM_ZIEL_EINSETZEN|P10_ABZIEHEN_ABFUEHREN|P09_ABSETZEN_SAMMELN|P08_DURCHLASSEN|P01_DOSIEREN|P04_KURZ_BEHANDELN	P10_ABZIEHEN_ABFUEHREN	Lang behandelte, abgesetzte und klar abgezogene Stationsportionen	TERMINAL_APPLICATION_SHELF_B2	LOCAL_SHELF_NO_DRAWN_NEXT_POINTER	Nimm h3-klarauszug und lokale beckenposten bei mehrere f82r-stationen; arbeite die 22 Aussagen in Kartenfolge ab; kennzeichne das Ergebnis als lang behandelte, abgesetzte und klar abgezogene stationsportionen und übergib es an TERMINAL_APPLICATION_SHELF_B2.	YES
B3	f83r	HAND_D_EXPANDED	Lokal bereitgestellter Stationsposten	Korb, Randgefäße und verbundenes Paar	solkeedy qotal chkeedy chey chaiin chey lchedy qokaiin qotal char tchedy chedchy qokal qolchedy qokaiin chedy qokeedy lchedy choky pchedal otedy shecthedchy choky chedy chary chor cheedy qokaiin chkain shcthey qokedy okair sheedy lchedy lo qokchedy qokeedy cheedy qokshedy cheal lchedy qokaiin checthy cheal chey chaiin shedal shecthy chey cheal checthy dalchdy qotchedy lchedy tchedy qokchdy cheedar chldaiin chedy qokain checthy chealror solkeedy qoteedy qokeey qokedy cheol cheeety qokedy choky chaiin schedair qotchedy qokeedy chedain chedy qotedaiin sotaiin otedy ldy soiiin checthy chety sotaiin olsaly cheedy	86	34	56	S3_PROZESS_TRANSFER|S5_ZIEL_ANWENDUNG|S4_DAUER_ZUSTAND|S1_BEZUG_FOLGE|S2_MATERIAL_MASS|S6_BEREIT_ABSCHLUSS	P09_ABSETZEN_SAMMELN|P03_AM_ZIEL_EINSETZEN|P05_LANG_BEHANDELN|P12_BESTAND_REFERENZIEREN|P01_DOSIEREN|P10_ABZIEHEN_ABFUEHREN|P07_UEBERFUEHREN|P06_FORTSETZEN|P04_KURZ_BEHANDELN|P11_BEREITEN_SCHLIESSEN|P02_MATERIAL_GEBEN	P07_UEBERFUEHREN	Überführte, bemessene und abgesetzte Gefäßportionen	TERMINAL_WORK_SHELF_B3	LOCAL_SHELF_NO_DRAWN_NEXT_POINTER	Nimm lokal bereitgestellter stationsposten bei korb, randgefäße und verbundenes paar; arbeite die 34 Aussagen in Kartenfolge ab; kennzeichne das Ergebnis als überführte, bemessene und abgesetzte gefäßportionen und übergib es an TERMINAL_WORK_SHELF_B3.	YES
B4	f83r	HAND_C_S_ENTRY	H4-Auszugportion und H5-Folgeposten	Anwendungs-/Durchlasspaar und Seitenstationen	qokeedy qolchey okeey qokedy chdy otal otchey okeey oky sol shedy qokylddy dain chdy qokeedy shckhedy shckhedy saiin cheeky sheey qokedy shedy oldy saiin cheky okeeol okain chdy sol lkedy lchedy qokol shedy sor sy qockhey dairydy okain shey kain chckhal solkey lchedy olkain sal skar shedy	47	16	23	S4_DAUER_ZUSTAND|S1_BEZUG_FOLGE|S3_PROZESS_TRANSFER|S5_ZIEL_ANWENDUNG|S6_BEREIT_ABSCHLUSS|S2_MATERIAL_MASS	P05_LANG_BEHANDELN|P06_FORTSETZEN|P04_KURZ_BEHANDELN|P07_UEBERFUEHREN|P03_AM_ZIEL_EINSETZEN|P09_ABSETZEN_SAMMELN|P11_BEREITEN_SCHLIESSEN|P02_MATERIAL_GEBEN|P08_DURCHLASSEN|P01_DOSIEREN|P10_ABZIEHEN_ABFUEHREN|P12_BESTAND_REFERENZIEREN	P05_LANG_BEHANDELN	Am Ziel behandelte, durchgelassene und gesammelte Portionen	TERMINAL_APPLICATION_SHELF_B4	LOCAL_SHELF_NO_DRAWN_NEXT_POINTER	Nimm h4-auszugportion und h5-folgeposten bei anwendungs-/durchlasspaar und seitenstationen; arbeite die 16 Aussagen in Kartenfolge ab; kennzeichne das Ergebnis als am ziel behandelte, durchgelassene und gesammelte portionen und übergib es an TERMINAL_APPLICATION_SHELF_B4.	YES
B5	f83r	HAND_D_EXPANDED	Laufender Posten der linken Randstation	Linke offene Randstation	otchdy qokchdy shedal cheal cheol lol chdal chaiin cheol daiiin chedy	11	3	6	S3_PROZESS_TRANSFER|S5_ZIEL_ANWENDUNG|S1_BEZUG_FOLGE|S2_MATERIAL_MASS	P07_UEBERFUEHREN|P03_AM_ZIEL_EINSETZEN|P09_ABSETZEN_SAMMELN|P06_FORTSETZEN|P10_ABZIEHEN_ABFUEHREN|P01_DOSIEREN	P07_UEBERFUEHREN	Überführter Folgeposten	TERMINAL_WORK_SHELF_B5	LOCAL_SHELF_NO_DRAWN_NEXT_POINTER	Nimm laufender posten der linken randstation bei linke offene randstation; arbeite die 3 Aussagen in Kartenfolge ab; kennzeichne das Ergebnis als überführter folgeposten und übergib es an TERMINAL_WORK_SHELF_B5.	YES
