record_unit_id	page	assigned_hand	source_state_ids	source_state_names_de	target_state_id	target_state_name_de	specific_input_de	specific_output_de	dominant_program	receiver_or_shelf	transition_kind	new_card_gloss_added
H1	f10r	HAND_A_BARE	M1_RAW_PART	Rohteil	M2_PREPARATION	Ansatz	Abgebildeter Wurzelteil	Bemessener Wurzel-Wasseransatz mit Kurzrest	P12_BESTAND_REFERENZIEREN	B1	STATE_ADVANCE_OR_BRANCH	NO
H2	f10r	HAND_A_BARE	M2_PREPARATION	Ansatz	M2_PREPARATION	Ansatz	Laufender Auszugsansatz	Fortgesetzter Auszugsansatz mit Zutatsollmaß	P12_BESTAND_REFERENZIEREN	B1	STATE_CONTINUATION_LOOP	NO
H3	f11r	HAND_B_Q_OPERATIONAL	M1_RAW_PART	Rohteil	M3_CLEAR_EXTRACT	Klarauszug	Abgebildetes Blütenkraut	Gestandener und nachgeseihter Klarauszug	P12_BESTAND_REFERENZIEREN	B2	STATE_ADVANCE_OR_BRANCH	NO
H4	f55v	HAND_C_S_ENTRY	M1_RAW_PART	Rohteil	M4_MEASURED_PORTION	Bemessene Portion	Abgebildetes Blattmaterial	Geteilte und lang erwärmte Auszugsportion	P01_DOSIEREN	B4	STATE_ADVANCE_OR_BRANCH	NO
H5	f56r	HAND_D_EXPANDED	M1_RAW_PART	Rohteil	M2_PREPARATION	Ansatz	Abgebildeter Stängel-/Pflanzenteil	Gebundener Zutaten- und Auszugsansatz für Folgeposten	P03_AM_ZIEL_EINSETZEN	B4	STATE_ADVANCE_OR_BRANCH	NO
B1	f81v	HAND_A_BARE	M2_PREPARATION	Ansatz	M4_MEASURED_PORTION	Bemessene Portion	H1-Wurzelansatz und H2-Folgeansatz	Bemessene, behandelte und überführte Beckenportionen	P06_FORTSETZEN	TERMINAL_APPLICATION_SHELF_B1	STATE_ADVANCE_OR_BRANCH	NO
B2	f82r	HAND_B_Q_OPERATIONAL	M3_CLEAR_EXTRACT	Klarauszug	M3_CLEAR_EXTRACT	Klarauszug	H3-Klarauszug und lokale Beckenposten	Lang behandelte, abgesetzte und klar abgezogene Stationsportionen	P10_ABZIEHEN_ABFUEHREN	TERMINAL_APPLICATION_SHELF_B2	STATE_CONTINUATION_LOOP	NO
B3	f83r	HAND_D_EXPANDED	M2_PREPARATION	Ansatz	M4_MEASURED_PORTION	Bemessene Portion	Lokal bereitgestellter Stationsposten	Überführte, bemessene und abgesetzte Gefäßportionen	P07_UEBERFUEHREN	TERMINAL_WORK_SHELF_B3	STATE_ADVANCE_OR_BRANCH	NO
B4	f83r	HAND_C_S_ENTRY	M4_MEASURED_PORTION+M2_PREPARATION	Bemessene Portion+Ansatz	M3_CLEAR_EXTRACT	Klarauszug	H4-Auszugportion und H5-Folgeposten	Am Ziel behandelte, durchgelassene und gesammelte Portionen	P05_LANG_BEHANDELN	TERMINAL_APPLICATION_SHELF_B4	TWO_INPUT_COMBINATION	NO
B5	f83r	HAND_D_EXPANDED	M2_PREPARATION	Ansatz	M2_PREPARATION	Ansatz	Laufender Posten der linken Randstation	Überführter Folgeposten	P07_UEBERFUEHREN	TERMINAL_WORK_SHELF_B5	STATE_CONTINUATION_LOOP	NO
B6	f83r	HAND_D_EXPANDED	M2_PREPARATION	Ansatz	M5_APPLICATION_ITEM	Anwendungsposten	Laufender Posten des rechten Mehrports	Fortgesetzter und zielgesetzter Mehrportposten	P06_FORTSETZEN	TERMINAL_WORK_SHELF_B6	STATE_ADVANCE_OR_BRANCH	NO
