lesson_layer	entry	meaning_de	learning_method
PROCEDURE_MOTIF	M01	Schließen, dann neue Portion zugeben	produktive Regel mit wechselnden Karten
PROCEDURE_MOTIF	M02	Ziel setzen, passieren und transferieren	produktive Regel mit wechselnden Karten
PROCEDURE_MOTIF	M03	Halten oder bearbeiten, dann absetzen/schließen	produktive Regel mit wechselnden Karten
PROCEDURE_MOTIF	M04	Bemessen, dann passieren oder zuführen	produktive Regel mit wechselnden Karten
PROCEDURE_MOTIF	M05	Waschen oder Kontakt, dann schließen	produktive Regel mit wechselnden Karten
PROCEDURE_MOTIF	M06	Empfangen, sammeln oder Ergebnis abnehmen	produktive Regel mit wechselnden Karten
PROCEDURE_MOTIF	M07	Lokal übergeben, weiterleiten oder abführen	produktive Regel mit wechselnden Karten
SPECIALIST_COMPONENT	AIN	PORTION	gemeinsamer Fachbaustein
SPECIALIST_COMPONENT	AIR	LAUFMEDIUM	gemeinsamer Fachbaustein
SPECIALIST_COMPONENT	IIN	ARBEITSSTUFE	gemeinsamer Fachbaustein
SPECIALIST_COMPONENT	CKH	DURCHLASS	gemeinsamer Fachbaustein
SPECIALIST_COMPONENT	LSH	WASCHGANG	gemeinsamer Fachbaustein
SPECIALIST_COMPONENT	RESULT	ERGEBNIS	gemeinsamer Fachbaustein
LEARNED_WHOLE_SIGN	sshkchdy	SCHWENKEN; SCHLUSS	aus Musterseite auswendig lernen
LEARNED_WHOLE_SIGN	ytey	FÜLLEN	aus Musterseite auswendig lernen
LEARNED_WHOLE_SIGN	dl	BADZUSATZ	aus Musterseite auswendig lernen
LEARNED_WHOLE_SIGN	ls	DÜSE	aus Musterseite auswendig lernen
LEARNED_WHOLE_SIGN	ly	AUFFANGSCHALE	aus Musterseite auswendig lernen
LEARNED_WHOLE_SIGN	ches	GLEICHTEILEN	aus Musterseite auswendig lernen
ATOMIC_COMMAND	qoky	EINSETZEN	elementare Karte
ATOMIC_COMMAND	qokylddy	BEFESTIGEN; SCHLUSS	elementare Karte
ATOMIC_COMMAND	oldy	SCHLUSS	elementare Karte
