occurrence_no	clause_id	instruction_id	record	page	action_component	frame_code	frame_conditioned_verb_de	trigger	narrowed_from_base	member_card_nos	source_position_ids	source_pass	component_values_changed
1	I001-C01	I001	H1	f10r	CH	TAKE_OFF	abnehmen	CH ohne Stoffrahmen	YES	PROC001	SRC_E001	PASS552	NO
2	I001-C02	I001	H1	f10r	T	SOURCE_COPY	übertragen	T plus Quelle	YES	PROC002|PROC003|PROC004	SRC_E002|SRC_E003|SRC_E004	PASS553	NO
3	I001-C03	I001	H1	f10r	CH	PATH_DRAW	ablaufen lassen	CH plus Lauf/Durchlass	YES	PROC005|PROC006	SRC_E005|SRC_E006	PASS552	NO
4	I001-C04	I001	H1	f10r	CH	TAKE_OFF	abnehmen	CH ohne Stoffrahmen	YES	PROC007	SRC_E007	PASS552	NO
5	I001-C04	I001	H1	f10r	T	CONTINUE_ENTRY	eintragen	T in laufender Folge	NO	PROC007	SRC_E007	PASS553	NO
6	I001-C05	I001	H1	f10r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	YES	PROC008	SRC_E008	PASS551	NO
7	I001-C06	I001	H1	f10r	T	MEASURED_ENTRY	eintragen	T plus Maß/Portion	NO	PROC009|PROC010	SRC_E009|SRC_E010	PASS553	NO
8	I001-C07	I001	H1	f10r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	YES	PROC011	SRC_E011	PASS551	NO
9	I001-C08	I001	H1	f10r	CH	TAKE_OFF	abnehmen	CH ohne Stoffrahmen	YES	PROC012|PROC013|PROC014	SRC_E012|SRC_E013|SRC_E014	PASS552	NO
10	I002-C01	I002	H2	f10r	CH	PREPARATION_DRAW	abziehen	CH plus Ansatz/Arbeitsgang/Gabe	NO	PROC015	SRC_E015	PASS552	NO
11	I002-C02	I002	H2	f10r	CH	PREPARATION_DRAW	abziehen	CH plus Ansatz/Arbeitsgang/Gabe	NO	PROC014|PROC016|PROC017|PROC018|PROC019|PROC019|PROC009|PROC019|PROC020	SRC_E016|SRC_E017|SRC_E018|SRC_E019|SRC_E020|SRC_E021|SRC_E022|SRC_E023|SRC_E024	PASS552	NO
12	I002-C03	I002	H2	f10r	K	MATERIAL_ADD	zugeben	K plus Ansatz/Arbeitsgang/Gabe	YES	PROC016|PROC021|PROC013|PROC022|PROC013|PROC009|PROC003|PROC023	SRC_E025|SRC_E026|SRC_E027|SRC_E028|SRC_E029|SRC_E030|SRC_E031|SRC_E032	PASS551	NO
13	I002-C04	I002	H2	f10r	K	MATERIAL_ADD	zugeben	K plus Ansatz/Arbeitsgang/Gabe	YES	PROC016|PROC016|PROC019|PROC024	SRC_E033|SRC_E034|SRC_E035|SRC_E036	PASS551	NO
14	I002-C05	I002	H2	f10r	CH	PREPARATION_DRAW	abziehen	CH plus Ansatz/Arbeitsgang/Gabe	NO	PROC019|PROC025	SRC_E037|SRC_E038	PASS552	NO
15	I003-C01	I003	H3	f11r	SH	HOLD	halten	SH ohne engeren Rahmen	NO	PROC026	SRC_E039	PASS552	NO
16	I003-C01	I003	H3	f11r	T	CONTINUE_ENTRY	eintragen	T in laufender Folge	NO	PROC026	SRC_E039	PASS553	NO
17	I003-C02	I003	H3	f11r	SH	TARGET_HOLD	an Ort halten	SH plus Ziel	YES	PROC027	SRC_E040	PASS552	NO
18	I003-C03	I003	H3	f11r	CFH	WRING	auswringen	gelernter Fachkern	NO	PROC028	SRC_E041	PASS553	NO
19	I003-C04	I003	H3	f11r	SH	HOLD	halten	SH ohne engeren Rahmen	NO	PROC029	SRC_E042	PASS552	NO
20	I003-C05	I003	H3	f11r	P	INSERT	hineingeben	P ohne engeren Rahmen	NO	PROC030	SRC_E043	PASS553	NO
21	I003-C06	I003	H3	f11r	SH	TIMED_HOLD	halten	SH plus Grad ohne Schluss	NO	PROC031	SRC_E044	PASS552	NO
22	I003-C07	I003	H3	f11r	CH	PREPARATION_DRAW	abziehen	CH plus Ansatz/Arbeitsgang/Gabe	NO	PROC032	SRC_E045	PASS552	NO
23	I003-C07	I003	H3	f11r	T	COMMIT_ENTRY	abschließend eintragen	T plus Arbeitsstoff und Schluss	YES	PROC032	SRC_E045	PASS553	NO
24	I004-C01	I004	H3	f11r	SH	HOLD	halten	SH ohne engeren Rahmen	NO	PROC033	SRC_E046	PASS552	NO
25	I004-C01	I004	H3	f11r	T	PROCESS_ENTRY	eintragen	T plus Arbeitsstoff	NO	PROC033	SRC_E046	PASS553	NO
26	I004-C02	I004	H3	f11r	K	ADD	zugeben	K ohne engeren Rahmen	YES	PROC034|PROC019|PROC035	SRC_E047|SRC_E048|SRC_E049	PASS551	NO
27	I004-C03	I004	H3	f11r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	YES	PROC019|PROC009|PROC036|PROC037|PROC014|PROC019	SRC_E050|SRC_E051|SRC_E052|SRC_E053|SRC_E054|SRC_E055	PASS551	NO
28	I005-C01	I005	H4	f55v	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	YES	PROC038	SRC_E056	PASS551	NO
29	I005-C02	I005	H4	f55v	K	MEASURED_ADD	dosiert zugeben	K plus Maß/Portion	YES	PROC009|PROC039	SRC_E057|SRC_E058	PASS551	NO
30	I005-C03	I005	H4	f55v	K	MATERIAL_ADD	zugeben	K plus Ansatz/Arbeitsgang/Gabe	YES	PROC040|PROC041	SRC_E059|SRC_E060	PASS551	NO
31	I006-C01	I006	H4	f55v	CHD	MEASURED_TRANSFER	abmessen und umsetzen	CHD plus Maß/Portion	YES	PROC009|PROC042	SRC_E061|SRC_E062	PASS551	NO
32	I006-C02	I006	H4	f55v	TALAM	STORE	verwahren	gelernter Fachkern	NO	PROC043	SRC_E063	PASS553	NO
33	I006-C03	I006	H4	f55v	K	MEASURED_ADD	dosiert zugeben	K plus Maß/Portion	YES	PROC044	SRC_E064	PASS551	NO
34	I006-C04	I006	H4	f55v	CH	SOURCE_TAKE	entnehmen	CH plus Quelle	YES	PROC045	SRC_E065	PASS552	NO
35	I006-C05	I006	H4	f55v	CHK	COMMIT_TEMPER	temperieren	CHK plus Schluss	YES	PROC046|PROC047	SRC_E066|SRC_E067	PASS552	NO
36	I007-C01	I007	H4	f55v	OK	TARGET_APPLY	anlegen	OK plus Zielstelle/Arbeitsfach	YES	PROC009|PROC048	SRC_E068|SRC_E069	PASS551	NO
37	I007-C02	I007	H4	f55v	T	MEASURED_ENTRY	eintragen	T plus Maß/Portion	NO	PROC049|PROC016|PROC019|PROC050	SRC_E070|SRC_E071|SRC_E072|SRC_E073	PASS553	NO
38	I008-C01	I008	H5	f56r	CH	PREPARATION_DRAW	abziehen	CH plus Ansatz/Arbeitsgang/Gabe	NO	PROC051	SRC_E074	PASS552	NO
39	I008-C02	I008	H5	f56r	K	TARGET_FEED	zuführen	K plus Ziel	YES	PROC052|PROC053|PROC009|PROC052|PROC054	SRC_E075|SRC_E076|SRC_E077|SRC_E078|SRC_E079	PASS551	NO
40	I008-C03	I008	H5	f56r	CH	PREPARATION_DRAW	abziehen	CH plus Ansatz/Arbeitsgang/Gabe	NO	PROC020	SRC_E080	PASS552	NO
41	I008-C04	I008	H5	f56r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	YES	PROC008	SRC_E081	PASS551	NO
42	I008-C05	I008	H5	f56r	OK	TARGET_APPLY	anlegen	OK plus Zielstelle/Arbeitsfach	YES	PROC055|PROC034|PROC056|PROC008	SRC_E082|SRC_E083|SRC_E084|SRC_E085	PASS551	NO
43	I008-C06	I008	H5	f56r	CH	PATH_DRAW	ablaufen lassen	CH plus Lauf/Durchlass	YES	PROC057	SRC_E086	PASS552	NO
44	I009-C01	I009	H5	f56r	SH	HOLD	halten	SH ohne engeren Rahmen	NO	PROC058	SRC_E087	PASS552	NO
45	I009-C02	I009	H5	f56r	K	MATERIAL_ADD	zugeben	K plus Ansatz/Arbeitsgang/Gabe	YES	PROC052|PROC059	SRC_E088|SRC_E089	PASS551	NO
46	I009-C03	I009	H5	f56r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	YES	PROC060	SRC_E090	PASS551	NO
47	I009-C03	I009	H5	f56r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	YES	PROC060	SRC_E090	PASS551	NO
48	I009-C04	I009	H5	f56r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	YES	PROC011	SRC_E091	PASS551	NO
49	I009-C05	I009	H5	f56r	CH	PREPARATION_DRAW	abziehen	CH plus Ansatz/Arbeitsgang/Gabe	NO	PROC061	SRC_E092	PASS552	NO
50	I009-C05	I009	H5	f56r	OK	PREPARATION_START	ansetzen	OK plus Ansatz/Arbeitsgang/Gabe	YES	PROC061	SRC_E092	PASS551	NO
51	I009-C06	I009	H5	f56r	K	TARGET_FEED	zuführen	K plus Ziel	YES	PROC062	SRC_E093	PASS551	NO
52	I009-C07	I009	H5	f56r	OK	PREPARATION_START	ansetzen	OK plus Ansatz/Arbeitsgang/Gabe	YES	PROC052|PROC011	SRC_E094|SRC_E095	PASS551	NO
53	I009-C08	I009	H5	f56r	K	MATERIAL_ADD	zugeben	K plus Ansatz/Arbeitsgang/Gabe	YES	PROC063	SRC_E096	PASS551	NO
54	I009-C09	I009	H5	f56r	K	MATERIAL_ADD	zugeben	K plus Ansatz/Arbeitsgang/Gabe	YES	PROC064|PROC065|PROC066|PROC009	SRC_E097|SRC_E098|SRC_E099|SRC_E100	PASS551	NO
55	I010-C01	I010	B1	f81v	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	YES	PROC067	SRC_E101	PASS551	NO
56	I011-C01	I011	B1	f81v	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	YES	PROC038	SRC_E102	PASS551	NO
57	I011-C02	I011	B1	f81v	K	PATH_FEED	einspeisen	K plus Lauf/Durchlass	YES	PROC068	SRC_E103	PASS551	NO
58	I011-C03	I011	B1	f81v	OK	TARGET_APPLY	anlegen	OK plus Zielstelle/Arbeitsfach	YES	PROC048	SRC_E104	PASS551	NO
59	I011-C04	I011	B1	f81v	K	MEASURED_ADD	dosiert zugeben	K plus Maß/Portion	YES	PROC003|PROC013|PROC069	SRC_E105|SRC_E106|SRC_E107	PASS551	NO
60	I011-C05	I011	B1	f81v	K	MEASURED_ADD	dosiert zugeben	K plus Maß/Portion	YES	PROC070	SRC_E108	PASS551	NO
61	I011-C06	I011	B1	f81v	R	TARGET_COOL	abkühlen lassen	R plus Ziel	YES	PROC055|PROC013|PROC071	SRC_E109|SRC_E110|SRC_E111	PASS552	NO
62	I011-C07	I011	B1	f81v	L	GUIDE	führen	L ohne engeren Rahmen	YES	PROC072	SRC_E112	PASS551	NO
63	I011-C08	I011	B1	f81v	SH	PATH_HOLD	zurückhalten	SH plus Lauf/Durchlass	YES	PROC022|PROC013|PROC073	SRC_E113|SRC_E114|SRC_E115	PASS552	NO
64	I011-C09	I011	B1	f81v	OK	TARGET_APPLY	anlegen	OK plus Zielstelle/Arbeitsfach	YES	PROC009|PROC074	SRC_E116|SRC_E117	PASS551	NO
65	I011-C10	I011	B1	f81v	CHD	PATH_TRANSFER	durchleiten	CHD plus Lauf/Durchlass	YES	PROC009|PROC075|PROC076	SRC_E118|SRC_E119|SRC_E120	PASS551	NO
66	I012-C01	I012	B1	f81v	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	YES	PROC013|PROC077	SRC_E121|SRC_E122	PASS551	NO
67	I012-C01	I012	B1	f81v	K	COMMIT_ADD	zugeben	K plus Schluss	YES	PROC013|PROC077	SRC_E121|SRC_E122	PASS551	NO
68	I012-C01	I012	B1	f81v	SH	HOLD	halten	SH ohne engeren Rahmen	NO	PROC013|PROC077	SRC_E121|SRC_E122	PASS552	NO
69	I013-C01	I013	B1	f81v	CHD	TRANSFER	umsetzen	CHD ohne engeren Rahmen	YES	PROC042	SRC_E123	PASS551	NO
70	I013-C02	I013	B1	f81v	SHED	COMMIT_SETTLE	absetzen lassen	SHED plus Schluss	YES	PROC013|PROC078	SRC_E124|SRC_E125	PASS552	NO
71	I014-C01	I014	B1	f81v	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	YES	PROC079	SRC_E126	PASS551	NO
72	I015-C01	I015	B1	f81v	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	YES	PROC080	SRC_E127	PASS551	NO
73	I015-C02	I015	B1	f81v	L	PATH_GUIDE	durchleiten	L plus Lauf/Durchlass	YES	PROC075|PROC072	SRC_E128|SRC_E129	PASS551	NO
74	I015-C03	I015	B1	f81v	R	TARGET_COOL	abkühlen lassen	R plus Ziel	YES	PROC081	SRC_E130	PASS552	NO
75	I015-C04	I015	B1	f81v	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	YES	PROC082	SRC_E131	PASS551	NO
76	I015-C04	I015	B1	f81v	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	YES	PROC082	SRC_E131	PASS551	NO
77	I016-C01	I016	B1	f81v	CHK	HOLD_WARM	warm halten	CHK plus Grad	YES	PROC019|PROC013|PROC083	SRC_E132|SRC_E133|SRC_E134	PASS552	NO
78	I016-C02	I016	B1	f81v	SHED	COMMIT_SETTLE	absetzen lassen	SHED plus Schluss	YES	PROC013|PROC078	SRC_E135|SRC_E136	PASS552	NO
79	I017-C01	I017	B1	f81v	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	YES	PROC067	SRC_E137	PASS551	NO
80	I018-C01	I018	B1	f81v	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	YES	PROC067	SRC_E138	PASS551	NO
81	I019-C01	I019	B1	f81v	OK	FLOW_START	einleiten	OK plus Lauf/Durchlass	YES	PROC075|PROC008	SRC_E139|SRC_E140	PASS551	NO
82	I019-C02	I019	B1	f81v	LSH	WASH	waschen	LSH ohne Schluss	NO	PROC084	SRC_E141	PASS553	NO
83	I019-C03	I019	B1	f81v	OK	HOLD_ACTIVE	wirken lassen	OK plus Grad ohne Schluss	YES	PROC085	SRC_E142	PASS551	NO
84	I019-C04	I019	B1	f81v	LSH	COMMIT_WASH	durchwaschen	LSH plus Schluss	YES	PROC086	SRC_E143	PASS553	NO
85	I020-C01	I020	B1	f81v	LSH	COMMIT_WASH	durchwaschen	LSH plus Schluss	YES	PROC086	SRC_E144	PASS553	NO
86	I021-C01	I021	B1	f81v	CHD	TRANSFER	umsetzen	CHD ohne engeren Rahmen	YES	PROC042	SRC_E145	PASS551	NO
87	I021-C02	I021	B1	f81v	SOLK	COLLECT	auffangen	SOLK ohne engeren Rahmen	NO	PROC087	SRC_E146	PASS553	NO
88	I021-C03	I021	B1	f81v	CHD	TARGET_TRANSFER	umfüllen	CHD plus Ziel	YES	PROC088	SRC_E147	PASS551	NO
89	I021-C03	I021	B1	f81v	L	TARGET_GUIDE	hinleiten	L plus Ziel	YES	PROC088	SRC_E147	PASS551	NO
90	I021-C04	I021	B1	f81v	T	SOURCE_COPY	übertragen	T plus Quelle	YES	PROC013|PROC089|PROC090	SRC_E148|SRC_E149|SRC_E150	PASS553	NO
91	I021-C05	I021	B1	f81v	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	YES	PROC091	SRC_E151	PASS551	NO
92	I021-C05	I021	B1	f81v	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	YES	PROC091	SRC_E151	PASS551	NO
93	I022-C01	I022	B1	f81v	OK	TARGET_APPLY	anlegen	OK plus Zielstelle/Arbeitsfach	YES	PROC048	SRC_E152	PASS551	NO
94	I022-C02	I022	B1	f81v	OK	HOLD_ACTIVE	wirken lassen	OK plus Grad ohne Schluss	YES	PROC092	SRC_E153	PASS551	NO
95	I022-C03	I022	B1	f81v	SHED	COMMIT_SETTLE	absetzen lassen	SHED plus Schluss	YES	PROC013|PROC078	SRC_E154|SRC_E155	PASS552	NO
96	I023-C01	I023	B1	f81v	CHD	TARGET_TRANSFER	umfüllen	CHD plus Ziel	YES	PROC055|PROC093|PROC094	SRC_E156|SRC_E157|SRC_E158	PASS551	NO
97	I024-C01	I024	B1	f81v	L	GUIDE	führen	L ohne engeren Rahmen	YES	PROC095	SRC_E159	PASS551	NO
98	I024-C02	I024	B1	f81v	SH	TIMED_HOLD	halten	SH plus Grad ohne Schluss	NO	PROC096	SRC_E160	PASS552	NO
99	I024-C03	I024	B1	f81v	SOLK	COMMIT_COLLECT	auffangen und stehen lassen	SOLK plus Grad und Schluss	YES	PROC097|PROC098	SRC_E161|SRC_E162	PASS553	NO
100	I025-C01	I025	B1	f81v	SHED	COMMIT_SETTLE	absetzen lassen	SHED plus Schluss	YES	PROC078	SRC_E163	PASS552	NO
101	I026-C01	I026	B1	f81v	CHK	HOLD_WARM	warm halten	CHK plus Grad	YES	PROC083	SRC_E164	PASS552	NO
102	I026-C02	I026	B1	f81v	SH	PATH_HOLD	zurückhalten	SH plus Lauf/Durchlass	YES	PROC099	SRC_E165	PASS552	NO
103	I028-C01	I028	B2	f82r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	YES	PROC076	SRC_E167	PASS551	NO
104	I029-C01	I029	B2	f82r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	YES	PROC079	SRC_E168	PASS551	NO
105	I030-C01	I030	B2	f82r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	YES	PROC080	SRC_E169	PASS551	NO
106	I030-C02	I030	B2	f82r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	YES	PROC019|PROC100	SRC_E170|SRC_E171	PASS551	NO
107	I031-C01	I031	B2	f82r	OK	TARGET_APPLY	anlegen	OK plus Zielstelle/Arbeitsfach	YES	PROC048	SRC_E172	PASS551	NO
108	I031-C02	I031	B2	f82r	L	PATH_GUIDE	durchleiten	L plus Lauf/Durchlass	YES	PROC101	SRC_E173	PASS551	NO
109	I031-C03	I031	B2	f82r	CHD	TRANSFER	umsetzen	CHD ohne engeren Rahmen	YES	PROC102	SRC_E174	PASS551	NO
110	I031-C03	I031	B2	f82r	L	GUIDE	führen	L ohne engeren Rahmen	YES	PROC102	SRC_E174	PASS551	NO
111	I031-C04	I031	B2	f82r	OK	HOLD_ACTIVE	wirken lassen	OK plus Grad ohne Schluss	YES	PROC092	SRC_E175	PASS551	NO
112	I031-C05	I031	B2	f82r	L	PATH_GUIDE	durchleiten	L plus Lauf/Durchlass	YES	PROC103	SRC_E176	PASS551	NO
113	I032-C01	I032	B2	f82r	OK	TARGET_APPLY	anlegen	OK plus Zielstelle/Arbeitsfach	YES	PROC104	SRC_E177	PASS551	NO
114	I032-C02	I032	B2	f82r	SOLK	MEASURED_COLLECT	bis zum Maß auffangen	SOLK plus Maß/Portion	YES	PROC105	SRC_E178	PASS553	NO
115	I032-C03	I032	B2	f82r	OK	FLOW_START	einleiten	OK plus Lauf/Durchlass	YES	PROC075|PROC038	SRC_E179|SRC_E180_E181	PASS551	NO
116	I032-C04	I032	B2	f82r	CHK	HOLD_WARM	warm halten	CHK plus Grad	YES	PROC106|PROC107	SRC_E182|SRC_E183	PASS552	NO
117	I032-C05	I032	B2	f82r	L	CLOSED_DRAIN	abführen	L plus Schluss	YES	PROC108	SRC_E184	PASS551	NO
118	I033-C01	I033	B2	f82r	OK	TARGET_APPLY	anlegen	OK plus Zielstelle/Arbeitsfach	YES	PROC109|PROC048	SRC_E185|SRC_E186	PASS551	NO
119	I033-C02	I033	B2	f82r	SH	PATH_HOLD	zurückhalten	SH plus Lauf/Durchlass	YES	PROC110	SRC_E187	PASS552	NO
120	I033-C03	I033	B2	f82r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	YES	PROC008	SRC_E188	PASS551	NO
121	I033-C04	I033	B2	f82r	SH	TIMED_REST	ruhen lassen	SH plus Grad und Schluss	YES	PROC111	SRC_E189	PASS552	NO
122	I034-C01	I034	B2	f82r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	YES	PROC112|PROC113	SRC_E190|SRC_E191	PASS551	NO
123	I034-C02	I034	B2	f82r	SHED	COMMIT_SETTLE	absetzen lassen	SHED plus Schluss	YES	PROC078	SRC_E192	PASS552	NO
124	I035-C01	I035	B2	f82r	SH	TIMED_REST	ruhen lassen	SH plus Grad und Schluss	YES	PROC114	SRC_E193	PASS552	NO
125	I036-C01	I036	B2	f82r	OK	HOLD_ACTIVE	wirken lassen	OK plus Grad ohne Schluss	YES	PROC092	SRC_E194	PASS551	NO
126	I036-C02	I036	B2	f82r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	YES	PROC008	SRC_E195	PASS551	NO
127	I036-C03	I036	B2	f82r	SH	TIMED_HOLD	halten	SH plus Grad ohne Schluss	NO	PROC115|PROC031	SRC_E196|SRC_E197	PASS552	NO
128	I036-C04	I036	B2	f82r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	YES	PROC080	SRC_E198	PASS551	NO
129	I036-C05	I036	B2	f82r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	YES	PROC003|PROC080	SRC_E199|SRC_E200	PASS551	NO
130	I036-C06	I036	B2	f82r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	YES	PROC100	SRC_E201	PASS551	NO
131	I037-C01	I037	B2	f82r	CH	TAKE_OFF	abnehmen	CH ohne Stoffrahmen	YES	PROC116	SRC_E202	PASS552	NO
132	I037-C01	I037	B2	f82r	L	GUIDE	führen	L ohne engeren Rahmen	YES	PROC116	SRC_E202	PASS551	NO
133	I037-C02	I037	B2	f82r	SH	TIMED_HOLD	halten	SH plus Grad ohne Schluss	NO	PROC031	SRC_E203	PASS552	NO
134	I037-C03	I037	B2	f82r	OK	HOLD_ACTIVE	wirken lassen	OK plus Grad ohne Schluss	YES	PROC117|PROC092	SRC_E204|SRC_E205	PASS551	NO
135	I037-C04	I037	B2	f82r	L	GUIDE	führen	L ohne engeren Rahmen	YES	PROC118	SRC_E206	PASS551	NO
136	I037-C05	I037	B2	f82r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	YES	PROC009|PROC019|PROC119	SRC_E207|SRC_E208|SRC_E209	PASS551	NO
137	I038-C01	I038	B2	f82r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	YES	PROC120	SRC_E210	PASS551	NO
138	I038-C01	I038	B2	f82r	L	CLOSED_DRAIN	abführen	L plus Schluss	YES	PROC120	SRC_E210	PASS551	NO
139	I039-C01	I039	B2	f82r	L	SOURCE_DRAIN	ableiten	L plus Quelle	YES	PROC121	SRC_E211	PASS551	NO
140	I039-C02	I039	B2	f82r	SH	TIMED_HOLD	halten	SH plus Grad ohne Schluss	NO	PROC122	SRC_E212	PASS552	NO
141	I039-C03	I039	B2	f82r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	YES	PROC100	SRC_E213	PASS551	NO
142	I040-C01	I040	B2	f82r	CHD	TARGET_TRANSFER	umfüllen	CHD plus Ziel	YES	PROC055|PROC123	SRC_E214|SRC_E215	PASS551	NO
143	I040-C01	I040	B2	f82r	L	SOURCE_DRAIN	ableiten	L plus Quelle	YES	PROC055|PROC123	SRC_E214|SRC_E215	PASS551	NO
144	I040-C02	I040	B2	f82r	CH	TAKE_OFF	abnehmen	CH ohne Stoffrahmen	YES	PROC124	SRC_E216	PASS552	NO
145	I040-C02	I040	B2	f82r	S	DIVIDE	abteilen	gelernter Fachkern	YES	PROC124	SRC_E216	PASS553	NO
146	I040-C03	I040	B2	f82r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	YES	PROC009|PROC109|PROC038	SRC_E217|SRC_E218|SRC_E219	PASS551	NO
147	I040-C04	I040	B2	f82r	OK	HOLD_ACTIVE	wirken lassen	OK plus Grad ohne Schluss	YES	PROC085	SRC_E220	PASS551	NO
148	I040-C05	I040	B2	f82r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	YES	PROC125	SRC_E221	PASS551	NO
149	I040-C05	I040	B2	f82r	P	COMMIT_FILL	einfüllen	P plus Schluss	YES	PROC125	SRC_E221	PASS553	NO
150	I041-C01	I041	B2	f82r	R	TARGET_COOL	abkühlen lassen	R plus Ziel	YES	PROC126|PROC127	SRC_E222|SRC_E223	PASS552	NO
151	I041-C01	I041	B2	f82r	SH	TIMED_REST	ruhen lassen	SH plus Grad und Schluss	YES	PROC126|PROC127	SRC_E222|SRC_E223	PASS552	NO
152	I042-C01	I042	B2	f82r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	YES	PROC100	SRC_E224	PASS551	NO
153	I043-C01	I043	B2	f82r	R	COMMIT_COOL	auskühlen lassen	R plus Schluss	YES	PROC128	SRC_E225	PASS552	NO
154	I043-C01	I043	B2	f82r	SHED	COMMIT_SETTLE	absetzen lassen	SHED plus Schluss	YES	PROC128	SRC_E225	PASS552	NO
155	I045-C01	I045	B2	f82r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	YES	PROC100	SRC_E227	PASS551	NO
