instruction_id	page	record	clause_count	source_position_ids	visible_event_ids	unified_action_instruction_de	end_type	crosses_owner_boundary
I001	f10r	H1	8	SRC_E001|SRC_E002|SRC_E003|SRC_E004|SRC_E005|SRC_E006|SRC_E007|SRC_E008|SRC_E009|SRC_E010|SRC_E011|SRC_E012|SRC_E013|SRC_E014	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010|E011|E012|E013|E014	den laufenden Posten kurz abnehmen; dann den laufenden Posten von dort im Arbeitsgang bis bereit übertragen; dann den laufenden Posten im Lauf ablaufen lassen; dann danach den laufenden Posten weiter eintragen und abnehmen; dann den laufenden Posten einsetzen; dann den laufenden Posten nach vorgeschriebenem Maß kurz eintragen; dann den laufenden Posten einsetzen; dann danach den laufenden Posten weiter bis bereit abnehmen.	RECORD_FINAL_OPEN	NO
I002	f10r	H2	5	SRC_E015|SRC_E016|SRC_E017|SRC_E018|SRC_E019|SRC_E020|SRC_E021|SRC_E022|SRC_E023|SRC_E024|SRC_E025|SRC_E026|SRC_E027|SRC_E028|SRC_E029|SRC_E030|SRC_E031|SRC_E032|SRC_E033|SRC_E034|SRC_E035|SRC_E036|SRC_E037|SRC_E038	E015|E016|E017|E018|E019|E020|E021|E022|E023|E024|E025|E026|E027|E028|E029|E030|E031|E032|E033|E034|E035|E036|E037|E038	den laufenden Posten kurz abziehen; dann danach den laufenden Posten weiter nach vorgeschriebenem Maß im Arbeitsgang bis bereit abziehen; dann danach den laufenden Posten weiter von dort nach vorgeschriebenem Maß im Arbeitsgang zugeben; dann den laufenden Posten bis zur Sollstufe zugeben; dann den laufenden Posten nach vorgeschriebenem Maß im Arbeitsgang abziehen.	RECORD_FINAL_OPEN	NO
I003	f11r	H3	7	SRC_E039|SRC_E040|SRC_E041|SRC_E042|SRC_E043|SRC_E044|SRC_E045	E039|E040|E041|E042|E043|E044|E045	den laufenden Posten weiter eintragen und halten; dann den laufenden Posten an der bezeichneten Stelle im Arbeitsgang an Ort halten; dann den laufenden Posten auswringen; dann den laufenden Posten nach vorgeschriebenem Maß halten; dann den laufenden Posten hineingeben; dann den laufenden Posten länger halten; dann den laufenden Posten im Arbeitsgang abschließend eintragen und abziehen und den Schritt schließen.	COMMITTED_CLOSE	NO
I004	f11r	H3	3	SRC_E046|SRC_E047|SRC_E048|SRC_E049|SRC_E050|SRC_E051|SRC_E052|SRC_E053|SRC_E054|SRC_E055	E046|E047|E048|E049|E050|E051|E052|E053|E054|E055	den laufenden Posten im Arbeitsgang halten und eintragen; dann den laufenden Posten weiter zugeben; dann danach den laufenden Posten weiter nach vorgeschriebenem Maß bis bereit einsetzen.	RECORD_FINAL_OPEN	NO
I005	f55v	H4	3	SRC_E056|SRC_E057|SRC_E058|SRC_E059|SRC_E060	E056|E057|E058|E059|E060	den laufenden Posten nach vorgeschriebenem Maß einsetzen; dann den laufenden Posten nach vorgeschriebenem Maß als Portion dosiert zugeben; dann den laufenden Posten als Portion im Arbeitsgang zugeben und den Schritt schließen.	COMMITTED_CLOSE	NO
I006	f55v	H4	5	SRC_E061|SRC_E062|SRC_E063|SRC_E064|SRC_E065|SRC_E066|SRC_E067	E061|E062|E063|E064|E065|E066|E067	den laufenden Posten nach vorgeschriebenem Maß abmessen und umsetzen; dann den laufenden Posten verwahren; dann den laufenden Posten nach vorgeschriebenem Maß dosiert zugeben; dann den laufenden Posten von dort im Arbeitsgang kurz entnehmen; dann den laufenden Posten weiter länger temperieren und den Schritt schließen.	COMMITTED_CLOSE	NO
I007	f55v	H4	2	SRC_E068|SRC_E069|SRC_E070|SRC_E071|SRC_E072|SRC_E073	E068|E069|E070|E071|E072|E073	den laufenden Posten nach vorgeschriebenem Maß an der bezeichneten Stelle anlegen; dann den laufenden Posten weiter als Portion eintragen.	RECORD_FINAL_OPEN	NO
I008	f56r	H5	6	SRC_E074|SRC_E075|SRC_E076|SRC_E077|SRC_E078|SRC_E079|SRC_E080|SRC_E081|SRC_E082|SRC_E083|SRC_E084|SRC_E085|SRC_E086	E074|E075|E076|E077|E078|E079|E080|E081|E082|E083|E084|E085|E086	den Ansatz abziehen; dann den laufenden Posten weiter nach vorgeschriebenem Maß an der bezeichneten Stelle zuführen; dann danach den Ansatz abziehen; dann den laufenden Posten einsetzen; dann den laufenden Posten weiter an der bezeichneten Stelle anlegen; dann den laufenden Posten durch den Durchlass im Arbeitsgang länger ablaufen lassen und den Schritt schließen.	COMMITTED_CLOSE	NO
I009	f56r	H5	9	SRC_E087|SRC_E088|SRC_E089|SRC_E090|SRC_E091|SRC_E092|SRC_E093|SRC_E094|SRC_E095|SRC_E096|SRC_E097|SRC_E098|SRC_E099|SRC_E100	E087|E088|E089|E090|E091|E092|E093|E094|E095|E096|E097|E098|E099|E100	den laufenden Posten halten; dann den laufenden Posten kurz zugeben; dann den laufenden Posten erneut einsetzen; dann den laufenden Posten einsetzen; dann den laufenden Posten im Arbeitsgang kurz ansetzen und abziehen; dann den laufenden Posten an der bezeichneten Stelle zuführen; dann den laufenden Posten ansetzen; dann die Gabe von dort zugeben; dann danach den laufenden Posten weiter nach vorgeschriebenem Maß als Portion im Arbeitsgang kurz zugeben.	RECORD_FINAL_OPEN	NO
I010	f81v	B1	1	SRC_E101	E101	den laufenden Posten kurz einwirken lassen und den Schritt schließen.	COMMITTED_CLOSE	NO
