order	event_id	statement_id	copy_surface	joint_tuple_id	owner_register	active_before	operation	component_cue	active_after	working_reading_de	handoff_basis
1	E056	H4-S001	okaiin	b5fcea1eaed06b2f2291	H4_PICTURED_PLANT	OWNER_PLANT	SET_MEASURE	QOKAIIN	MEASURE_FRAME_1	Sollmaß für den Bildbesitzer einstellen	EXPLICIT_CARD_PLUS_SAME_RECORD_INHERITANCE
2	E057	H4-S001	aiin	2f1c5e56e8f0ff459065	H4_PICTURED_PLANT	MEASURE_FRAME_1	BIND_MEASURE	AIIN	MEASURED_PLANT_MATERIAL	Sollmaß an das Pflanzenmaterial binden	EXPLICIT_CARD_PLUS_SAME_RECORD_INHERITANCE
3	E058	H4-S001	ykain	403c1592f918c8f23b88	H4_PICTURED_PLANT	MEASURED_PLANT_MATERIAL	SELECT_PORTION	Y+AIN	PORTION_1	aus dem aktuellen Posten eine Portion wählen	EXPLICIT_CARD_PLUS_SAME_RECORD_INHERITANCE
4	E059	H4-S001	ykan	d929a14ec45749b2e805	H4_PICTURED_PLANT	PORTION_1	RESUME_CURRENT	Y+AIN	PORTION_1	diese Portion weiterführen	EXPLICIT_CARD_PLUS_SAME_RECORD_INHERITANCE
5	E060	H4-S001	ody	97cc9ac109148723c472	H4_PICTURED_PLANT	PORTION_1	COOL_CLOSE	ODY	COOLED_PORTION_1	Portion kühlen und den Teilgang schließen	EXPLICIT_CARD_PLUS_SAME_RECORD_INHERITANCE
6	E061	H4-S002	aiin	2f1c5e56e8f0ff459065	H4_PICTURED_PLANT	COOLED_PORTION_1	REBIND_MEASURE	AIIN	MEASURED_COOLED_PORTION_1	gekühlte Portion erneut nach Sollmaß fassen	EXPLICIT_CARD_PLUS_SAME_RECORD_INHERITANCE
7	E062	H4-S002	chdy	6f7ff8287eddf4da9fdb	H4_PICTURED_PLANT	MEASURED_COOLED_PORTION_1	WORK_CURRENT	CHED+Y	WORKED_PREPARATION_1	den aktuellen Posten durcharbeiten	EXPLICIT_CARD_PLUS_SAME_RECORD_INHERITANCE
8	E063	H4-S002	talam	e026af581c99322fbd46	H4_PICTURED_PLANT	WORKED_PREPARATION_1	STORE	TALAM	STORED_PREPARATION_1	das Arbeitsergebnis verwahren	EXPLICIT_CARD_PLUS_SAME_RECORD_INHERITANCE
9	E064	H4-S003	ykaiin	f7dc90b2c31fd341f0a4	H4_PICTURED_PLANT	STORED_PREPARATION_1	SELECT_MEASURE_OF_CURRENT	Y+AIIN	MEASURED_STORED_PREPARATION_1	vom verwahrten Posten das Sollmaß nehmen	EXPLICIT_CARD_PLUS_SAME_RECORD_INHERITANCE
10	E065	H4-S003	cheoar	807591efc3d3f7ddbfab	H4_PICTURED_PLANT	MEASURED_STORED_PREPARATION_1	EXTRACT_FROM	CHEO+AR	EXTRACT_1	daraus einen Auszug nehmen	EXPLICIT_CARD_PLUS_SAME_RECORD_INHERITANCE
11	E066	H4-S003	cheeky	2c1a5fd92b9e3c762242	H4_PICTURED_PLANT	EXTRACT_1	WARM_LONG_OPEN	CHK+EE+Y	WARMED_EXTRACT_1	den Auszug länger warm halten	EXPLICIT_CARD_PLUS_SAME_RECORD_INHERITANCE
12	E067	H4-S003	oldy	1b1ffdd869fb1429ad03	H4_PICTURED_PLANT	WARMED_EXTRACT_1	CONTINUE_CLOSE	OL+DY	WARMED_EXTRACT_1	diesen Gang als Fortsetzung schließen	EXPLICIT_CARD_PLUS_SAME_RECORD_INHERITANCE
13	E068	H4-S004	chaiin	2f1c5e56e8f0ff459065	H4_PICTURED_PLANT	WARMED_EXTRACT_1	BIND_MEASURE	AIIN	MEASURED_WARMED_EXTRACT_1	den warmen Auszug abmessen	EXPLICIT_CARD_PLUS_SAME_RECORD_INHERITANCE
14	E069	H4-S004	qokal	308e8ea2d5d190c498e8	H4_PICTURED_PLANT	MEASURED_WARMED_EXTRACT_1	ASSIGN_TARGET	OK+AL	TARGETED_EXTRACT_1	den Auszug an die Zielstelle setzen	EXPLICIT_CARD_PLUS_SAME_RECORD_INHERITANCE
15	E070	H4-S004	oltchy	204b04837409088c48f9	H4_PICTURED_PLANT	TARGETED_EXTRACT_1	WARM_AT_TARGET	OLTCHY	WARM_TARGET_APPLICATION_1	die Zielanwendung anwärmen	EXPLICIT_CARD_PLUS_SAME_RECORD_INHERITANCE
16	E071	H4-S004	chor	7a4bb8136330ee4e6e56	H4_PICTURED_PLANT	WARM_TARGET_APPLICATION_1	DECLARE_PREPARATION	OR	PREPARATION_1	den laufenden Stoff als Zubereitung führen	EXPLICIT_CARD_PLUS_SAME_RECORD_INHERITANCE
17	E072	H4-S004	chey	b921a237be883a820352	H4_PICTURED_PLANT	PREPARATION_1	RESUME_CURRENT	Y	PREPARATION_1	diese Zubereitung wiederaufnehmen	EXPLICIT_CARD_PLUS_SAME_RECORD_INHERITANCE
18	E073	H4-S004	orain	6afeb5c9ab9f6cbdea0d	H4_PICTURED_PLANT	PREPARATION_1	SELECT_PREPARATION_PORTION	OR+AIN	PREPARATION_PORTION_2	eine Portion der Zubereitung abteilen	EXPLICIT_CARD_PLUS_SAME_RECORD_INHERITANCE
