token_id	page	locus	token_index	surface	default_type	default_meaning_de	composition	evidence_source
G629-T001	f2r	f2r.10	1	qoky	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T002	f2r	f2r.10	2	cholaiin	CONCRETE_QUALITY_DEGREE	trocken, Grad III	ch+ol+a+III	GDT628
G629-T003	f2r	f2r.10	3	shol	CONCRETE_QUALITY	feucht; nominal feuchtes Gut	sh+ol	GDT628
G629-T004	f2r	f2r.10	4	sheky	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T005	f2r	f2r.10	5	daiin	CONTEXTUAL_VALUE	nach chol: Grad III; sonst Grad/Maß III	d+a+III	GDT627/GDT628
G629-T006	f2r	f2r.10	6	cthey	CTH_PART_FAMILY	cth-Pflanzenteilform; Endung offen	cth+ey	GDT625
G629-T007	f2r	f2r.10	7	keol	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T008	f2r	f2r.10	8	saiin	VALUE_WITH_OPEN_HEAD	Wert III; Kopf sa offen	sa+III	GDT626/GDT627
G629-T009	f2r	f2r.10	9	eaiin	VALUE_WITH_OPEN_HEAD	Wert III; Kopf ea offen	ea+III	GDT626/GDT627
G629-T010	f17v	f17v.8	1	qokeey	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T011	f17v	f17v.8	2	kchar	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T012	f17v	f17v.8	3	ol	CARRIER	Qualitäts-/Zustands-/Materialträger; genauer Inhalt offen	ol	GDT628
G629-T013	f17v	f17v.8	4	dy	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T014	f17v	f17v.8	5	choldaiin	CONCRETE_QUALITY_DEGREE	trocken, Grad III	ch+ol+d+a+III	GDT628/GDT629
G629-T015	f17v	f17v.8	6	sy	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T016	f21r	f21r.12	1	ykeey	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
