view_id	page	locus	reader	realization_mode	surface_expression	segmentation	normalized_surface	normalized_reading_de	part_anchor	part_immediately_before	smallest_clause_expression	smallest_clause_reading_de	left_residual	right_residual	surface_line
G629-V01	f2r	f2r.10	ZL3b	DIRECT_AIII	cholaiin	ch+ol+a+III	cholaiin	trocken, Grad III	NONE	0	cholaiin	trocken, Grad III	qoky	shol sheky daiin cthey keol saiin eaiin	qoky cholaiin shol sheky daiin cthey keol saiin eaiin
G629-V02	f2r	f2r.10	IT2a	DIRECT_AIII	cholaiin	ch+ol+a+III	cholaiin	trocken, Grad III	NONE	0	cholaiin	trocken, Grad III	qoky	shol sheky daiin cthey keol saiin saiin	qoky cholaiin shol sheky daiin cthey keol saiin saiin
G629-V03	f2r	f2r.10	RF1b	DIRECT_AIII	cholaiin	ch+ol+a+III	cholaiin	trocken, Grad III	NONE	0	cholaiin	trocken, Grad III	qoky	shol sheky daiin cthey keol saiin eaiin	qoky cholaiin shol sheky daiin cthey keol saiin eaiin
G629-V04	f17v	f17v.8	ZL3b	FUSED_D_AIII	choldaiin	ch+ol+d+a+III	choldaiin	trocken, Grad III	NONE	0	choldaiin	trocken, Grad III	qokeey kchar ol dy	sy	qokeey kchar ol dy choldaiin sy
G629-V05	f17v	f17v.8	IT2a	FUSED_D_AIII	choldaiin	ch+ol+d+a+III	choldaiin	trocken, Grad III	NONE	0	choldaiin	trocken, Grad III	qokeey kchar ol dy	sy	qokeey kchar ol dy choldaiin sy
G629-V06	f17v	f17v.8	RF1b	FUSED_D_AIII	choldaiin	ch+ol+d+a+III	choldaiin	trocken, Grad III	NONE	0	choldaiin	trocken, Grad III	qokeey kchar ol dy	sy	qokeey kchar ol dy choldaiin sy
G629-V07	f21r	f21r.12	ZL3b	SEPARATE_D_AIII	chol daiin	ch+ol | d+a+III	choldaiin	trocken, Grad III	chor	1	chor chol daiin	Pflanzen-/Reproduktionsteil: trocken, Grad III	ykeey chor sheey ysheol	chkaiin	ykeey chor sheey ysheol chor chol daiin chkaiin
G629-V08	f21r	f21r.12	IT2a	SEPARATE_D_AIII	chol daiin	ch+ol | d+a+III	choldaiin	trocken, Grad III	chor	1	chor chol daiin	Pflanzen-/Reproduktionsteil: trocken, Grad III	ykeea chor sheey ysheol	chkaiin	ykeea chor sheey ysheol chor chol daiin chkaiin
G629-V09	f21r	f21r.12	RF1b	SEPARATE_D_AIII	chol daiin	ch+ol | d+a+III	choldaiin	trocken, Grad III	chor	1	chor chol daiin	Pflanzen-/Reproduktionsteil: trocken, Grad III	ykee chor sheey sheol	chkaiin	ykee chor sheey sheol chor chol daiin chkaiin
G629-V10	f27r	f27r.6	ZL3b	DIRECT_AIII	cholaiin	ch+ol+a+III	cholaiin	trocken, Grad III	chor	1	chor cholaiin	Pflanzen-/Reproduktionsteil: trocken, Grad III	chy t chols	shy kchal dy	chy t chols chor cholaiin shy kchal dy
