context_id	page	locus	realization_mode	surface_expression	working_roman	left_part	left_part_distance	right_part	right_part_distance	immediate_part_before	context_role	smallest_supported_span	working_reading_de	expression_triple_stable	surface_line
G629-C-V001	f2r	f2r.5	SEPARATE_D_VALUE	chol dan	I	NONE	0	NONE	0	0	QUALITY_DEGREE_PHRASE_ONLY	chol dan	trocken, Grad I; äußerer Träger offen	1	otochor al shodaiin chol dan ytchaiin dan
G629-C-V002	f2r	f2r.7	SEPARATE_D_VALUE	chol dan	I	shor	3	NONE	0	0	QUALITY_DEGREE_WITH_NEAR_PART	chol dan	trocken, Grad I; naher Partslot bindet noch offen	1	shor ckhy daiiny chol dan
G629-C-V003	f18r	f18r.2	SEPARATE_D_VALUE	chol dain	II	NONE	0	NONE	0	0	QUALITY_DEGREE_PHRASE_ONLY	chol dain	trocken, Grad II; äußerer Träger offen	0	otshol qokchol chykchy okchal daiin dy chol dain
G629-C-V004	f47r	f47r.3	SEPARATE_D_VALUE	chol dain	II	NONE	0	NONE	0	0	QUALITY_DEGREE_PHRASE_ONLY	chol dain	trocken, Grad II; äußerer Träger offen	1	dor chol chy chaiin ckhey chol dain okaiin
G629-C-V005	f47v	f47v.9	SEPARATE_D_VALUE	chol dain	II	NONE	0	NONE	0	0	QUALITY_DEGREE_PHRASE_ONLY	chol dain	trocken, Grad II; äußerer Träger offen	1	qotcheey chety chol chol dain
G629-C-V006	f81r	f81r.10	SEPARATE_D_VALUE	chol dain	II	NONE	0	NONE	0	0	QUALITY_DEGREE_PHRASE_ONLY	chol dain	trocken, Grad II; äußerer Träger offen	1	chol dain otedy cheey qotain ly
G629-C-V007	f27r	f27r.6	DIRECT_A_VALUE	cholaiin	III	chor	1	NONE	0	1	PART_QUALITY_DEGREE_CLAUSE	chor cholaiin	chor-Pflanzenteil: trocken, Grad III	0	chy t chols chor cholaiin shy kchal dy
G629-C-V008	f2r	f2r.10	DIRECT_A_VALUE	cholaiin	III	NONE	0	NONE	0	0	QUALITY_DEGREE_PHRASE_ONLY	cholaiin	trocken, Grad III; äußerer Träger offen	1	qoky cholaiin shol sheky daiin cthey keol saiin eaiin
G629-C-V009	f58r	f58r.18	DIRECT_A_VALUE	cholaiin	III	NONE	0	NONE	0	0	QUALITY_DEGREE_PHRASE_ONLY	cholaiin	trocken, Grad III; äußerer Träger offen	1	darar shol cholraly cholaiin odaiin chaly dalar aiin okal otal
G629-C-V010	f100r	f100r.22	FUSED_D_VALUE	choldaiin	III	NONE	0	NONE	0	0	QUALITY_DEGREE_PHRASE_ONLY	choldaiin	trocken, Grad III; äußerer Träger offen	0	folshody choldaiin fchod ycheol cphol qotees shey aseso alcfhy
G629-C-V011	f17v	f17v.8	FUSED_D_VALUE	choldaiin	III	NONE	0	NONE	0	0	QUALITY_DEGREE_PHRASE_ONLY	choldaiin	trocken, Grad III; äußerer Träger offen	1	qokeey kchar ol dy choldaiin sy
G629-C-V012	f49r	f49r.6	FUSED_D_VALUE	choldaiin	III	NONE	0	NONE	0	0	QUALITY_DEGREE_PHRASE_ONLY	choldaiin	trocken, Grad III; äußerer Träger offen	0	ol or shes sheoty choldaiin
G629-C-V013	f100r	f100r.25	SEPARATE_D_VALUE	chol daiin	III	NONE	0	NONE	0	0	QUALITY_DEGREE_PHRASE_ONLY	chol daiin	trocken, Grad III; äußerer Träger offen	1	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol
G629-C-V014	f102r1	f102r1.15	SEPARATE_D_VALUE	chol daiin	III	NONE	0	NONE	0	0	QUALITY_DEGREE_PHRASE_ONLY	chol daiin	trocken, Grad III; äußerer Träger offen	0	or chol daiin dykeor sheey qokeody dor os ykeeykam
G629-C-V015	f10r	f10r.8	SEPARATE_D_VALUE	chol daiin	III	chor	4	NONE	0	0	QUALITY_DEGREE_PHRASE_ONLY	chol daiin	trocken, Grad III; äußerer Träger offen	1	qotchor chor otol chol cholor chol daiin dar
G629-C-V016	f10v	f10v.5	SEPARATE_D_VALUE	chol daiin	III	NONE	0	NONE	0	0	QUALITY_DEGREE_PHRASE_ONLY	chol daiin	trocken, Grad III; äußerer Träger offen	1	sho ykeey daiin qotchy qotor chol daiin qokchy ky
G629-C-V017	f14v	f14v.2	SEPARATE_D_VALUE	chol daiin	III	cthy	3	NONE	0	0	QUALITY_DEGREE_WITH_NEAR_PART	chol daiin	trocken, Grad III; naher Partslot bindet noch offen	1	okchor d chytshy oty chy cthy otchy ty chol daiin
G629-C-V018	f15r	f15r.14	SEPARATE_D_VALUE	chol daiin	III	NONE	0	NONE	0	0	QUALITY_DEGREE_PHRASE_ONLY	chol daiin	trocken, Grad III; äußerer Träger offen	1	otcho kchy chol daiin ar ytol dor dom
G629-C-V019	f15v	f15v.11	SEPARATE_D_VALUE	chol daiin	III	NONE	0	cthy	2	0	QUALITY_DEGREE_WITH_NEAR_PART	chol daiin	trocken, Grad III; naher Partslot bindet noch offen	1	sol oiin cheor chol daiin cthy
G629-C-V020	f19v	f19v.3	SEPARATE_D_VALUE	chol daiin	III	NONE	0	NONE	0	0	QUALITY_DEGREE_PHRASE_ONLY	chol daiin	trocken, Grad III; äußerer Träger offen	0	otchy chol daiin qotol ytol daiiin
G629-C-V021	f20v	f20v.10	SEPARATE_D_VALUE	chol daiin	III	NONE	0	chor	3	0	QUALITY_DEGREE_WITH_NEAR_PART	chol daiin	trocken, Grad III; naher Partslot bindet noch offen	1	shokaiin chocthy chol daiin chy chor ety
G629-C-V022	f21r	f21r.12	SEPARATE_D_VALUE	chol daiin	III	chor	1	NONE	0	1	PART_QUALITY_DEGREE_CLAUSE	chor chol daiin	chor-Pflanzenteil: trocken, Grad III	1	ykeey chor sheey ysheol chor chol daiin chkaiin
G629-C-V023	f21v	f21v.4	SEPARATE_D_VALUE	chol daiin	III	NONE	0	NONE	0	0	QUALITY_DEGREE_PHRASE_ONLY	chol daiin	trocken, Grad III; äußerer Träger offen	1	sho chodaiin choty chol daiin daiin chty chtol
