event_id	statement_id	record_unit_id	page	page_hand_profile	field_id	position_class	master_card_id	portable_value_de	observed_surface	shared_profile_surface	hand_rule	hand_rule_de	page_hand_surface	shared_match	page_hand_match	surface_registered
E001	H1-S001	H1	f10r	HAND_A_EARLY_HERBAL	F001	INITIAL	MC071	Grundteil	dchey	dchey	PROFILE_DEFAULT	Use the expanded shared profile.	dchey	YES	YES	YES
E002	H1-S001	H1	f10r	HAND_A_EARLY_HERBAL	F001	MEDIAL	MC158	Vorbereitung	cthoor	cthoor	PROFILE_DEFAULT	Use the expanded shared profile.	cthoor	YES	YES	YES
E003	H1-S001	H1	f10r	HAND_A_EARLY_HERBAL	F001	MEDIAL	MC055	davon	char	char	PROFILE_DEFAULT	Use the expanded shared profile.	char	YES	YES	YES
E004	H1-S001	H1	f10r	HAND_A_EARLY_HERBAL	F001	MEDIAL	MC086	Anteil	chty	chety	PROFILE_DEFAULT	Use the expanded shared profile.	chety	NO	NO	YES
E005	H1-S001	H1	f10r	HAND_A_EARLY_HERBAL	F001	MEDIAL	MC159	Aufnahmegefäß	os	os	PROFILE_DEFAULT	Use the expanded shared profile.	os	YES	YES	YES
E006	H1-S001	H1	f10r	HAND_A_EARLY_HERBAL	F001	MEDIAL	MC014	Zuguss	chair	chair	PROFILE_DEFAULT	Use the expanded shared profile.	chair	YES	YES	YES
E007	H1-S001	H1	f10r	HAND_A_EARLY_HERBAL	F001	MEDIAL	MC069	Folgeteil	otytchol	otytchol	PROFILE_DEFAULT	Use the expanded shared profile.	otytchol	YES	YES	YES
E008	H1-S001	H1	f10r	HAND_A_EARLY_HERBAL	F001	MEDIAL	MC026	einsetzen	oky	qoky	PROFILE_DEFAULT	Use the expanded shared profile.	qoky	NO	NO	YES
E009	H1-S001	H1	f10r	HAND_A_EARLY_HERBAL	F001	MEDIAL	MC039	Sollmaß	daiin	daiin	PROFILE_DEFAULT	Use the expanded shared profile.	daiin	YES	YES	YES
E010	H1-S001	H1	f10r	HAND_A_EARLY_HERBAL	F001	FINAL	MC108	Kurzteil	etyd	etyd	PROFILE_DEFAULT	Use the expanded shared profile.	etyd	YES	YES	YES
