exact_card_id	registered_surfaces	component_recipe	fifth_grammar_reading_de	events	card_tier	core33_components	core33_touch	fully_core33	remainder_components
PROC001	dchey	CH+E+Y	ENTNEHMEN · KURZ · DIES	1	FULLY_CORE33_RECIPE	CH+E+Y	YES	YES	NONE
PROC002	cthoor	CTH+O+OR	BEREITEN · VORGANG · ANSATZ	1	FULLY_CORE33_RECIPE	CTH+O+OR	YES	YES	NONE
PROC003	char|dar|sar	AR	QUELLE	5	FULLY_CORE33_RECIPE	AR	YES	YES	NONE
PROC004	chety|chty	T+Y	ANWENDEN · DIES	2	FULLY_CORE33_RECIPE	T+Y	YES	YES	NONE
PROC005	os	OS	FACH	1	MEMORIZED_WHOLE_CARD	NONE	NO	NO	OS
PROC006	chair	CH+AIR	ENTNEHMEN · WASSER	1	FULLY_CORE33_RECIPE	CH+AIR	YES	YES	NONE
PROC007	otytchol	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	1	FULLY_CORE33_RECIPE	OT+Y+T+CH+OL	YES	YES	NONE
PROC008	choky|oky|qoky	OK+Y	ANSETZEN · DIES	10	FULLY_CORE33_RECIPE	OK+Y	YES	YES	NONE
PROC011	chokchy|okchy|qokchy	OK+Y	ANSETZEN · DIES	3	FULLY_CORE33_RECIPE	OK+Y	YES	YES	NONE
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	SOLLMASS	20	FULLY_CORE33_RECIPE	AIIN	YES	YES	NONE
PROC010	etyd	E+T+Y	KURZ · ANWENDEN · DIES	1	FULLY_CORE33_RECIPE	E+T+Y	YES	YES	NONE
PROC012	qotchol	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	1	FULLY_CORE33_RECIPE	OT+CH+OL	YES	YES	NONE
PROC013	cheol|chol|ol|qol|sol|tol	OL	WEITER	19	FULLY_CORE33_RECIPE	OL	YES	YES	NONE
PROC115	ls	OL	WEITER	1	FULLY_CORE33_RECIPE	OL	YES	YES	NONE
PROC014	checthy|cthy|shcthy	CTH+Y	BEREITEN · DIES	7	FULLY_CORE33_RECIPE	CTH+Y	YES	YES	NONE
PROC015	ycheor	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	1	FULLY_CORE33_RECIPE	Y+CH+E+OR	YES	YES	NONE
PROC016	chor|or|shor|sor	OR	ANSATZ	7	FULLY_CORE33_RECIPE	OR	YES	YES	NONE
PROC017	cthaiin	CTH+AIIN	BEREITEN · SOLLMASS	1	FULLY_CORE33_RECIPE	CTH+AIIN	YES	YES	NONE
PROC018	qoctholy	O+CTH+OL+Y	VORGANG · BEREITEN · WEITER · DIES	1	FULLY_CORE33_RECIPE	O+CTH+OL+Y	YES	YES	NONE
PROC019	chey|chy|dy|shy|sy|y	Y	DIES	18	FULLY_CORE33_RECIPE	Y	YES	YES	NONE
PROC020	otchor|qotchor	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	2	FULLY_CORE33_RECIPE	OT+CH+OR	YES	YES	NONE
PROC021	otol	OT+OL	DANACH · WEITER	1	FULLY_CORE33_RECIPE	OT+OL	YES	YES	NONE
PROC022	cholor|olor	OL+OR	WEITER · ANSATZ	2	FULLY_CORE33_RECIPE	OL+OR	YES	YES	NONE
PROC023	oykchor	O+Y+K+OR	VORGANG · DIES · ZUGEBEN · ANSATZ	1	FULLY_CORE33_RECIPE	O+Y+K+OR	YES	YES	NONE
PROC024	kaiiin	K+IIN	ZUGEBEN · STUFE	1	FULLY_CORE33_RECIPE	K+IIN	YES	YES	NONE
PROC025	chodaiin	CH+O+AIIN	ENTNEHMEN · VORGANG · SOLLMASS	1	FULLY_CORE33_RECIPE	CH+O+AIIN	YES	YES	NONE
PROC026	tshol	T+SH+OL	ANWENDEN · HALTEN · WEITER	1	FULLY_CORE33_RECIPE	T+SH+OL	YES	YES	NONE
PROC027	schoal	SH+O+AL	HALTEN · VORGANG · ZIELSTELLE	1	FULLY_CORE33_RECIPE	SH+O+AL	YES	YES	NONE
PROC028	cfhy	CFH+Y	AUSPRESSEN · DIES	1	FULLY_CORE33_RECIPE	CFH+Y	YES	YES	NONE
PROC029	shfydaiin	SH+Y+AIIN	HALTEN · DIES · SOLLMASS	1	FULLY_CORE33_RECIPE	SH+Y+AIIN	YES	YES	NONE
PROC030	cphy	P+Y	EINFUELLEN · DIES	1	FULLY_CORE33_RECIPE	P+Y	YES	YES	NONE
PROC031	cheey|shey	SH+EE+Y	HALTEN · LANG · DIES	4	FULLY_CORE33_RECIPE	SH+EE+Y	YES	YES	NONE
PROC157	sheey	SH+EE+Y	HALTEN · LANG · DIES	1	FULLY_CORE33_RECIPE	SH+EE+Y	YES	YES	NONE
PROC032	tchody	T+CH+O+DY	ANWENDEN · ENTNEHMEN · VORGANG · SCHLUSS	1	FULLY_CORE33_RECIPE	T+CH+O+DY	YES	YES	NONE
PROC033	shoyty	SH+O+Y+T+Y	HALTEN · VORGANG · DIES · ANWENDEN · DIES	1	FULLY_CORE33_RECIPE	SH+O+Y+T+Y	YES	YES	NONE
PROC034	dchol|schol	RESUME_CARD	WIEDERAUFNEHMEN	2	MEMORIZED_WHOLE_CARD	NONE	NO	NO	RESUME_CARD
PROC035	kchy	K+Y	ZUGEBEN · DIES	1	FULLY_CORE33_RECIPE	K+Y	YES	YES	NONE
PROC036	qotchy	OT+Y	DANACH · DIES	1	FULLY_CORE33_RECIPE	OT+Y	YES	YES	NONE
PROC065	otchey	OT+Y	DANACH · DIES	2	FULLY_CORE33_RECIPE	OT+Y	YES	YES	NONE
PROC037	okchol	OK+OL	ANSETZEN · WEITER	1	FULLY_CORE33_RECIPE	OK+OL	YES	YES	NONE
PROC160	qokol	OK+OL	ANSETZEN · WEITER	1	FULLY_CORE33_RECIPE	OK+OL	YES	YES	NONE
PROC038	okaiin|qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	9	FULLY_CORE33_RECIPE	OK+AIIN	YES	YES	NONE
PROC039	ykain	Y+K+AIN	DIES · ZUGEBEN · PORTION	1	FULLY_CORE33_RECIPE	Y+K+AIN	YES	YES	NONE
PROC040	ykan	Y+K+AN	DIES · ZUGEBEN · NACHGABE	1	BOUND_RECIPE	Y+K	YES	NO	AN
PROC041	ody	O+DY	VORGANG · SCHLUSS	1	FULLY_CORE33_RECIPE	O+DY	YES	YES	NONE
PROC042	chdy|chedy	CHD+Y	UMSETZEN · DIES	11	FULLY_CORE33_RECIPE	CHD+Y	YES	YES	NONE
PROC133	chedchy	CHD+Y	UMSETZEN · DIES	1	FULLY_CORE33_RECIPE	CHD+Y	YES	YES	NONE
PROC043	talam	TALAM	VERWAHREN	1	MEMORIZED_WHOLE_CARD	NONE	NO	NO	TALAM
PROC044	ykaiin	Y+K+AIIN	DIES · ZUGEBEN · SOLLMASS	1	FULLY_CORE33_RECIPE	Y+K+AIIN	YES	YES	NONE
PROC045	cheoar	CH+E+O+AR	ENTNEHMEN · KURZ · VORGANG · QUELLE	1	FULLY_CORE33_RECIPE	CH+E+O+AR	YES	YES	NONE
PROC046	cheeky	CHK+EE+Y	WAERMEN · LANG · DIES	2	FULLY_CORE33_RECIPE	CHK+EE+Y	YES	YES	NONE
PROC107	chkeey	CHK+EE+Y	WAERMEN · LANG · DIES	1	FULLY_CORE33_RECIPE	CHK+EE+Y	YES	YES	NONE
PROC047	oldy	OL+DY	WEITER · SCHLUSS	2	FULLY_CORE33_RECIPE	OL+DY	YES	YES	NONE
