priority	rule	instruction
1	RECIPE	read registered core components in order
2	PACK	copy the exact learned card surface
3	OWNER	supply the pictured or local work owner
4	CONTROL	OK start; OT next; OL continue
5	ACTION	CH take; SH hold; CTH prepare; T apply
6	TRANSFER	K add; L guide; CHD transfer; P fill inward
7	PROCESS	CHK warm; SHED leave standing; LSH rinse; R cool; CFH press out
8	MATERIAL	AIR water; OR batch; HO ingredient
9	PATH_PLACE	CKH passage; SOLK collection place; O procedure
10	QUANTITY_STAGE	S sample; AIN portion; AIIN prescribed measure; IIN stage
11	ADDRESS	AL target; AR source
12	GRADE	E short; EE long; EEE full
13	ENDPOINT	Y keep current; licensed DY closes
14	BOUND_AN	use AN only in its learned after-addition frame
15	BOUND_DA	use DA as TWO only before IIN stage
16	BOUND_LD	use LD as FASTEN only before DY in its learned frame
17	WHOLE	memorize OS/RESUME/TALAM as complete commands
