case	table	candidates	lower	upper	contradicted	unknown_only
ZL3b_TOP_DOWN	A	76	2	6	70	4
ZL3b_TOP_DOWN	B	76	3	3	73	0
ZL3b_TOP_DOWN	C	76	1	1	75	0
ZL3b_BOTTOM_UP	A	152	3	12	140	9
ZL3b_BOTTOM_UP	B	152	2	2	150	0
ZL3b_BOTTOM_UP	C	152	6	6	146	0
IT2a_TOP_DOWN	A	16	2	3	13	1
IT2a_TOP_DOWN	B	16	2	2	14	0
IT2a_TOP_DOWN	C	16	1	1	15	0
IT2a_BOTTOM_UP	A	16	1	6	10	5
IT2a_BOTTOM_UP	B	16	2	2	14	0
IT2a_BOTTOM_UP	C	16	4	4	12	0
RF1b_TOP_DOWN	A	60	11	15	45	4
RF1b_TOP_DOWN	B	60	9	9	51	0
RF1b_TOP_DOWN	C	60	8	8	52	0
RF1b_BOTTOM_UP	A	56	5	20	36	15
RF1b_BOTTOM_UP	B	56	12	12	44	0
RF1b_BOTTOM_UP	C	56	14	14	42	0
