population	table	bound	physical_position	distinct_complete_readings	possible_names	number_of_names
IT2A_ONLY	A	lower	1	3	Conjunctio | Caput draconis	2
IT2A_ONLY	A	lower	2	3	Carcer | Amissio | Puella	3
IT2A_ONLY	A	lower	3	3	Fortuna major | Via	2
IT2A_ONLY	A	lower	4	3	Tristitia | Acquisitio	2
IT2A_ONLY	A	lower	5	3	Rubeus | Fortuna minor	2
IT2A_ONLY	A	lower	6	3	Albus | Laetitia	2
IT2A_ONLY	A	lower	7	3	Puer | Cauda draconis	2
IT2A_ONLY	A	lower	8	3	Caput draconis | Puella	2
IT2A_ONLY	A	lower	9	3	Puer | Cauda draconis	2
IT2A_ONLY	A	lower	10	3	Albus | Laetitia	2
IT2A_ONLY	A	lower	11	3	Rubeus | Fortuna minor	2
IT2A_ONLY	A	lower	12	3	Tristitia | Acquisitio | Carcer	3
IT2A_ONLY	A	lower	13	3	Fortuna major | Via	2
IT2A_ONLY	A	lower	14	3	Acquisitio | Carcer | Amissio	3
IT2A_ONLY	A	lower	15	3	Conjunctio | Caput draconis | Amissio	3
IT2A_ONLY	A	upper	1	9	Conjunctio | Caput draconis | Carcer | Amissio | Puella	5
IT2A_ONLY	A	upper	2	9	Acquisitio | Carcer | Amissio | Puella | Cauda draconis | Via	6
IT2A_ONLY	A	upper	3	9	Tristitia | Fortuna major | Acquisitio | Conjunctio | Via	5
IT2A_ONLY	A	upper	4	9	Tristitia | Albus | Fortuna major | Acquisitio | Caput draconis | Carcer	6
IT2A_ONLY	A	upper	5	9	Rubeus | Conjunctio | Laetitia | Fortuna minor | Puer	5
IT2A_ONLY	A	upper	6	9	Albus | Fortuna major | Rubeus | Caput draconis | Laetitia | Carcer	6
IT2A_ONLY	A	upper	7	9	Acquisitio | Conjunctio | Laetitia | Fortuna minor | Puer | Cauda draconis	6
IT2A_ONLY	A	upper	8	9	Tristitia | Albus | Caput draconis | Amissio | Puella | Cauda draconis	6
IT2A_ONLY	A	upper	9	9	Tristitia | Fortuna major | Acquisitio | Carcer | Puer | Cauda draconis	6
IT2A_ONLY	A	upper	10	9	Albus | Fortuna major | Rubeus | Laetitia | Puella | Puer	6
IT2A_ONLY	A	upper	11	9	Rubeus | Conjunctio | Laetitia | Puella | Fortuna minor	5
IT2A_ONLY	A	upper	12	9	Tristitia | Albus | Acquisitio | Caput draconis | Carcer | Cauda draconis	6
IT2A_ONLY	A	upper	13	9	Tristitia | Fortuna major | Conjunctio | Carcer | Cauda draconis | Via	6
IT2A_ONLY	A	upper	14	9	Rubeus | Acquisitio | Laetitia | Carcer | Amissio | Puella | Puer | Cauda draconis | Via	9
IT2A_ONLY	A	upper	15	9	Rubeus | Conjunctio | Caput draconis | Carcer | Amissio | Puella | Fortuna minor	7
IT2A_ONLY	B	lower	1	4	Rubeus | Conjunctio | Carcer	3
IT2A_ONLY	B	lower	2	4	Conjunctio | Laetitia | Carcer	3
IT2A_ONLY	B	lower	3	4	Caput draconis | Puella | Via	3
IT2A_ONLY	B	lower	4	4	Fortuna major | Acquisitio | Puer	3
IT2A_ONLY	B	lower	5	4	Acquisitio | Caput draconis | Fortuna minor	3
IT2A_ONLY	B	lower	6	4	Albus | Caput draconis | Carcer | Puella	4
IT2A_ONLY	B	lower	7	4	Albus | Laetitia | Puer	3
IT2A_ONLY	B	lower	8	4	Albus | Fortuna major | Puella	3
IT2A_ONLY	B	lower	9	4	Tristitia | Fortuna minor | Cauda draconis	3
IT2A_ONLY	B	lower	10	4	Conjunctio | Laetitia | Amissio | Cauda draconis	4
IT2A_ONLY	B	lower	11	4	Rubeus | Puella | Cauda draconis	3
IT2A_ONLY	B	lower	12	4	Tristitia | Amissio	2
IT2A_ONLY	B	lower	13	4	Fortuna major | Conjunctio | Amissio | Puer	4
IT2A_ONLY	B	lower	14	4	Rubeus | Amissio | Via	3
IT2A_ONLY	B	lower	15	4	Acquisitio | Caput draconis | Carcer | Fortuna minor	4
IT2A_ONLY	B	upper	1	4	Rubeus | Conjunctio | Carcer	3
IT2A_ONLY	B	upper	2	4	Conjunctio | Laetitia | Carcer	3
IT2A_ONLY	B	upper	3	4	Caput draconis | Puella | Via	3
IT2A_ONLY	B	upper	4	4	Fortuna major | Acquisitio | Puer	3
IT2A_ONLY	B	upper	5	4	Acquisitio | Caput draconis | Fortuna minor	3
IT2A_ONLY	B	upper	6	4	Albus | Caput draconis | Carcer | Puella	4
IT2A_ONLY	B	upper	7	4	Albus | Laetitia | Puer	3
IT2A_ONLY	B	upper	8	4	Albus | Fortuna major | Puella	3
IT2A_ONLY	B	upper	9	4	Tristitia | Fortuna minor | Cauda draconis	3
IT2A_ONLY	B	upper	10	4	Conjunctio | Laetitia | Amissio | Cauda draconis	4
IT2A_ONLY	B	upper	11	4	Rubeus | Puella | Cauda draconis	3
IT2A_ONLY	B	upper	12	4	Tristitia | Amissio	2
IT2A_ONLY	B	upper	13	4	Fortuna major | Conjunctio | Amissio | Puer	4
IT2A_ONLY	B	upper	14	4	Rubeus | Amissio | Via	3
IT2A_ONLY	B	upper	15	4	Acquisitio | Caput draconis | Carcer | Fortuna minor	4
IT2A_ONLY	C	lower	1	5	Acquisitio | Carcer | Amissio	3
IT2A_ONLY	C	lower	2	5	Amissio | Puella | Via	3
IT2A_ONLY	C	lower	3	5	Albus | Acquisitio | Conjunctio | Amissio | Via	5
IT2A_ONLY	C	lower	4	5	Tristitia | Fortuna major | Conjunctio | Caput draconis | Puella	5
IT2A_ONLY	C	lower	5	5	Rubeus | Laetitia | Fortuna minor | Cauda draconis	4
IT2A_ONLY	C	lower	6	5	Tristitia | Fortuna major | Laetitia | Amissio	4
IT2A_ONLY	C	lower	7	5	Conjunctio | Caput draconis | Carcer | Fortuna minor | Cauda draconis	5
IT2A_ONLY	C	lower	8	5	Fortuna major | Conjunctio | Puer | Cauda draconis	4
IT2A_ONLY	C	lower	9	5	Albus | Carcer | Puella | Puer | Cauda draconis	5
IT2A_ONLY	C	lower	10	5	Tristitia | Rubeus | Laetitia | Puella | Fortuna minor	5
IT2A_ONLY	C	lower	11	5	Rubeus | Acquisitio | Laetitia | Fortuna minor	4
IT2A_ONLY	C	lower	12	5	Albus | Fortuna major | Amissio | Puer	4
IT2A_ONLY	C	lower	13	5	Tristitia | Albus | Caput draconis | Via	4
IT2A_ONLY	C	lower	14	5	Conjunctio | Caput draconis | Laetitia | Carcer | Puer	5
IT2A_ONLY	C	lower	15	5	Rubeus | Caput draconis | Carcer | Puella | Cauda draconis	5
IT2A_ONLY	C	upper	1	5	Acquisitio | Carcer | Amissio	3
IT2A_ONLY	C	upper	2	5	Amissio | Puella | Via	3
IT2A_ONLY	C	upper	3	5	Albus | Acquisitio | Conjunctio | Amissio | Via	5
IT2A_ONLY	C	upper	4	5	Tristitia | Fortuna major | Conjunctio | Caput draconis | Puella	5
IT2A_ONLY	C	upper	5	5	Rubeus | Laetitia | Fortuna minor | Cauda draconis	4
IT2A_ONLY	C	upper	6	5	Tristitia | Fortuna major | Laetitia | Amissio	4
IT2A_ONLY	C	upper	7	5	Conjunctio | Caput draconis | Carcer | Fortuna minor | Cauda draconis	5
IT2A_ONLY	C	upper	8	5	Fortuna major | Conjunctio | Puer | Cauda draconis	4
IT2A_ONLY	C	upper	9	5	Albus | Carcer | Puella | Puer | Cauda draconis	5
