construction_span_id	rule_id	family	page	physical_folio	locus	left_token_ordinal	right_token_ordinal	line_token_count	span_line_position	paragraph_first_span	paragraph_last_span	section	language	hand	left_surface	right_surface	exact_span_eva	fused_counterpart_surface	fused_counterpart_reader_exact_occurrences	value_label	immediate_left_context	immediate_right_context	written_line_eva	exact_pair_global_count	left_exact_right_contexts	pair_conditional_rate	right_surface_global_pair_baseline	descriptive_lift	primary_render_de	alternate_1_de	alternate_2_de	working_confidence	rationale	claim_scope	reader_exact_left	reader_exact_right	exact_span_render_once	confirmed_plaintext	component_export_credit
G759-S0001	P01	PART_STATE	f100r	f100	f100r.15	4	5	7	MIDDLE	0	0	P	A	1	chor	chol	chor chol	chorchol	0	NONE	qokeeol	qokeeody	dcheor shol qokeeol chor chol qokeeody dareu	8	141	0.056738	0.014348	3.954301	getrockneter Blüten-/Samenstand	getrocknetes Pflanzenteil	Pflanzenteil: Trockenheitsstufe	C1_RECURRENT_PART_STATE	Acht direkte Paare und zwei replizierte chor chol daiin-Klauseln binden Pflanzenteil und Trockenheit.	EXACT_OBSERVED_SPAN_ONLY	1	1	1	0	0
G759-S0002	P01	PART_STATE	f100r	f100	f100r.23	7	8	12	MIDDLE	0	0	P	A	1	chor	chol	chor chol	chorchol	0	NONE	qockhol	sho	soiin chol cphol shol shol qockhol chor chol sho keey y ykeeam	8	141	0.056738	0.014348	3.954301	getrockneter Blüten-/Samenstand	getrocknetes Pflanzenteil	Pflanzenteil: Trockenheitsstufe	C1_RECURRENT_PART_STATE	Acht direkte Paare und zwei replizierte chor chol daiin-Klauseln binden Pflanzenteil und Trockenheit.	EXACT_OBSERVED_SPAN_ONLY	1	1	1	0	0
G759-S0003	P04	PART_STATE	f10r	f10	f10r.5	3	4	4	MIDDLE	0	1	H	A	1	chol	cthy	chol cthy	cholcthy	0	NONE	qotchol	LINE_EDGE	qokchy qotchol chol cthy	4	251	0.015936	0.004623	3.447405	getrocknetes Blattgut	Blattgut: trocken	getrocknetes oberirdisches Kraut	C2_CROSS_PASS_PART_STATE	Vier Gegenrichtungs-Paare reproduzieren dieselbe Blattgut-Trockenheitsbindung.	EXACT_OBSERVED_SPAN_ONLY	1	1	1	0	0
G759-S0004	P04	PART_STATE	f11r	f11	f11r.3	2	3	10	MIDDLE	0	0	H	A	1	chol	cthy	chol cthy	cholcthy	0	NONE	qoty	dor	qoty chol cthy dor ykychy choty dain chaiin daiin dod	4	251	0.015936	0.004623	3.447405	getrocknetes Blattgut	Blattgut: trocken	getrocknetes oberirdisches Kraut	C2_CROSS_PASS_PART_STATE	Vier Gegenrichtungs-Paare reproduzieren dieselbe Blattgut-Trockenheitsbindung.	EXACT_OBSERVED_SPAN_ONLY	1	1	1	0	0
G759-S0005	P04	PART_STATE	f15r	f15	f15r.3	5	6	6	MIDDLE	0	0	H	A	1	chol	cthy	chol cthy	cholcthy	0	NONE	daiin	LINE_EDGE	qokaiin qotchy tydy daiin chol cthy	4	251	0.015936	0.004623	3.447405	getrocknetes Blattgut	Blattgut: trocken	getrocknetes oberirdisches Kraut	C2_CROSS_PASS_PART_STATE	Vier Gegenrichtungs-Paare reproduzieren dieselbe Blattgut-Trockenheitsbindung.	EXACT_OBSERVED_SPAN_ONLY	1	1	1	0	0
G759-S0006	P02	PART_STATE	f15v	f15	f15v.12	3	4	4	MIDDLE	0	1	H	A	1	chol	chor	chol chor	cholchor	0	NONE	cthor	LINE_EDGE	daiin cthor chol chor	7	251	0.027888	0.008345	3.341999	getrockneter Blüten-/Samenstand	getrocknetes Pflanzenteil	Trockenheitsmarker vor Pflanzenteil	C1_RECURRENT_PART_STATE	Sieben direkte Gegenrichtungs-Paare zeigen flexible Oberflächenreihenfolge desselben Teil-Zustands-Rahmens.	EXACT_OBSERVED_SPAN_ONLY	1	1	1	0	0
G759-S0007	P01	PART_STATE	f16v	f16	f16v.5	3	4	6	MIDDLE	0	0	H	A	1	chor	chol	chor chol	chorchol	0	NONE	chyty	ytchy	ytchy chyty chor chol ytchy dan	8	141	0.056738	0.014348	3.954301	getrockneter Blüten-/Samenstand	getrocknetes Pflanzenteil	Pflanzenteil: Trockenheitsstufe	C1_RECURRENT_PART_STATE	Acht direkte Paare und zwei replizierte chor chol daiin-Klauseln binden Pflanzenteil und Trockenheit.	EXACT_OBSERVED_SPAN_ONLY	1	1	1	0	0
G759-S0008	P02	PART_STATE	f16v	f16	f16v.9	4	5	8	MIDDLE	0	0	H	A	1	chol	chor	chol chor	cholchor	0	NONE	okaiin	cthor	dshy okaiin okaiin chol chor cthor ty chody	7	251	0.027888	0.008345	3.341999	getrockneter Blüten-/Samenstand	getrocknetes Pflanzenteil	Trockenheitsmarker vor Pflanzenteil	C1_RECURRENT_PART_STATE	Sieben direkte Gegenrichtungs-Paare zeigen flexible Oberflächenreihenfolge desselben Teil-Zustands-Rahmens.	EXACT_OBSERVED_SPAN_ONLY	1	1	1	0	0
G759-S0009	P03	PART_STATE	f20v	f20	f20v.9	4	5	8	MIDDLE	0	0	H	A	1	cthy	chol	cthy chol	cthychol	0	NONE	cho	shd	ykchy keody cho cthy chol shd qoty d	2	49	0.040816	0.014348	2.844676	getrocknetes Blattgut	Blattgut: trocken	getrocknetes oberirdisches Kraut	C2_CROSS_PASS_PART_STATE	Zwei direkte Paare verbinden den unabhängigen Blattgutkandidaten mit dem breit getragenen Trockenheitswert.	EXACT_OBSERVED_SPAN_ONLY	1	1	1	0	0
G759-S0010	P01	PART_STATE	f21r	f21	f21r.12	5	6	8	MIDDLE	0	0	H	A	1	chor	chol	chor chol	chorchol	0	NONE	ysheol	daiin	ykeey chor sheey ysheol chor chol daiin chkaiin	8	141	0.056738	0.014348	3.954301	getrockneter Blüten-/Samenstand	getrocknetes Pflanzenteil	Pflanzenteil: Trockenheitsstufe	C1_RECURRENT_PART_STATE	Acht direkte Paare und zwei replizierte chor chol daiin-Klauseln binden Pflanzenteil und Trockenheit.	EXACT_OBSERVED_SPAN_ONLY	1	1	1	0	0
