gdt758_occurrence_id	page	locus	token_ordinal	line_position	immediate_left_surface	immediate_right_surface	immediate_right_reader_exact	context_class	gdt758_global_render_de	gdt759_context_render_de	working_confidence	live_alternatives_de	written_line_eva	exact_whole_or_span_scope	confirmed_lexeme	component_export_credit
G758-O0001	f2r	f2r.2	3	MIDDLE	chkar	shor	1	OTHER_S_CONTEXT	je	je	C0_GLOBAL_FALLBACK	Drachmenzeichen || Mengen-/Anteilszeichen	dorchory chkar s shor cthy	S_OCCURRENCE_FALLBACK	0	0
G758-O0007	f2r	f2r.8	4	MIDDLE	qoy	shol	1	OTHER_S_CONTEXT	je	je	C0_GLOBAL_FALLBACK	Drachmenzeichen || Mengen-/Anteilszeichen	kydain shaiin qoy s shol fodan yksh olsheey daiildy	S_OCCURRENCE_FALLBACK	0	0
G758-O0024	f3r	f3r.5	3	MIDDLE	chololy	cham	1	OTHER_S_CONTEXT	je	je	C0_GLOBAL_FALLBACK	Drachmenzeichen || Mengen-/Anteilszeichen	qokol chololy s cham cthol	S_OCCURRENCE_FALLBACK	0	0
G758-O0033	f3r	f3r.16	3	MIDDLE	chol	cheol	1	OTHER_S_CONTEXT	je	je	C0_GLOBAL_FALLBACK	Drachmenzeichen || Mengen-/Anteilszeichen	oteol chol s cheol ekshy qokeom qokol daiin soleeg	S_OCCURRENCE_FALLBACK	0	0
G758-O0038	f3r	f3r.20	5	MIDDLE	chol	aiin	1	ORDERED_VALUE_SPAN	je	drei Drachmen	C1_BOUNDARY_REPLICATED	drei gleiche Teile || drei Unzen	ycheor chol odaiin chol s aiin okol or am	EXACT_TWO_WHOLE_SPAN	0	0
G758-O0039	f3v	f3v.1	7	MIDDLE	ykoaiin	oly	1	OTHER_S_CONTEXT	je	je	C0_GLOBAL_FALLBACK	Drachmenzeichen || Mengen-/Anteilszeichen	koaiin cphor qotoy sha ckhol ykoaiin s oly	S_OCCURRENCE_FALLBACK	0	0
G758-O0042	f3v	f3v.7	5	LAST	cfham	LINE_EDGE	0	LINE_FINAL_AMOUNT_FORMULA	je	zu gleichen Teilen	C0_POSITIONAL_FALLBACK	Drachmenzeichen || Mengenzeichen	tchor otcham chor cfham s	S_OCCURRENCE_FALLBACK	0	0
G758-O0047	f3v	f3v.12	6	LAST	kcham	LINE_EDGE	0	LINE_FINAL_AMOUNT_FORMULA	je	zu gleichen Teilen	C0_POSITIONAL_FALLBACK	Drachmenzeichen || Mengenzeichen	osh chodair ytchy tchor kcham s	S_OCCURRENCE_FALLBACK	0	0
G758-O0049	f4r	f4r.2	7	MIDDLE	chaiin	choraiin	1	OTHER_S_CONTEXT	je	je	C0_GLOBAL_FALLBACK	Drachmenzeichen || Mengen-/Anteilszeichen	dchor shol shol cthol shtchy chaiin s choraiin chom	S_OCCURRENCE_FALLBACK	0	0
G758-O0058	f4v	f4v.13	2	MIDDLE	shody	cheor	1	OTHER_S_CONTEXT	je	je	C0_GLOBAL_FALLBACK	Drachmenzeichen || Mengen-/Anteilszeichen	shody s cheor chokody shodaiin qoty	S_OCCURRENCE_FALLBACK	0	0
