boundary_candidate_id	page	locus	head_surface	value_surface	fused_surface	value_label	zl3b_mode	it2a_mode	rf1b_mode	all_three_present	line_normalized_identical_after_target_merges	bridge_class	zl3b_line	it2a_line	rf1b_line	zl3b_normalized	it2a_normalized	rf1b_normalized	same_manuscript_alternate_readings	semantic_identity_inferred	component_export_credit
G759-B001	f102v2	f102v2.21	s	aiin	saiin	III	FUSED	FUSED	SEPARATE	1	0	LOCAL_BOUNDARY_CANDIDATE_WITH_OTHER_READER_DIFFERENCES	ycheey s od eey okeeor cheol os oiin oeees okear chey keey saiin oteo	ycheey s odeeeey okeeor cheol or oiin oeees okear chey keey saiin oteos	ycheey s odeey okeeor cheol os oiin oeees okear chey keey s aiin oteo	ycheey s od eey okeeor cheol os oiin oeees okear chey keey saiin oteo	ycheey s odeeeey okeeor cheol or oiin oeees okear chey keey saiin oteos	ycheey s odeey okeeor cheol os oiin oeees okear chey keey saiin oteo	1	0	0
G759-B002	f103v	f103v.45	or	ain	orain	II	SEPARATE	FUSED	ABSENT	1	0	LOCAL_BOUNDARY_CANDIDATE_WITH_OTHER_READER_DIFFERENCES	okey ol cheey lcheey lkain shckhy sheckhy or ain otar oly	okey ol cheey lcheey lkain shckhy sheckhy orain otar oly	okey ol cheey lcheey lkain shckhy sheckhyorain otar oly	okey ol cheey lcheey lkain shckhy sheckhy orain otar oly	okey ol cheey lcheey lkain shckhy sheckhy orain otar oly	okey ol cheey lcheey lkain shckhy sheckhyorain otar oly	1	0	0
G759-B003	f104r	f104r.2	s	aiin	saiin	III	SEPARATE	FUSED	SEPARATE	1	0	LOCAL_BOUNDARY_CANDIDATE_WITH_OTHER_READER_DIFFERENCES	o ar aiin yteeody cheedaiin cheodar s aiin chey tair os aiin chcthedy teedaram	oar aiin yteeody cheodaiin cheodar saiin chey tair osaiiin chcthedy teedaram	oar aiin yteeody cheedaiin cheo ar s aiin chey tair os aiin chcthedy teedaram	o araiin yteeody cheedaiin cheodar saiin chey tair os aiin chcthedy teedaram	oar aiin yteeody cheodaiin cheodar saiin chey tair osaiiin chcthedy teedaram	oar aiin yteeody cheedaiin cheo ar saiin chey tair os aiin chcthedy teedaram	1	0	0
G759-B004	f104v	f104v.17	or	ain	orain	II	SEPARATE	FUSED	SEPARATE	1	0	LOCAL_BOUNDARY_CANDIDATE_WITH_OTHER_READER_DIFFERENCES	ycheechy cheey cheos s otkchedy cholkchy qotchdy qotol sheedy or ain cheol	ycheechy cheey cheos air otkchedy cholkchy qotchdy qotol sheedy orain cheol	ycheechy cheey cheos s otkchedy chol chy qotchdy qotol sheedy or ain cheol	ycheechy cheey cheos s otkchedy cholkchy qotchdy qotol sheedy orain cheol	ycheechy cheey cheos air otkchedy cholkchy qotchdy qotol sheedy orain cheol	ycheechy cheey cheos s otkchedy chol chy qotchdy qotol sheedy orain cheol	1	0	0
G759-B005	f104v	f104v.32	or	ain	orain	II	SEPARATE	FUSED	SEPARATE	1	0	LOCAL_BOUNDARY_CANDIDATE_WITH_OTHER_READER_DIFFERENCES	pchedy kchedy cheocphey or ain cheeos aiiiro lcheedy lcheedy qosaiin cfheo ar als am	pchedy kchedy cheocphy orain cheeos aiiinro lcheedy lcheedy qosaiin cfheo arals am	fchedykchedy cheocphey or ain cheeos aiiiro l cheedy l cheedy qosaiin cfheo ar als am	pchedy kchedy cheocphey orain cheeos aiiiro lcheedy lcheedy qosaiin cfheo ar als am	pchedy kchedy cheocphy orain cheeos aiiinro lcheedy lcheedy qosaiin cfheo arals am	fchedykchedy cheocphey orain cheeos aiiiro l cheedy l cheedy qosaiin cfheo ar als am	1	0	0
G759-B006	f105r	f105r.20	s	aiin	saiin	III	SEPARATE	FUSED	SEPARATE	1	0	LOCAL_BOUNDARY_CANDIDATE_WITH_OTHER_READER_DIFFERENCES	s aiin chey teol ykair paiir olkaiin olfaiin odar al airody al teedar dam	saiin chey teol ykair paiir olkaiin olfaiin odar al airody al teedar dam	s aiin chey teol ykair paiir olkaiin olfaiin o ar al airo y al teedar dam	saiin chey teol ykair paiir olkaiin olfaiin odar al airody al teedar dam	saiin chey teol ykair paiir olkaiin olfaiin odar al airody al teedar dam	saiin chey teol ykair paiir olkaiin olfaiin o ar al airo y al teedar dam	1	0	0
G759-B007	f105r	f105r.33	or	aiiin	oraiiin	IV	SEPARATE	FUSED	SEPARATE	1	0	LOCAL_BOUNDARY_CANDIDATE_WITH_OTHER_READER_DIFFERENCES	okeeodair oteey lkeey teeolteedy ot okal or aiiin qokaiin ar airod	okeeodair oteey lkeey teeolteedy otokal oraiiin qokaiin ar airod	okeeodair oteey lkeey teeolteedy ot okal or aiiin qokaiin ar airod	okeeodair oteey lkeey teeolteedy ot okal oraiiin qokaiin ar airod	okeeodair oteey lkeey teeolteedy otokal oraiiin qokaiin ar airod	okeeodair oteey lkeey teeolteedy ot okal oraiiin qokaiin ar airod	1	0	0
G759-B008	f105v	f105v.8	ar	aiin	araiin	III	FUSED	FUSED	SEPARATE	1	0	LOCAL_BOUNDARY_CANDIDATE_WITH_OTHER_READER_DIFFERENCES	fodal kedar olpchesd araiin ksheeol opchedy pchedy opcheddl pchdar air odar	fodal kedar olpchesd araiin ksheeol opchedy pchedy opcheddl pchdar air odar	f dal kedar olpchesd ar aiin ksheeol opchedy pchedy opcheddl pchdar air odar	fodal kedar olpchesd araiin ksheeol opchedy pchedy opcheddl pchdar air odar	fodal kedar olpchesd araiin ksheeol opchedy pchedy opcheddl pchdar air odar	f dal kedar olpchesd araiin ksheeol opchedy pchedy opcheddl pchdar air odar	1	0	0
G759-B009	f106v	f106v.23	or	aiin	oraiin	III	SEPARATE	FUSED	SEPARATE	1	0	LOCAL_BOUNDARY_CANDIDATE_WITH_OTHER_READER_DIFFERENCES	ol kalol shar chor okal chdy chol chedy qotaiin or aiin okeedy qokain	olkalol shor chor okal chdy chol chedy qotaiin oraiin okeedy qokain	ol kalol shar chor okal chdy chol che y qotaiin or aiin okeedy qokain	ol kalol shar chor okal chdy chol chedy qotaiin oraiin okeedy qokain	olkalol shor chor okal chdy chol chedy qotaiin oraiin okeedy qokain	ol kalol shar chor okal chdy chol che y qotaiin oraiin okeedy qokain	1	0	0
G759-B010	f107r	f107r.11	or	aiin	oraiin	III	FUSED	SEPARATE	FUSED	1	0	LOCAL_BOUNDARY_CANDIDATE_WITH_OTHER_READER_DIFFERENCES	cheeo cheeol qokaiin ytain y keeol l oraiin okaiin okar okaiin otaram	cheeo cheeol qokaiin ytain ykeeol l or aiin okaiin ekar okaiin otaram	cheeo chee l qokaiin ytain y keeol l oraiin okaiin okar okaiin otaram	cheeo cheeol qokaiin ytain y keeol l oraiin okaiin okar okaiin otaram	cheeo cheeol qokaiin ytain ykeeol l oraiin okaiin ekar okaiin otaram	cheeo chee l qokaiin ytain y keeol l oraiin okaiin okar okaiin otaram	1	0	0
G759-B011	f107v	f107v.42	or	ain	orain	II	SEPARATE	FUSED	SEPARATE	1	1	EXACT_NORMALIZED_BOUNDARY_EQUIVALENCE	or ain oloeeey qokain	orain oloeeey qokain	or ain oloeeey qokain	orain oloeeey qokain	orain oloeeey qokain	orain oloeeey qokain	1	0	0
G759-B012	f108v	f108v.4	ar	ain	arain	II	FUSED	FUSED	SEPARATE	1	0	LOCAL_BOUNDARY_CANDIDATE_WITH_OTHER_READER_DIFFERENCES	dchedy shedy qokeed qoteedy qoteedy arain al keedy	dchedy shedy qokeed qotedy qoteedy arain al keedy	dchedy shedy qokeed qotee y qoteedy ar ain al kee y	dchedy shedy qokeed qoteedy qoteedy arain al keedy	dchedy shedy qokeed qotedy qoteedy arain al keedy	dchedy shedy qokeed qotee y qoteedy arain al kee y	1	0	0
G759-B013	f113v	f113v.2	ar	aiin	araiin	III	SEPARATE	FUSED	SEPARATE	1	1	EXACT_NORMALIZED_BOUNDARY_EQUIVALENCE	teoar ain qotar ycheey otaiir otaiin okchy lkchdy oteol ar al ar aiin okal cheyor	teoar ain qotar ycheey otaiir otaiin okchy lkchdy oteol ar al araiin okal cheyor	teoar ain qotar ycheey otaiir otaiin okchy lkchdy oteol ar al ar aiin okal cheyor	teoar ain qotar ycheey otaiir otaiin okchy lkchdy oteol ar al araiin okal cheyor	teoar ain qotar ycheey otaiir otaiin okchy lkchdy oteol ar al araiin okal cheyor	teoar ain qotar ycheey otaiir otaiin okchy lkchdy oteol ar al araiin okal cheyor	1	0	0
G759-B014	f113v	f113v.42	or	aiin	oraiin	III	SEPARATE	FUSED	SEPARATE	1	0	LOCAL_BOUNDARY_CANDIDATE_WITH_OTHER_READER_DIFFERENCES	pol keeo dy qoeees aiin or aiin oteol fchedy otchey dar otakeol ol	pol keeo dy qoeees aiin oraiin oteol fchedy oteeey dar otakeol ol	pol keeo dy qoeees aiin or aiin oteol fche y oteeey dar otakeol ol	pol keeo dy qoeees aiin oraiin oteol fchedy otchey dar otakeol ol	pol keeo dy qoeees aiin oraiin oteol fchedy oteeey dar otakeol ol	pol keeo dy qoeees aiin oraiin oteol fche y oteeey dar otakeol ol	1	0	0
G759-B015	f114r	f114r.38	ar	ain	arain	II	SEPARATE	FUSED	FUSED	1	0	LOCAL_BOUNDARY_CANDIDATE_WITH_OTHER_READER_DIFFERENCES	qoeedy qokchedy cheey raiin ar ain aiin al chol	qoeedy qokchedy cheey raiin arain aiin al chol	qoeedy qokched cheey aiin arain aiin l chol	qoeedy qokchedy cheey raiin arain aiin al chol	qoeedy qokchedy cheey raiin arain aiin al chol	qoeedy qokched cheey aiin arain aiin l chol	1	0	0
G759-B016	f114v	f114v.26	ar	aiin	araiin	III	FUSED	FUSED	SEPARATE	1	0	LOCAL_BOUNDARY_CANDIDATE_WITH_OTHER_READER_DIFFERENCES	pcheodal chopcheod qoto s araiin qota l cheo pchdal qoeedy chcthey	pcheodal cheopcheod qotos araiin qotolcheo pchdal qoeedy chcthey	pcheodal cheopcheod qotos ar aiin qot lcheo pchdal qoeedy chcthey	pcheodal chopcheod qoto s araiin qota l cheo pchdal qoeedy chcthey	pcheodal cheopcheod qotos araiin qotolcheo pchdal qoeedy chcthey	pcheodal cheopcheod qotos araiin qot lcheo pchdal qoeedy chcthey	1	0	0
G759-B017	f16r	f16r.7	s	aiin	saiin	III	SEPARATE	FUSED	SEPARATE	1	1	EXACT_NORMALIZED_BOUNDARY_EQUIVALENCE	daiin dalchy dyky schy s aiin doal qoky	daiin dalchy dyky schy saiin doal qoky	daiin dalchy dyky schy s aiin doal qoky	daiin dalchy dyky schy saiin doal qoky	daiin dalchy dyky schy saiin doal qoky	daiin dalchy dyky schy saiin doal qoky	1	0	0
G759-B018	f26r	f26r.3	s	aiin	saiin	III	SEPARATE	FUSED	FUSED	1	0	LOCAL_BOUNDARY_CANDIDATE_WITH_OTHER_READER_DIFFERENCES	oaiin shcthy cthedy oloy ykeedy olchedy dal y sheey s aiin s	oaiin shcthy eteeda oloy ykeedy olchedy gal y sheey saiin s	oaiin shcthy cthedy oloy ykee y olchedy al y sheey saiin s	oaiin shcthy cthedy oloy ykeedy olchedy dal y sheey saiin s	oaiin shcthy eteeda oloy ykeedy olchedy gal y sheey saiin s	oaiin shcthy cthedy oloy ykee y olchedy al y sheey saiin s	1	0	0
