comparator_id	source_id	date_band	register	source_title	primary_url	attested_form_or_summary	functional_use	target_family	decision_use	voynich_graphic_identity_credit	historical_lexeme_confirmation
E004	HX006	1450s to 1490s	RECIPE|MEASURE|FORMULA|LEXICAL_CONTENT	Aligned John of Burgundy plague-tract abbreviation corpus	https://academic.oup.com/dsh/article/37/3/765/6401180	drachm logogram	eine Drachme	S_VALUE_UNIT_OR_EQUAL_AMOUNT	Drachmen- und Unzenzeichen plus Wert sowie ana bleiben konkurrierende historische Funktionsmodelle	0	0
E004	HX009	late 14th to 15th century	RECIPE|MEASURE|ABBREVIATION	Abbreviations in Medieval Medical Manuscripts	https://reunido.uniovi.es/index.php/SELIM/article/view/13301	drachm logogram	eine Drachme	S_VALUE_UNIT_OR_EQUAL_AMOUNT	Drachmen- und Unzenzeichen plus Wert sowie ana bleiben konkurrierende historische Funktionsmodelle	0	0
E005	HX004	14th to 15th centuries	RECIPE|PROCESS|PREPARATION|LIQUID|INGREDIENT|PERSON	Durham Cathedral MS B.III.12 endleaf recipes	https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s18623hx81c.xml	sex vncias; vnam ... quartam vncie	eine Unze	S_VALUE_UNIT_OR_EQUAL_AMOUNT	Drachmen- und Unzenzeichen plus Wert sowie ana bleiben konkurrierende historische Funktionsmodelle	0	0
E005	HX006	1450s to 1490s	RECIPE|MEASURE|FORMULA|LEXICAL_CONTENT	Aligned John of Burgundy plague-tract abbreviation corpus	https://academic.oup.com/dsh/article/37/3/765/6401180	sex vncias; vnam ... quartam vncie	eine Unze	S_VALUE_UNIT_OR_EQUAL_AMOUNT	Drachmen- und Unzenzeichen plus Wert sowie ana bleiben konkurrierende historische Funktionsmodelle	0	0
E005	HX009	late 14th to 15th century	RECIPE|MEASURE|ABBREVIATION	Abbreviations in Medieval Medical Manuscripts	https://reunido.uniovi.es/index.php/SELIM/article/view/13301	sex vncias; vnam ... quartam vncie	eine Unze	S_VALUE_UNIT_OR_EQUAL_AMOUNT	Drachmen- und Unzenzeichen plus Wert sowie ana bleiben konkurrierende historische Funktionsmodelle	0	0
E006	HX006	1450s to 1490s	RECIPE|MEASURE|FORMULA|LEXICAL_CONTENT	Aligned John of Burgundy plague-tract abbreviation corpus	https://academic.oup.com/dsh/article/37/3/765/6401180	ana	zu gleichen Teilen	S_VALUE_UNIT_OR_EQUAL_AMOUNT	Drachmen- und Unzenzeichen plus Wert sowie ana bleiben konkurrierende historische Funktionsmodelle	0	0
E006	HX009	late 14th to 15th century	RECIPE|MEASURE|ABBREVIATION	Abbreviations in Medieval Medical Manuscripts	https://reunido.uniovi.es/index.php/SELIM/article/view/13301	ana	zu gleichen Teilen	S_VALUE_UNIT_OR_EQUAL_AMOUNT	Drachmen- und Unzenzeichen plus Wert sowie ana bleiben konkurrierende historische Funktionsmodelle	0	0
E006	HX010	late 14th century	RECIPE|INGREDIENT|MEASURE	Wellcome MS.307 recipe collection	https://wellcomecollection.org/works/rexwctzt	ana	zu gleichen Teilen	S_VALUE_UNIT_OR_EQUAL_AMOUNT	Drachmen- und Unzenzeichen plus Wert sowie ana bleiben konkurrierende historische Funktionsmodelle	0	0
G728-H01	EXTERNAL_COMPARATOR	13. Jahrhundert	lateinische Tiermedizin	Theodoricus Cerviensis, Mulomedicina I.16.19	https://d-nb.info/1279095032/34	eine Unze Tragant wird in drei Teile geteilt; ein Teil wird eingeweicht und in die Tränke gegeben	TEIL bezeichnet relative Teilung; Zutatenteil und spätere Verabreichung bleiben unterscheidbar	PORTION_SHARE_VALUE_OR_UNIT	TEIL bezeichnet relative Teilung; Zutatenteil und spätere Verabreichung bleiben unterscheidbar	0	0
G728-H02	EXTERNAL_COMPARATOR	1. Hälfte 15. Jahrhundert	mittelbairisches Feuerwerksrezept	Nürnberg GNM Hs 1481a, 12r-14r	https://kdih.badw.de/datenbank/handschrift/39/2/5	Rezept nennt II lott Pech, iii lott Schwefel und 1 lot Wachs	benannte Gewichts- oder Maßeinheit schlägt neutralen Portionsdefault	PORTION_SHARE_VALUE_OR_UNIT	benannte Gewichts- oder Maßeinheit schlägt neutralen Portionsdefault	0	0
G728-H03	EXTERNAL_COMPARATOR	1308-1314	lateinisches Kochrezept	Liber de coquina A, Rezept 14	https://corpus.atliteg.org/opera/liber-de-coquina-a/93	Zutaten werden als vier, drei, eine und zwei Unzen sowie eine halbe Unze angegeben	MASS bleibt für eine sichtbar lizenzierte Einheit reserviert	PORTION_SHARE_VALUE_OR_UNIT	MASS bleibt für eine sichtbar lizenzierte Einheit reserviert	0	0
G728-H04	EXTERNAL_COMPARATOR	spätes 13. Jahrhundert	lateinische Alchemie	alchemistische Rezepte, British Library Add MS 41486	https://searcharchives.bl.uk/catalog/032-002085127	Rezeptanfang nennt tres partes urine antiquate	TEIL ist ein relatives Mischungs- oder Teilungsverhältnis und nicht automatisch Portion	PORTION_SHARE_VALUE_OR_UNIT	TEIL ist ein relatives Mischungs- oder Teilungsverhältnis und nicht automatisch Portion	0	0
G728-H05	EXTERNAL_COMPARATOR	9.-15. Jahrhundert im Überblick	medizinisch-pharmakologisches Rezeptregister	Medieval Mediterranean Pharmacology	https://www.ncbi.nlm.nih.gov/books/NBK606146/	Beispiel trennt Teile der Zutaten, Herstellung, Verabreichung und konkrete Dosierung	DOSIS/Gabe verlangt Posologie oder Verabreichung; bloßes Nimm oder Abmessen genügt nicht	PORTION_SHARE_VALUE_OR_UNIT	DOSIS/Gabe verlangt Posologie oder Verabreichung; bloßes Nimm oder Abmessen genügt nicht	0	0
