exact_expression_eva	family	working_render_de	working_confidence	exact_occurrences	pages	fused_counterpart_surface	fused_counterpart_occurrences	exact_boundary_bridges	alternate_1_de	alternate_2_de	evidence	scope	confirmed_plaintext	component_export_credit
s ain	QUANTITY_VALUE	zwei Drachmen	C0_SINGLETON_PAIR	1	1	sain	53	0	zwei gleiche Teile	zwei Unzen	Ein getrenntes Paar und die produktive fusionierte s-Wert-Familie tragen eine Einheit-plus-Wert-Lesung; die konkrete Einheit bleibt austauschbar.	EXACT_OBSERVED_SPAN_ONLY	0	0
s aiin	QUANTITY_VALUE	drei Drachmen	C1_BOUNDARY_REPLICATED	23	22	saiin	89	4	drei gleiche Teile	drei Unzen	23 exakte getrennte Paare und mehrfach gleiche fusionierte/getrennte Leserzeilen machen dies zur stärksten s-Wert-Konstruktion.	EXACT_OBSERVED_SPAN_ONLY	0	0
s aiiin	QUANTITY_VALUE	vier Drachmen	C0_SINGLETON_PAIR	1	1	saiiin	1	0	vier gleiche Teile	vier Unzen	Ein getrenntes Paar hält die Wert-IV-Erweiterung offen; die konkrete Einheit ist nicht identifiziert.	EXACT_OBSERVED_SPAN_ONLY	0	0
or ain	QUANTITY_VALUE	zwei Portionen	C1_BOUNDARY_SUPPORTED	1	1	orain	14	1	zwei Anteile	Wertstufe II	Das getrennte Paar hat eine vollständig normalisierte orain-Grenzbrücke; die fusionierte Form ist wiederholt.	EXACT_OBSERVED_SPAN_ONLY	0	0
or aiin	QUANTITY_VALUE	drei Portionen	C2_RECURRENT_BOUNDARY_SUPPORTED	36	25	oraiin	21	1	drei Anteile	Wertstufe III	36 getrennte Paare, eine vollständig normalisierte oraiin-Grenzbrücke und der vorhandene fusionierte Ganzwortdefault konvergieren.	EXACT_OBSERVED_SPAN_ONLY	0	0
or aiiin	QUANTITY_VALUE	vier Portionen	C1_RECURRENT_PAIR	7	5	oraiiin	1	0	vier Anteile	Wertstufe IV	Sieben getrennte Vorkommen erweitern die Portionsreihe auf Wert IV.	EXACT_OBSERVED_SPAN_ONLY	0	0
ar ain	QUANTITY_VALUE	zwei Anteile	C1_RECURRENT_PAIR	5	5	arain	0	0	zwei Portionen	Wertstufe II	Fünf getrennte Vorkommen tragen die Anteil-plus-Wert-Lesung.	EXACT_OBSERVED_SPAN_ONLY	0	0
ar aiin	QUANTITY_VALUE	drei Anteile	C2_RECURRENT_BOUNDARY_SUPPORTED	16	13	araiin	4	1	drei Portionen	Wertstufe III	16 getrennte Paare und eine vollständig normalisierte araiin-Grenzbrücke tragen die Konstruktion.	EXACT_OBSERVED_SPAN_ONLY	0	0
ar aiiin	QUANTITY_VALUE	vier Anteile	C1_RECURRENT_PAIR	6	6	araiiin	0	0	vier Portionen	Wertstufe IV	Sechs getrennte Vorkommen tragen die Anteil-plus-Wert-IV-Lesung.	EXACT_OBSERVED_SPAN_ONLY	0	0
chor chol	PART_STATE	getrockneter Blüten-/Samenstand	C1_RECURRENT_PART_STATE	8	7	chorchol	0	0	getrocknetes Pflanzenteil	Pflanzenteil: Trockenheitsstufe	Acht direkte Paare und zwei replizierte chor chol daiin-Klauseln binden Pflanzenteil und Trockenheit.	EXACT_OBSERVED_SPAN_ONLY	0	0
chol chor	PART_STATE	getrockneter Blüten-/Samenstand	C1_RECURRENT_PART_STATE	7	7	cholchor	0	0	getrocknetes Pflanzenteil	Trockenheitsmarker vor Pflanzenteil	Sieben direkte Gegenrichtungs-Paare zeigen flexible Oberflächenreihenfolge desselben Teil-Zustands-Rahmens.	EXACT_OBSERVED_SPAN_ONLY	0	0
cthy chol	PART_STATE	getrocknetes Blattgut	C2_CROSS_PASS_PART_STATE	2	2	cthychol	0	0	Blattgut: trocken	getrocknetes oberirdisches Kraut	Zwei direkte Paare verbinden den unabhängigen Blattgutkandidaten mit dem breit getragenen Trockenheitswert.	EXACT_OBSERVED_SPAN_ONLY	0	0
chol cthy	PART_STATE	getrocknetes Blattgut	C2_CROSS_PASS_PART_STATE	4	4	cholcthy	0	0	Blattgut: trocken	getrocknetes oberirdisches Kraut	Vier Gegenrichtungs-Paare reproduzieren dieselbe Blattgut-Trockenheitsbindung.	EXACT_OBSERVED_SPAN_ONLY	0	0
chor qokchol	PART_STATE	erhitzter und getrockneter Blüten-/Samenstand	C1_SINGLETON_EACH_DIRECTION	1	1	chorqokchol	0	0	erhitztes und getrocknetes Pflanzenteil	Pflanzenteil im Heiß-Trocken-Zustand	Ein Paar je Richtung bindet den Heiß-Trocken-Ganzwortkandidaten an chor.	EXACT_OBSERVED_SPAN_ONLY	0	0
qokchol chor	PART_STATE	erhitzter und getrockneter Blüten-/Samenstand	C1_SINGLETON_EACH_DIRECTION	1	1	qokcholchor	0	0	erhitztes und getrocknetes Pflanzenteil	Heiß-Trocken-Zustand vor Pflanzenteil	Ein Paar je Richtung bindet den Heiß-Trocken-Ganzwortkandidaten an chor.	EXACT_OBSERVED_SPAN_ONLY	0	0
ols aiin	PREPARATION_VALUE	drei Portionen abgeseihte Zubereitung	C0_SPARSE_VALUE_BEARING	2	2	olsaiin	2	0	abgeseihte Zubereitung, Stufe III	drei Portionen Öl	Zwei direkte Paare machen eine werttragende Zubereitung wahrscheinlicher als einen bloßen Abseihimperativ.	EXACT_OBSERVED_SPAN_ONLY	0	0
ols aiiin	PREPARATION_VALUE	vier Portionen abgeseihte Zubereitung	C0_SINGLETON_VALUE_BEARING	1	1	olsaiiin	0	0	abgeseihte Zubereitung, Stufe IV	vier Portionen Öl	Ein direktes Paar erweitert die werttragende Zubereitungshypothese auf Stufe IV.	EXACT_OBSERVED_SPAN_ONLY	0	0
