group_serial	page	locus	visible_owner	namespace_id	visible_surface	exact_prose_card_id	exact_prose_value_de	is_herbal_bio_bridge_card	astro_local_reading_de	cross_register_rule
1	f67r2	f67r2.1	A1_RIGHT_SECTOR_SLOT_01	F67_RIGHT_WHEEL_NS	ykshy	NONE	NONE	NO	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Position oder Bedingung halten; lokaler Namensrest yk/y.	ASTRO_LOCAL_LABEL_OR_NONBRIDGE_PROSE_MATCH
2	f67r2	f67r2.1	A1_RIGHT_SECTOR_SLOT_01	F67_RIGHT_WHEEL_NS	s	NONE	NONE	NO	A1_RIGHT_SECTOR_SLOT_01: Nebenwert.	ASTRO_LOCAL_LABEL_OR_NONBRIDGE_PROSE_MATCH
3	f67r2	f67r2.1	A1_RIGHT_SECTOR_SLOT_01	F67_RIGHT_WHEEL_NS	aram	NONE	NONE	NO	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest am.	ASTRO_LOCAL_LABEL_OR_NONBRIDGE_PROSE_MATCH
4	f67r2	f67r2.2	A1_RIGHT_SECTOR_SLOT_02	F67_RIGHT_WHEEL_NS	ykecho	NONE	NONE	NO	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest ykec.	ASTRO_LOCAL_LABEL_OR_NONBRIDGE_PROSE_MATCH
5	f67r2	f67r2.2	A1_RIGHT_SECTOR_SLOT_02	F67_RIGHT_WHEEL_NS	ols	NONE	NONE	NO	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest s.	ASTRO_LOCAL_LABEL_OR_NONBRIDGE_PROSE_MATCH
6	f67r2	f67r2.2	A1_RIGHT_SECTOR_SLOT_02	F67_RIGHT_WHEEL_NS	eesydy	NONE	NONE	NO	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: lange oder volle Diagrammstufe; lokaler Namensrest sydy.	ASTRO_LOCAL_LABEL_OR_NONBRIDGE_PROSE_MATCH
7	f67r2	f67r2.3	A1_RIGHT_SECTOR_SLOT_03	F67_RIGHT_WHEEL_NS	ey	NONE	NONE	NO	A1_RIGHT_SECTOR_SLOT_03: aktueller Auswahlwert.	ASTRO_LOCAL_LABEL_OR_NONBRIDGE_PROSE_MATCH
8	f67r2	f67r2.3	A1_RIGHT_SECTOR_SLOT_03	F67_RIGHT_WHEEL_NS	shs	NONE	NONE	NO	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Position oder Bedingung halten; lokaler Namensrest s.	ASTRO_LOCAL_LABEL_OR_NONBRIDGE_PROSE_MATCH
9	f67r2	f67r2.3	A1_RIGHT_SECTOR_SLOT_03	F67_RIGHT_WHEEL_NS	okar	NONE	NONE	NO	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.	ASTRO_LOCAL_LABEL_OR_NONBRIDGE_PROSE_MATCH
10	f67r2	f67r2.4	A1_RIGHT_SECTOR_SLOT_04	F67_RIGHT_WHEEL_NS	shekchy	NONE	NONE	NO	Sektorplatz A1_RIGHT_SECTOR_SLOT_04: Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest e/y.	ASTRO_LOCAL_LABEL_OR_NONBRIDGE_PROSE_MATCH
11	f67r2	f67r2.4	A1_RIGHT_SECTOR_SLOT_04	F67_RIGHT_WHEEL_NS	sykos	NONE	NONE	NO	A1_RIGHT_SECTOR_SLOT_04: sekundäre Grundklasse.	ASTRO_LOCAL_LABEL_OR_NONBRIDGE_PROSE_MATCH
12	f67r2	f67r2.5	A1_RIGHT_SECTOR_SLOT_05	F67_RIGHT_WHEEL_NS	ykeody	NONE	NONE	NO	A1_RIGHT_SECTOR_SLOT_05: Klassenplatz fest eingetragen.	ASTRO_LOCAL_LABEL_OR_NONBRIDGE_PROSE_MATCH
13	f67r2	f67r2.5	A1_RIGHT_SECTOR_SLOT_05	F67_RIGHT_WHEEL_NS	okchy	MC103	weiterbearbeiten	NO	Sektorplatz A1_RIGHT_SECTOR_SLOT_05: diesen Diagrammposten setzen.	ASTRO_LOCAL_LABEL_OR_NONBRIDGE_PROSE_MATCH
14	f67r2	f67r2.6	A1_RIGHT_SECTOR_SLOT_06	F67_RIGHT_WHEEL_NS	dchetay	NONE	NONE	NO	A1_RIGHT_SECTOR_SLOT_06: fester Hauptphasenwert.	ASTRO_LOCAL_LABEL_OR_NONBRIDGE_PROSE_MATCH
