master_card_id	registered_surfaces_seen	selected_cross_register_value_de	astro_group_count	pages	loci	first_astro_local_reading_de	decision
MC123	chy|y|dy|sy|chey	dies	25	f67r2|f69v	f67r2.11|f67r2.16|f67r2.17|f67r2.39|f67r2.48|f67r2.54|f67r2.57|f67r2.73|f69v.1|f69v.2|f69v.3|f69v.5|f69v.25	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: dieser lokale Diagrammposten.	KEEP_CURRENT_PORTABLE_VALUE_WITH_LOCAL_ASTRO_EXPANSION
MC039	daiin|aiin|saiin	Sollwert	11	f67r2|f69v	f67r2.18|f67r2.27|f67r2.29|f67r2.36|f67r2.43|f67r2.44|f67r2.49|f67r2.56|f67r2.74|f69v.2	Sternplatz A1_LEFT_LOCAL_FIELD_18: Sollwert oder Grad des bezeichneten Himmelsplatzes.	ABSTRACT_PORTABLE_VALUE_REVISED
MC154	dal|sal|cheal	dorthin	7	f67r2|f69v	f67r2.18|f67r2.50|f67r2.58|f69v.2|f69v.3	Sternplatz A1_LEFT_LOCAL_FIELD_18: zum bezeichneten Zielplatz.	KEEP_CURRENT_PORTABLE_VALUE_WITH_LOCAL_ASTRO_EXPANSION
MC153	chol|tol|ol	weiter	6	f67r2|f69v	f67r2.35|f67r2.56|f69v.1|f69v.2	Sternplatz A1_LEFT_LOCAL_FIELD_35: im selben Ring oder Band fortsetzen.	KEEP_CURRENT_PORTABLE_VALUE_WITH_LOCAL_ASTRO_EXPANSION
MC055	dar|sar|char	davon	5	f67r2|f69v	f67r2.72|f69v.1|f69v.4	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: vom bezeichneten Ausgangsplatz.	KEEP_CURRENT_PORTABLE_VALUE_WITH_LOCAL_ASTRO_EXPANSION
MC119	cheey|shey	Freigabewert	3	f68r1|f69v	f68r1.2|f68r1.3|f69v.2	Sternplatz A2_MIDDLE_PANEL_HEADER: abgelesener oder freigegebener Diagrammwert.	ABSTRACT_PORTABLE_VALUE_REVISED
MC026	oky|choky	einsetzen	2	f68r1|f69v	f68r1.37|f69v.2	Legendenstelle A2_CENTRAL_LEGEND_UNRESOLVED: diesen Diagrammposten setzen.	KEEP_CURRENT_PORTABLE_VALUE_WITH_LOCAL_ASTRO_EXPANSION
MC080	or|sor	Ansatz	2	f67r2	f67r2.36|f67r2.39	Sternplatz A1_LEFT_LOCAL_FIELD_36: Bedingungs- oder Tabellensatz.	KEEP_CURRENT_PORTABLE_VALUE_WITH_LOCAL_ASTRO_EXPANSION
MC019	oldy	fertig	1	f67r2	f67r2.14	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: fortsetzen und den Eintrag schliessen.	KEEP_CURRENT_PORTABLE_VALUE_WITH_LOCAL_ASTRO_EXPANSION
MC040	okal	dorthin einsetzen	1	f67r2	f67r2.22	Sternplatz A1_LEFT_LOCAL_FIELD_22: am Zielplatz setzen.	KEEP_CURRENT_PORTABLE_VALUE_WITH_LOCAL_ASTRO_EXPANSION
MC074	chdy	überführen	1	f69v	f69v.3	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: auf den bezeichneten Diagrammplatz uebertragen.	KEEP_CURRENT_PORTABLE_VALUE_WITH_LOCAL_ASTRO_EXPANSION
MC157	olor	derselbe Ansatz	1	f68r1	f68r1.20	Sternplatz A2_STAR_STATION_12: fortgesetzter Bedingungs- oder Tabellensatz.	KEEP_CURRENT_PORTABLE_VALUE_WITH_LOCAL_ASTRO_EXPANSION
MC171	otchey	das nächste	1	f67r2	f67r2.17	Sternplatz A1_LEFT_LOCAL_FIELD_17: naechster Diagrammposten.	KEEP_CURRENT_PORTABLE_VALUE_WITH_LOCAL_ASTRO_EXPANSION
