original	context_index	variant	case	decision	full_world_solver	independent_meaning_capacity
L02_009	2	0	WRAP01	FIXED_ORIGINAL_CELL_CONTRADICTION	NOT_RUN_REGISTERED_STOP	0
L02_012	2	0	WRAP01	FIXED_ORIGINAL_CELL_CONTRADICTION	NOT_RUN_REGISTERED_STOP	0
L02_109	2	0	WRAP01	FIXED_ORIGINAL_CELL_CONTRADICTION	NOT_RUN_REGISTERED_STOP	0
L02_115	2	0	WRAP01	FIXED_ORIGINAL_CELL_CONTRADICTION	NOT_RUN_REGISTERED_STOP	0
L02_212	2	0	WRAP01	FIXED_ORIGINAL_CELL_CONTRADICTION	NOT_RUN_REGISTERED_STOP	0
L02_215	2	0	WRAP01	FIXED_ORIGINAL_CELL_CONTRADICTION	NOT_RUN_REGISTERED_STOP	0
L02_009	2	2	WRAP02	FIXED_ORIGINAL_CELL_CONTRADICTION	NOT_RUN_REGISTERED_STOP	0
L02_012	2	2	WRAP02	FIXED_ORIGINAL_CELL_CONTRADICTION	NOT_RUN_REGISTERED_STOP	0
L02_109	2	2	WRAP02	FIXED_ORIGINAL_CELL_CONTRADICTION	NOT_RUN_REGISTERED_STOP	0
L02_115	2	2	WRAP02	FIXED_ORIGINAL_CELL_CONTRADICTION	NOT_RUN_REGISTERED_STOP	0
L02_212	2	2	WRAP02	FIXED_ORIGINAL_CELL_CONTRADICTION	NOT_RUN_REGISTERED_STOP	0
L02_215	2	2	WRAP02	FIXED_ORIGINAL_CELL_CONTRADICTION	NOT_RUN_REGISTERED_STOP	0
L02_009	2	8	WRAP03	FIXED_ORIGINAL_CELL_CONTRADICTION	NOT_RUN_REGISTERED_STOP	0
L02_012	2	8	WRAP03	FIXED_ORIGINAL_CELL_CONTRADICTION	NOT_RUN_REGISTERED_STOP	0
L02_109	2	8	WRAP03	FIXED_ORIGINAL_CELL_CONTRADICTION	NOT_RUN_REGISTERED_STOP	0
L02_115	2	8	WRAP03	FIXED_ORIGINAL_CELL_CONTRADICTION	NOT_RUN_REGISTERED_STOP	0
L02_212	2	8	WRAP03	FIXED_ORIGINAL_CELL_CONTRADICTION	NOT_RUN_REGISTERED_STOP	0
L02_215	2	8	WRAP03	FIXED_ORIGINAL_CELL_CONTRADICTION	NOT_RUN_REGISTERED_STOP	0
