case	engine	status	original_to_added_state_conflicts	added_to_original_state_conflicts	independent_meaning_capacity
FULL01	primary	COHERENT	0	0	0
FULL01	independent	CONTRADICTED	2	0	0
FULL02	primary	CONTRADICTED	4	0	0
FULL02	independent	CONTRADICTED	2	0	0
FULL03	primary	CONTRADICTED	8	0	0
FULL03	independent	CONTRADICTED	1	0	0
FULL04	primary	CONTRADICTED	9	0	0
FULL04	independent	COHERENT	0	0	0
FULL05	primary	CONTRADICTED	1	0	0
FULL05	independent	CONTRADICTED	2	0	0
FULL06	primary	CONTRADICTED	3	0	0
FULL06	independent	CONTRADICTED	2	0	0
FULL07	primary	CONTRADICTED	7	0	0
FULL07	independent	CONTRADICTED	1	0	0
FULL08	primary	CONTRADICTED	10	0	0
FULL08	independent	CONTRADICTED	2	0	0
FULL09	primary	COHERENT	0	0	0
FULL10	primary	CONTRADICTED	15	0	0
FULL10	independent	CONTRADICTED	2	0	0
FULL11	primary	CONTRADICTED	1	0	0
FULL12	primary	CONTRADICTED	5	0	0
FULL13	primary	CONTRADICTED	4	0	0
FULL14	primary	CONTRADICTED	1	0	0
FULL15	primary	CONTRADICTED	2	2	0
FULL16	primary	CONTRADICTED	4	0	0
FULL17	primary	CONTRADICTED	2	0	0
FULL18	primary	CONTRADICTED	4	0	0
FULL19	primary	CONTRADICTED	1	0	0
FULL20	primary	CONTRADICTED	6	0	0
