case	engine	context_index	class_name	variant_index	groups	new_spellings	new_THEN_spellings	THEN_positions	longest_THEN_run	cargos	hazard_pairs	asserted_hazard_pairs	qokedy_hazard_degree	voyage_counts	consistent_paths	original_example	independent_meaning_capacity
FULL01	primary	2	DIFFERENT_CARGO_NAME	0	93	75	29	41	11	2	1	0	1	9	1	L02_009	0
FULL01	independent	2	DIFFERENT_CARGO_NAME	0	93	75	17	24	5	3	2	1	2	9	1	L02_009	0
FULL02	primary	2	DIFFERENT_CARGO_NAME	2	93	75	15	25	8	2	1	1	1	11	1	L02_009	0
FULL02	independent	2	DIFFERENT_CARGO_NAME	2	93	75	16	23	4	2	1	1	1	9	1	L02_009	0
FULL03	primary	2	DIFFERENT_CARGO_NAME	4	93	75	21	26	4	3	2	1	2	13	1	L02_026	0
FULL03	independent	2	DIFFERENT_CARGO_NAME	4	93	75	19	26	5	2	1	1	1	5	1	L02_026	0
FULL04	primary	2	DIFFERENT_CARGO_NAME	6	93	75	24	34	11	2	1	0	1	13	1	L02_026	0
FULL04	independent	2	DIFFERENT_CARGO_NAME	6	93	75	16	23	4	2	1	1	1	7	1	L02_026	0
FULL05	primary	2	DIFFERENT_CARGO_NAME	8	93	75	14	17	5	2	1	0	1	15	1	L02_009	0
FULL05	independent	2	DIFFERENT_CARGO_NAME	8	93	75	17	24	5	3	2	1	2	9	1	L02_009	0
FULL06	primary	2	DIFFERENT_CARGO_NAME	10	93	75	9	12	2	2	1	1	1	15	1	L02_009	0
FULL06	independent	2	DIFFERENT_CARGO_NAME	10	93	75	16	23	4	2	1	1	1	9	1	L02_009	0
FULL07	primary	2	DIFFERENT_CARGO_NAME	12	93	75	28	39	15	2	1	0	1	11	1	L02_027	0
FULL07	independent	2	DIFFERENT_CARGO_NAME	12	93	75	17	24	5	3	2	1	2	9	1	L02_027	0
FULL08	primary	2	DIFFERENT_CARGO_NAME	14	93	75	15	25	8	3	2	1	2	9	1	L02_027	0
FULL08	independent	2	DIFFERENT_CARGO_NAME	14	93	75	16	23	4	2	1	1	1	9	1	L02_027	0
FULL09	primary	2	FIRST_REFERENCE	0	93	75	16	19	2	2	1	0	1	17	1	L02_054	0
FULL09	independent	2	FIRST_REFERENCE	0	93	75	17	24	5	2	1	1	1	5	1	L02_054	0
FULL10	primary	2	FIRST_REFERENCE	2	93	75	22	33	12	2	1	0	1	9	1	L02_054	0
FULL10	independent	2	FIRST_REFERENCE	2	93	75	17	24	4	3	2	1	2	9	1	L02_054	0
FULL11	primary	4	DIFFERENT_CARGO_NAME	0	89	71	24	36	10	2	1	0	1	7	1	L02_009	0
FULL12	primary	4	DIFFERENT_CARGO_NAME	2	89	71	14	17	3	2	1	0	1	15	1	L02_009	0
FULL12	independent	4	DIFFERENT_CARGO_NAME	2	89	71	9	12	2	3	2	0	2	19	1	L02_009	0
FULL13	primary	4	DIFFERENT_CARGO_NAME	4	89	71	19	27	6	2	1	0	1	13	1	L02_026	0
FULL13	independent	4	DIFFERENT_CARGO_NAME	4	89	71	9	12	2	3	2	1	2	17	1	L02_026	0
FULL14	primary	4	DIFFERENT_CARGO_NAME	6	89	71	23	35	11	2	1	0	1	9	2	L02_026	0
FULL14	independent	4	DIFFERENT_CARGO_NAME	6	89	71	9	12	2	3	2	1	2	17	1	L02_026	0
FULL15	primary	4	DIFFERENT_CARGO_NAME	8	89	71	17	25	3	3	2	2	2	9	1	L02_009	0
FULL15	independent	4	DIFFERENT_CARGO_NAME	8	89	71	9	12	2	3	2	0	2	19	1	L02_009	0
FULL16	primary	4	DIFFERENT_CARGO_NAME	10	89	71	13	16	2	2	1	0	1	9	1	L02_009	0
FULL16	independent	4	DIFFERENT_CARGO_NAME	10	89	71	9	12	2	3	2	0	2	19	1	L02_009	0
FULL17	primary	4	DIFFERENT_CARGO_NAME	12	89	71	12	15	4	2	1	0	1	21	1	L02_027	0
FULL17	independent	4	DIFFERENT_CARGO_NAME	12	89	71	9	12	2	3	2	1	2	17	1	L02_027	0
FULL18	primary	4	DIFFERENT_CARGO_NAME	14	89	71	15	19	3	2	1	0	1	17	1	L02_027	0
FULL18	independent	4	DIFFERENT_CARGO_NAME	14	89	71	9	12	2	3	2	1	2	17	1	L02_027	0
FULL19	primary	4	FIRST_REFERENCE	0	89	71	19	27	4	2	1	0	1	13	1	L02_054	0
FULL20	primary	4	FIRST_REFERENCE	2	89	71	15	26	8	2	1	0	1	11	1	L02_054	0
