edition	model	at	word	patient	right_word	I_medium	Q_medium
ZL3b	G	ZL3b|f75v.40|G011	sheey	sheedy	qokain	ZL3b|f75v.40|G012	UNBOUND
ZL3b	G	ZL3b|f75v.42|G003	sheey	shey	qolshey	UNBOUND	UNBOUND
ZL3b	S	ZL3b|f75v.40|G008	cheey	sheedy	dol	UNBOUND	UNBOUND
ZL3b	S	ZL3b|f75v.40|G011	sheey	sheedy	qokain	ZL3b|f75v.40|G012	UNBOUND
ZL3b	S	ZL3b|f75v.41|G012	cheey	shey	chl	UNBOUND	UNBOUND
ZL3b	S	ZL3b|f75v.42|G003	sheey	shey	qolshey	UNBOUND	UNBOUND
IT2a	G	IT2a|f75v.40|G011	sheey	sheedy	qokain	IT2a|f75v.40|G012	UNBOUND
IT2a	G	IT2a|f75v.42|G002	sheey	shey	qolshey	UNBOUND	UNBOUND
IT2a	S	IT2a|f75v.40|G008	cheey	sheedy	dal	UNBOUND	UNBOUND
IT2a	S	IT2a|f75v.40|G011	sheey	sheedy	qokain	IT2a|f75v.40|G012	UNBOUND
IT2a	S	IT2a|f75v.41|G012	cheey	shey	chl	UNBOUND	UNBOUND
IT2a	S	IT2a|f75v.42|G002	sheey	shey	qolshey	UNBOUND	UNBOUND
