card_no	surfaces	component_recipe	productive_roots	root_values_de	composed_reading_de	events	pages	contains_close
PROC002	cthoor	CTH+O+OR	CTH	BEREIT	BEREIT · ARBEITSGANG · ANSATZ	1	f10r	NO
PROC008	choky|oky|qoky	OK+Y	OK	ANSETZEN	ANSETZEN · ARBEITSPOSTEN	10	f10r|f56r|f81v|f82r|f83r	NO
PROC011	chokchy|okchy|qokchy	OK+Y	OK	ANSETZEN	ANSETZEN · ARBEITSPOSTEN	3	f10r|f56r	NO
PROC014	checthy|cthy|shcthy	CTH+Y	CTH	BEREIT	BEREIT · ARBEITSPOSTEN	7	f10r|f11r|f83r	NO
PROC017	cthaiin	CTH+AIIN	CTH	BEREIT	BEREIT · SOLLMASS	1	f10r	NO
PROC018	qoctholy	O+CTH+OL+Y	CTH	BEREIT	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	1	f10r	NO
PROC037	okchol	OK+OL	OK	ANSETZEN	ANSETZEN · FORTSETZEN	1	f11r	NO
PROC038	okaiin|qokaiin	OK+AIIN	OK	ANSETZEN	ANSETZEN · SOLLMASS	9	f55v|f81v|f82r|f83r	NO
PROC042	chdy|chedy	CHD+Y	CHD	UMSETZEN	UMSETZEN · ARBEITSPOSTEN	11	f55v|f81v|f83r	NO
PROC046	cheeky	CHK+EE+Y	CHK	WAERMEN	WAERMEN · LANG · ARBEITSPOSTEN	2	f55v|f83r	NO
PROC048	okal|qokal	OK+AL	OK	ANSETZEN	ANSETZEN · ZIELSTELLE	6	f55v|f81v|f82r|f83r	NO
PROC060	qokokchy	OK+OK+Y	OK	ANSETZEN	ANSETZEN · ANSETZEN · ARBEITSPOSTEN	1	f56r	NO
PROC061	chokcheo	OK+CH+E+O	OK	ANSETZEN	ANSETZEN · ABNEHMEN · KURZ · ARBEITSGANG	1	f56r	NO
PROC067	qokedy	OK+E+DY	OK	ANSETZEN	ANSETZEN · KURZ; SCHLUSS	8	f81v|f83r	YES
PROC074	qokeedal	OK+EE+AL	OK	ANSETZEN	ANSETZEN · LANG · ZIELSTELLE	1	f81v	NO
PROC076	dchedy|schedy|tchedy	CHD+DY	CHD	UMSETZEN	UMSETZEN; SCHLUSS	4	f81v|f82r|f83r	YES
PROC077	sshkchdy	SH+K+CHD+DY	CHD	UMSETZEN	HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS	1	f81v	YES
PROC078	cheedy|shedy|tedy	SHED+DY	SHED	ABSETZEN	ABSETZEN; SCHLUSS	12	f81v|f82r|f83r	YES
PROC079	olchedy|qolchedy	OL+CHD+DY	CHD	UMSETZEN	FORTSETZEN · UMSETZEN; SCHLUSS	3	f81v|f82r|f83r	YES
PROC080	okain|qokain	OK+AIN	OK	ANSETZEN	ANSETZEN · PORTION	7	f81v|f82r|f83r	NO
