component_recipe	card_types	card_ids	events	productive_roots	composed_reading_de
AL+CHD+DY	1	PROC144	1	CHD	ZIELSTELLE · UMSETZEN; SCHLUSS
CHD+AIN	1	PROC151	1	CHD	UMSETZEN · PORTION
CHD+AIR	1	PROC150	1	CHD	UMSETZEN · FLUESSIGKEITSLAUF
CHD+AL	1	PROC168	1	CHD	UMSETZEN · ZIELSTELLE
CHD+DY	2	PROC076|PROC094	5	CHD	UMSETZEN; SCHLUSS
CHD+Y	2	PROC042|PROC133	12	CHD	UMSETZEN · ARBEITSPOSTEN
CHK+E+Y	1	PROC083	3	CHK	WAERMEN · KURZ · ARBEITSPOSTEN
CHK+EE+DY	1	PROC132	1	CHK	WAERMEN · LANG; SCHLUSS
CHK+EE+Y	2	PROC046|PROC107	3	CHK	WAERMEN · LANG · ARBEITSPOSTEN
CTH+AIIN	1	PROC017	1	CTH	BEREIT · SOLLMASS
CTH+E+Y	1	PROC117	2	CTH	BEREIT · KURZ · ARBEITSPOSTEN
CTH+O+OR	1	PROC002	1	CTH	BEREIT · ARBEITSGANG · ANSATZ
CTH+Y	1	PROC014	7	CTH	BEREIT · ARBEITSPOSTEN
L+CHD	1	PROC102	1	CHD	WEITERLEITEN · UMSETZEN
L+CHD+AL	1	PROC088	1	CHD	WEITERLEITEN · UMSETZEN · ZIELSTELLE
L+CHD+AR	1	PROC123	1	CHD	WEITERLEITEN · UMSETZEN · VORRAT
L+CHD+DY	1	PROC120	8	CHD	WEITERLEITEN · UMSETZEN; SCHLUSS
L+O+CHD+DY	1	PROC130	1	CHD	WEITERLEITEN · ARBEITSGANG · UMSETZEN; SCHLUSS
O+CTH+E+OL	1	PROC106	1	CTH	ARBEITSGANG · BEREIT · KURZ · FORTSETZEN
O+CTH+OL+Y	1	PROC018	1	CTH	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN
OK+AIIN	1	PROC038	9	OK	ANSETZEN · SOLLMASS
OK+AIN	1	PROC080	7	OK	ANSETZEN · PORTION
OK+AIR	1	PROC138	1	OK	ANSETZEN · FLUESSIGKEITSLAUF
OK+AL	1	PROC048	6	OK	ANSETZEN · ZIELSTELLE
OK+AL+Y	1	PROC104	1	OK	ANSETZEN · ZIELSTELLE · ARBEITSPOSTEN
OK+AR	1	PROC113	1	OK	ANSETZEN · VORRAT
OK+CH+E+O	1	PROC061	1	OK	ANSETZEN · ABNEHMEN · KURZ · ARBEITSGANG
OK+CHD+DY	2	PROC082|PROC091	5	OK|CHD	ANSETZEN · UMSETZEN; SCHLUSS
OK+E+DY	1	PROC067	8	OK	ANSETZEN · KURZ; SCHLUSS
OK+E+Y	1	PROC085	2	OK	ANSETZEN · KURZ · ARBEITSPOSTEN
OK+EE+AL	1	PROC074	1	OK	ANSETZEN · LANG · ZIELSTELLE
OK+EE+DY	1	PROC100	10	OK	ANSETZEN · LANG; SCHLUSS
OK+EE+OL	1	PROC158	1	OK	ANSETZEN · LANG · FORTSETZEN
OK+EE+Y	1	PROC092	7	OK	ANSETZEN · LANG · ARBEITSPOSTEN
OK+EEE+DY	1	PROC119	1	OK	ANSETZEN · VOLL; SCHLUSS
OK+OK+Y	1	PROC060	1	OK	ANSETZEN · ANSETZEN · ARBEITSPOSTEN
OK+OL	2	PROC037|PROC160	2	OK	ANSETZEN · FORTSETZEN
OK+SH+E+DY	1	PROC141	1	OK	ANSETZEN · HALTEN · KURZ; SCHLUSS
OK+Y	2	PROC008|PROC011	13	OK	ANSETZEN · ARBEITSPOSTEN
OK+Y+LD+DY	1	PROC155	1	OK	ANSETZEN · ARBEITSPOSTEN · BEFESTIGEN; SCHLUSS
OL+CHD+DY	1	PROC079	3	CHD	FORTSETZEN · UMSETZEN; SCHLUSS
OT+CHD+DY	2	PROC145|PROC166	3	CHD	DANACH · UMSETZEN; SCHLUSS
P+CHD+AL	1	PROC134	1	CHD	EINFUELLEN · UMSETZEN · ZIELSTELLE
P+CHD+DY	1	PROC125	1	CHD	EINFUELLEN · UMSETZEN; SCHLUSS
R+SHED+DY	1	PROC128	1	SHED	KUEHLEN · ABSETZEN; SCHLUSS
SH+E+CTH+CHD+Y	1	PROC136	1	CHD|CTH	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN
SH+E+CTH+Y	1	PROC143	1	CTH	HALTEN · KURZ · BEREIT · ARBEITSPOSTEN
SH+K+CHD+DY	1	PROC077	1	CHD	HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS
SHED+AL	1	PROC142	2	SHED	ABSETZEN · ZIELSTELLE
SHED+DY	1	PROC078	12	SHED	ABSETZEN; SCHLUSS
