card_no	surfaces	component_recipe	current_reading_de	events	pages	next_layer_status
PROC001	dchey	CH+E+Y	ABNEHMEN · KURZ · ARBEITSPOSTEN	1	f10r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC003	char|dar|sar	AR	VORRAT	5	f10r|f81v|f82r|f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC004	chety|chty	T+Y	EINTRAGEN · ARBEITSPOSTEN	2	f10r|f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC005	os	OS	ARBEITSFACH	1	f10r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC006	chair	CH+AIR	ABNEHMEN · FLUESSIGKEITSLAUF	1	f10r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC007	otytchol	OT+Y+T+CH+OL	DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN	1	f10r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	SOLLMASS	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC010	etyd	E+T+Y	KURZ · EINTRAGEN · ARBEITSPOSTEN	1	f10r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC012	qotchol	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	1	f10r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC013	cheol|chol|ol|qol|sol|tol	OL	FORTSETZEN	19	f10r|f81v|f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC015	ycheor	Y+CH+E+OR	ARBEITSPOSTEN · ABNEHMEN · KURZ · ANSATZ	1	f10r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC016	chor|or|shor|sor	OR	ANSATZ	7	f10r|f55v|f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC019	chey|chy|dy|shy|sy|y	Y	ARBEITSPOSTEN	18	f10r|f11r|f55v|f81v|f82r|f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC020	otchor|qotchor	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	2	f10r|f56r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC021	otol	OT+OL	DANACH · FORTSETZEN	1	f10r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC022	cholor|olor	OL+OR	FORTSETZEN · ANSATZ	2	f10r|f81v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC023	oykchor	O+Y+K+OR	ARBEITSGANG · ARBEITSPOSTEN · ZUDOSIEREN · ANSATZ	1	f10r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
