event_id	page	record	statement_id	card_no	surface	component_recipe	productive_roots	composed_reading_de	contains_close	statement_final
E002	f10r	H1	H1-S001	PROC002	cthoor	CTH+O+OR	CTH	BEREIT · ARBEITSGANG · ANSATZ	NO	NO
E008	f10r	H1	H1-S001	PROC008	oky	OK+Y	OK	ANSETZEN · ARBEITSPOSTEN	NO	NO
E011	f10r	H1	H1-S002	PROC011	qokchy	OK+Y	OK	ANSETZEN · ARBEITSPOSTEN	NO	NO
E014	f10r	H1	H1-S002	PROC014	cthy	CTH+Y	CTH	BEREIT · ARBEITSPOSTEN	NO	YES
E016	f10r	H2	H2-S001	PROC014	cthy	CTH+Y	CTH	BEREIT · ARBEITSPOSTEN	NO	NO
E018	f10r	H2	H2-S001	PROC017	cthaiin	CTH+AIIN	CTH	BEREIT · SOLLMASS	NO	NO
E019	f10r	H2	H2-S001	PROC018	qoctholy	O+CTH+OL+Y	CTH	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	NO	NO
E053	f11r	H3	H3-S004	PROC037	okchol	OK+OL	OK	ANSETZEN · FORTSETZEN	NO	NO
E054	f11r	H3	H3-S004	PROC014	cthy	CTH+Y	CTH	BEREIT · ARBEITSPOSTEN	NO	NO
E056	f55v	H4	H4-S001	PROC038	qokaiin	OK+AIIN	OK	ANSETZEN · SOLLMASS	NO	NO
E062	f55v	H4	H4-S002	PROC042	chedy	CHD+Y	CHD	UMSETZEN · ARBEITSPOSTEN	NO	NO
E066	f55v	H4	H4-S003	PROC046	cheeky	CHK+EE+Y	CHK	WAERMEN · LANG · ARBEITSPOSTEN	NO	NO
E069	f55v	H4	H4-S004	PROC048	okal	OK+AL	OK	ANSETZEN · ZIELSTELLE	NO	NO
E081	f56r	H5	H5-S001	PROC008	choky	OK+Y	OK	ANSETZEN · ARBEITSPOSTEN	NO	NO
E085	f56r	H5	H5-S002	PROC008	choky	OK+Y	OK	ANSETZEN · ARBEITSPOSTEN	NO	NO
E090	f56r	H5	H5-S003	PROC060	qokokchy	OK+OK+Y	OK	ANSETZEN · ANSETZEN · ARBEITSPOSTEN	NO	YES
E091	f56r	H5	H5-S004	PROC011	okchy	OK+Y	OK	ANSETZEN · ARBEITSPOSTEN	NO	NO
E092	f56r	H5	H5-S004	PROC061	chokcheo	OK+CH+E+O	OK	ANSETZEN · ABNEHMEN · KURZ · ARBEITSGANG	NO	NO
E095	f56r	H5	H5-S005	PROC011	chokchy	OK+Y	OK	ANSETZEN · ARBEITSPOSTEN	NO	NO
E101	f81v	B1	B1-S001	PROC067	qokedy	OK+E+DY	OK	ANSETZEN · KURZ; SCHLUSS	YES	YES
E102	f81v	B1	B1-S002	PROC038	okaiin	OK+AIIN	OK	ANSETZEN · SOLLMASS	NO	NO
E104	f81v	B1	B1-S002	PROC048	okal	OK+AL	OK	ANSETZEN · ZIELSTELLE	NO	NO
E117	f81v	B1	B1-S002	PROC074	qokeedal	OK+EE+AL	OK	ANSETZEN · LANG · ZIELSTELLE	NO	NO
E120	f81v	B1	B1-S002	PROC076	schedy	CHD+DY	CHD	UMSETZEN; SCHLUSS	YES	YES
E122	f81v	B1	B1-S003	PROC077	sshkchdy	SH+K+CHD+DY	CHD	HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS	YES	YES
E123	f81v	B1	B1-S004	PROC042	chedy	CHD+Y	CHD	UMSETZEN · ARBEITSPOSTEN	NO	NO
E125	f81v	B1	B1-S004	PROC078	shedy	SHED+DY	SHED	ABSETZEN; SCHLUSS	YES	YES
E126	f81v	B1	B1-S005	PROC079	qolchedy	OL+CHD+DY	CHD	FORTSETZEN · UMSETZEN; SCHLUSS	YES	YES
E127	f81v	B1	B1-S006	PROC080	qokain	OK+AIN	OK	ANSETZEN · PORTION	NO	NO
E131	f81v	B1	B1-S007	PROC082	qokchdy	OK+CHD+DY	OK|CHD	ANSETZEN · UMSETZEN; SCHLUSS	YES	YES
E134	f81v	B1	B1-S008	PROC083	cheky	CHK+E+Y	CHK	WAERMEN · KURZ · ARBEITSPOSTEN	NO	NO
E136	f81v	B1	B1-S008	PROC078	shedy	SHED+DY	SHED	ABSETZEN; SCHLUSS	YES	YES
E137	f81v	B1	B1-S009	PROC067	qokedy	OK+E+DY	OK	ANSETZEN · KURZ; SCHLUSS	YES	YES
E138	f81v	B1	B1-S010	PROC067	qokedy	OK+E+DY	OK	ANSETZEN · KURZ; SCHLUSS	YES	YES
E140	f81v	B1	B1-S011	PROC008	qoky	OK+Y	OK	ANSETZEN · ARBEITSPOSTEN	NO	YES
E142	f81v	B1	B1-S012	PROC085	qokey	OK+E+Y	OK	ANSETZEN · KURZ · ARBEITSPOSTEN	NO	NO
E145	f81v	B1	B1-S014	PROC042	chedy	CHD+Y	CHD	UMSETZEN · ARBEITSPOSTEN	NO	NO
E147	f81v	B1	B1-S014	PROC088	lchedal	L+CHD+AL	CHD	WEITERLEITEN · UMSETZEN · ZIELSTELLE	NO	NO
E151	f81v	B1	B1-S015	PROC091	okchedy	OK+CHD+DY	OK|CHD	ANSETZEN · UMSETZEN; SCHLUSS	YES	YES
E152	f81v	B1	B1-S016	PROC048	qokal	OK+AL	OK	ANSETZEN · ZIELSTELLE	NO	NO
E153	f81v	B1	B1-S016	PROC092	okeey	OK+EE+Y	OK	ANSETZEN · LANG · ARBEITSPOSTEN	NO	NO
E155	f81v	B1	B1-S016	PROC078	cheedy	SHED+DY	SHED	ABSETZEN; SCHLUSS	YES	YES
E158	f81v	B1	B1-S017	PROC094	dchdy	CHD+DY	CHD	UMSETZEN; SCHLUSS	YES	YES
E163	f81v	B1	B1-S019	PROC078	tedy	SHED+DY	SHED	ABSETZEN; SCHLUSS	YES	YES
E164	f81v	B1	B1-S020	PROC083	cheky	CHK+E+Y	CHK	WAERMEN · KURZ · ARBEITSPOSTEN	NO	NO
E167	f82r	B2	B2-S001	PROC076	dchedy	CHD+DY	CHD	UMSETZEN; SCHLUSS	YES	YES
E168	f82r	B2	B2-S002	PROC079	qolchedy	OL+CHD+DY	CHD	FORTSETZEN · UMSETZEN; SCHLUSS	YES	YES
E169	f82r	B2	B2-S003	PROC080	qokain	OK+AIN	OK	ANSETZEN · PORTION	NO	NO
E171	f82r	B2	B2-S003	PROC100	qokeedy	OK+EE+DY	OK	ANSETZEN · LANG; SCHLUSS	YES	YES
E172	f82r	B2	B2-S004	PROC048	qokal	OK+AL	OK	ANSETZEN · ZIELSTELLE	NO	NO
