exact_card_id	semantic_family	component_recipe	pass735_reading_de	pass736_reading_de	transfer_roots	registered_surfaces	events	transfer_revision
PROC001	SEM001	CH+E+Y	ENTNEHMEN · KURZ · DIES	ENTNEHMEN · KURZ · DIES	NONE	dchey	1	NO
PROC002	SEM002	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	BEREITEN · ARBEITSGANG · ANSATZ	NONE	cthoor	1	NO
PROC003	SEM003	AR	QUELLE	QUELLE	NONE	char|dar|sar	5	NO
PROC004	SEM004	T+Y	ANWENDEN · DIES	ANWENDEN · DIES	T	chety|chty	2	NO
PROC005	SEM005	OS	FACH	FACH	NONE	os	1	NO
PROC006	SEM006	CH+AIR	ENTNEHMEN · WASSER	ENTNEHMEN · WASSER	NONE	chair	1	NO
PROC007	SEM007	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	T	otytchol	1	NO
PROC008	SEM008	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	NONE	choky|oky|qoky	10	NO
PROC011	SEM008	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	NONE	chokchy|okchy|qokchy	3	NO
PROC009	SEM009	AIIN	SOLLMASS	SOLLMASS	NONE	aiin|chaiin|daiin|saiin|taiin	20	NO
PROC010	SEM010	E+T+Y	KURZ · ANWENDEN · DIES	KURZ · ANWENDEN · DIES	T	etyd	1	NO
PROC012	SEM011	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	DANACH · ENTNEHMEN · WEITER	NONE	qotchol	1	NO
PROC013	SEM012	OL	WEITER	WEITER	NONE	cheol|chol|ol|qol|sol|tol	19	NO
PROC115	SEM012	OL	WEITER	WEITER	NONE	ls	1	NO
PROC014	SEM013	CTH+Y	BEREITEN · DIES	BEREITEN · DIES	NONE	checthy|cthy|shcthy	7	NO
PROC015	SEM014	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	DIES · ENTNEHMEN · KURZ · ANSATZ	NONE	ycheor	1	NO
PROC016	SEM015	OR	ANSATZ	ANSATZ	NONE	chor|or|shor|sor	7	NO
PROC017	SEM016	CTH+AIIN	BEREITEN · SOLLMASS	BEREITEN · SOLLMASS	NONE	cthaiin	1	NO
PROC018	SEM017	O+CTH+OL+Y	ARBEITSGANG · BEREITEN · WEITER · DIES	ARBEITSGANG · BEREITEN · WEITER · DIES	NONE	qoctholy	1	NO
PROC019	SEM018	Y	DIES	DIES	NONE	chey|chy|dy|shy|sy|y	18	NO
PROC020	SEM019	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	DANACH · ENTNEHMEN · ANSATZ	NONE	otchor|qotchor	2	NO
PROC021	SEM020	OT+OL	DANACH · WEITER	DANACH · WEITER	NONE	otol	1	NO
PROC022	SEM021	OL+OR	WEITER · ANSATZ	WEITER · ANSATZ	NONE	cholor|olor	2	NO
PROC023	SEM022	O+Y+K+OR	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	NONE	oykchor	1	NO
PROC024	SEM023	K+IIN	ZUGEBEN · ARBEITSSTUFE	ZUGEBEN · ARBEITSSTUFE	NONE	kaiiin	1	NO
PROC025	SEM024	CH+O+AIIN	ENTNEHMEN · ARBEITSGANG · SOLLMASS	ENTNEHMEN · ARBEITSGANG · SOLLMASS	NONE	chodaiin	1	NO
PROC026	SEM025	T+SH+OL	ANWENDEN · HALTEN · WEITER	ANWENDEN · HALTEN · WEITER	T	tshol	1	NO
PROC027	SEM026	SH+O+AL	HALTEN · ARBEITSGANG · ZIELSTELLE	HALTEN · ARBEITSGANG · ZIELSTELLE	NONE	schoal	1	NO
PROC028	SEM027	CFH+Y	AUSWRINGEN · DIES	AUSWRINGEN · DIES	NONE	cfhy	1	NO
PROC029	SEM028	SH+Y+AIIN	HALTEN · DIES · SOLLMASS	HALTEN · DIES · SOLLMASS	NONE	shfydaiin	1	NO
PROC030	SEM029	P+Y	EINFUELLEN · DIES	FUELLEN · DIES	P	cphy	1	YES
PROC031	SEM030	SH+EE+Y	HALTEN · LANG · DIES	HALTEN · LANG · DIES	NONE	cheey|shey	4	NO
PROC157	SEM030	SH+EE+Y	HALTEN · LANG · DIES	HALTEN · LANG · DIES	NONE	sheey	1	NO
PROC032	SEM031	T+CH+O+DY	ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	T	tchody	1	NO
PROC033	SEM032	SH+O+Y+T+Y	HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES	HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES	T	shoyty	1	NO
PROC034	SEM033	RESUME_CARD	WIEDERAUFNEHMEN	WIEDERAUFNEHMEN	NONE	dchol|schol	2	NO
PROC035	SEM034	K+Y	ZUGEBEN · DIES	ZUGEBEN · DIES	NONE	kchy	1	NO
PROC036	SEM035	OT+Y	DANACH · DIES	DANACH · DIES	NONE	qotchy	1	NO
PROC065	SEM035	OT+Y	DANACH · DIES	DANACH · DIES	NONE	otchey	2	NO
