event_id	page	record	statement_id	owner_de	card_no	surface	component_recipe	transfer_roots	pass736_reading_de	root_expansion_de
E004	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC004	chty	T+Y	T	ANWENDEN · DIES	den Posten am aktuellen Gegenstand oder Ort gebrauchen
E007	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC007	otytchol	OT+Y+T+CH+OL	T	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	den Posten am aktuellen Gegenstand oder Ort gebrauchen
E010	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC010	etyd	E+T+Y	T	KURZ · ANWENDEN · DIES	den Posten am aktuellen Gegenstand oder Ort gebrauchen
E039	f11r	H3	H3-S001	abgebildete dicht blau blühende Kronenpflanze	PROC026	tshol	T+SH+OL	T	ANWENDEN · HALTEN · WEITER	den Posten am aktuellen Gegenstand oder Ort gebrauchen
E043	f11r	H3	H3-S001	abgebildete dicht blau blühende Kronenpflanze	PROC030	cphy	P+Y	P	FUELLEN · DIES	einen Posten in einen lokalen Empfänger füllen
E045	f11r	H3	H3-S001	abgebildete dicht blau blühende Kronenpflanze	PROC032	tchody	T+CH+O+DY	T	ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	den Posten am aktuellen Gegenstand oder Ort gebrauchen
E046	f11r	H3	H3-S002	abgebildete dicht blau blühende Kronenpflanze	PROC033	shoyty	SH+O+Y+T+Y	T	HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES	den Posten am aktuellen Gegenstand oder Ort gebrauchen
E070	f55v	H4	H4-S004	abgebildete breitblättrige rispige Pflanze	PROC049	oltchy	OL+T+Y	T	WEITER · ANWENDEN · DIES	den Posten am aktuellen Gegenstand oder Ort gebrauchen
E111	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	PROC071	rol	R+OL	R	KUEHLEN · WEITER	den Posten abkühlen oder kühl halten
E112	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	PROC072	dl	L	L	LEITEN	einen Posten entlang einer lokalen Route führen
E129	f81v	B1	B1-S006	gemeinsame zweireihige Figuren-/Beckenstation	PROC072	dl	L	L	LEITEN	einen Posten entlang einer lokalen Route führen
E130	f81v	B1	B1-S006	gemeinsame zweireihige Figuren-/Beckenstation	PROC081	ral	R+AL	R	KUEHLEN · ZIELSTELLE	den Posten abkühlen oder kühl halten
E147	f81v	B1	B1-S014	gemeinsame zweireihige Figuren-/Beckenstation	PROC088	lchedal	L+CHD+AL	L	LEITEN · UMSETZEN · ZIELSTELLE	einen Posten entlang einer lokalen Route führen
E150	f81v	B1	B1-S015	gemeinsame zweireihige Figuren-/Beckenstation	PROC090	ytey	T+E+Y	T	ANWENDEN · KURZ · DIES	den Posten am aktuellen Gegenstand oder Ort gebrauchen
E159	f81v	B1	B1-S018	gemeinsame zweireihige Figuren-/Beckenstation	PROC095	ly	L+Y	L	LEITEN · DIES	einen Posten entlang einer lokalen Route führen
E173	f82r	B2	B2-S004	oberes Beckenpaar mit Zylinder	PROC101	lcheckhy	L+CKH+Y	L	LEITEN · DURCHLASS · DIES	einen Posten entlang einer lokalen Route führen
E174	f82r	B2	B2-S004	oberes Beckenpaar mit Zylinder	PROC102	lched	L+CHD	L	LEITEN · UMSETZEN	einen Posten entlang einer lokalen Route führen
E176	f82r	B2	B2-S004	oberes Beckenpaar mit Zylinder	PROC103	lcheckhedy	L+CKH+E+DY	L	LEITEN · DURCHLASS · KURZ · SCHLUSS	einen Posten entlang einer lokalen Route führen
E184	f82r	B2	B2-S005	oberes Beckenpaar mit Zylinder	PROC108	ldy	L+DY	L	LEITEN · SCHLUSS	einen Posten entlang einer lokalen Route führen
E202	f82r	B2	B2-S012	mittlere rechte unklare Station	PROC116	lchy	L+CH+Y	L	LEITEN · ENTNEHMEN · DIES	einen Posten entlang einer lokalen Route führen
E206	f82r	B2	B2-S012	unteres grünes Mehrfigurenbecken	PROC118	lcheey	L+EE+Y	L	LEITEN · LANG · DIES	einen Posten entlang einer lokalen Route führen
E210	f82r	B2	B2-S013	unteres grünes Mehrfigurenbecken	PROC120	lchedy	L+CHD+DY	L	LEITEN · UMSETZEN · SCHLUSS	einen Posten entlang einer lokalen Route führen
E211	f82r	B2	B2-S014	unteres grünes Mehrfigurenbecken	PROC121	lar	L+AR	L	LEITEN · QUELLE	einen Posten entlang einer lokalen Route führen
E215	f82r	B2	B2-S016	kleine Randstationen des unteren Beckens	PROC123	lchedar	L+CHD+AR	L	LEITEN · UMSETZEN · QUELLE	einen Posten entlang einer lokalen Route führen
E221	f82r	B2	B2-S016	kleine Randstationen des unteren Beckens	PROC125	pchedy	P+CHD+DY	P	FUELLEN · UMSETZEN · SCHLUSS	einen Posten in einen lokalen Empfänger füllen
E222	f82r	B2	B2-S017	kleine Randstationen des unteren Beckens	PROC126	rsheal	R+SH+E+AL	R	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	den Posten abkühlen oder kühl halten
E225	f82r	B2	B2-S019	kleine Randstationen des unteren Beckens	PROC128	rshedy	R+SHED+DY	R	KUEHLEN · ABSETZEN · SCHLUSS	den Posten abkühlen oder kühl halten
E228	f82r	B2	B2-S022	kleine Randstationen des unteren Beckens	PROC130	lochedy	L+O+CHD+DY	L	LEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	einen Posten entlang einer lokalen Route führen
E235	f83r	B3	B3-S003	obere offene Fächerstation am Rand	PROC120	lchedy	L+CHD+DY	L	LEITEN · UMSETZEN · SCHLUSS	einen Posten entlang einer lokalen Route führen
E246	f83r	B3	B3-S008	mittlere Randfigur im runden Gefäß	PROC120	lchedy	L+CHD+DY	L	LEITEN · UMSETZEN · SCHLUSS	einen Posten entlang einer lokalen Route führen
