frame	frame_reading_de	root	root_reading_de	component_recipe	exact_cards	events	event_ids	composed_reading_de
Y	DIES	L	LEITEN	L+Y	1	1	E159	LEITEN · DIES
Y	DIES	P	FUELLEN	P+Y	1	1	E043	FUELLEN · DIES
Y	DIES	T	ANWENDEN	T+Y	1	2	E004,E311	ANWENDEN · DIES
CHD+DY	UMSETZEN·SCHLUSS	L	LEITEN	L+CHD+DY	1	8	E210,E235,E246,E262,E269,E282,E345,E357	LEITEN · UMSETZEN·SCHLUSS
CHD+DY	UMSETZEN·SCHLUSS	P	FUELLEN	P+CHD+DY	1	1	E221	FUELLEN · UMSETZEN·SCHLUSS
CHD+AL	UMSETZEN·ZIELSTELLE	L	LEITEN	L+CHD+AL	1	1	E147	LEITEN · UMSETZEN·ZIELSTELLE
CHD+AL	UMSETZEN·ZIELSTELLE	P	FUELLEN	P+CHD+AL	1	1	E248	FUELLEN · UMSETZEN·ZIELSTELLE
AL+OR	ZIELSTELLE·ANSATZ	L	LEITEN	L+AL+OR	1	1	E381	LEITEN · ZIELSTELLE·ANSATZ
AL+OR	ZIELSTELLE·ANSATZ	R	KUEHLEN	AL+R+OR	1	1	E290	KUEHLEN · ZIELSTELLE·ANSATZ
OL	WEITER	L	LEITEN	L+OL	1	1	E367	LEITEN · WEITER
OL	WEITER	R	KUEHLEN	R+OL	1	1	E111	KUEHLEN · WEITER
