exact_card_id	semantic_family	component_recipe	pass735_reading_de	pass736_reading_de	transfer_roots	registered_surfaces	events	transfer_revision
PROC004	SEM004	T+Y	ANWENDEN · DIES	ANWENDEN · DIES	T	chety|chty	2	NO
PROC007	SEM007	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	T	otytchol	1	NO
PROC010	SEM010	E+T+Y	KURZ · ANWENDEN · DIES	KURZ · ANWENDEN · DIES	T	etyd	1	NO
PROC026	SEM025	T+SH+OL	ANWENDEN · HALTEN · WEITER	ANWENDEN · HALTEN · WEITER	T	tshol	1	NO
PROC030	SEM029	P+Y	EINFUELLEN · DIES	FUELLEN · DIES	P	cphy	1	YES
PROC032	SEM031	T+CH+O+DY	ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	T	tchody	1	NO
PROC033	SEM032	SH+O+Y+T+Y	HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES	HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES	T	shoyty	1	NO
PROC049	SEM048	OL+T+Y	WEITER · ANWENDEN · DIES	WEITER · ANWENDEN · DIES	T	oltchy	1	NO
PROC071	SEM069	R+OL	KUEHLEN · WEITER	KUEHLEN · WEITER	R	rol	1	NO
PROC072	SEM070	L	WEITERLEITEN	LEITEN	L	dl	2	YES
PROC081	SEM079	R+AL	KUEHLEN · ZIELSTELLE	KUEHLEN · ZIELSTELLE	R	ral	1	NO
PROC088	SEM086	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIELSTELLE	LEITEN · UMSETZEN · ZIELSTELLE	L	lchedal	1	YES
PROC090	SEM088	T+E+Y	ANWENDEN · KURZ · DIES	ANWENDEN · KURZ · DIES	T	ytey	1	NO
PROC095	SEM091	L+Y	WEITERLEITEN · DIES	LEITEN · DIES	L	ly	1	YES
PROC101	SEM097	L+CKH+Y	WEITERLEITEN · DURCHLASS · DIES	LEITEN · DURCHLASS · DIES	L	lcheckhy	1	YES
PROC102	SEM098	L+CHD	WEITERLEITEN · UMSETZEN	LEITEN · UMSETZEN	L	lched	1	YES
PROC103	SEM099	L+CKH+E+DY	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	LEITEN · DURCHLASS · KURZ · SCHLUSS	L	lcheckhedy	1	YES
PROC108	SEM103	L+DY	WEITERLEITEN · SCHLUSS	LEITEN · SCHLUSS	L	ldy	2	YES
PROC116	SEM110	L+CH+Y	WEITERLEITEN · ENTNEHMEN · DIES	LEITEN · ENTNEHMEN · DIES	L	lchy	1	YES
PROC118	SEM112	L+EE+Y	WEITERLEITEN · LANG · DIES	LEITEN · LANG · DIES	L	lcheey	1	YES
PROC120	SEM114	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	LEITEN · UMSETZEN · SCHLUSS	L	lchedy	8	YES
PROC121	SEM115	L+AR	WEITERLEITEN · QUELLE	LEITEN · QUELLE	L	lar	1	YES
PROC123	SEM117	L+CHD+AR	WEITERLEITEN · UMSETZEN · QUELLE	LEITEN · UMSETZEN · QUELLE	L	lchedar	1	YES
PROC125	SEM119	P+CHD+DY	EINFUELLEN · UMSETZEN · SCHLUSS	FUELLEN · UMSETZEN · SCHLUSS	P	pchedy	1	YES
PROC126	SEM120	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	R	rsheal	1	NO
PROC128	SEM122	R+SHED+DY	KUEHLEN · ABSETZEN · SCHLUSS	KUEHLEN · ABSETZEN · SCHLUSS	R	rshedy	1	NO
PROC130	SEM124	L+O+CHD+DY	WEITERLEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	LEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	L	lochedy	1	YES
PROC134	SEM127	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIELSTELLE	FUELLEN · UMSETZEN · ZIELSTELLE	P	pchedal	1	YES
PROC140	SEM133	L+O	WEITERLEITEN · ARBEITSGANG	LEITEN · ARBEITSGANG	L	lo	1	YES
PROC147	SEM140	L+AIIN	WEITERLEITEN · SOLLMASS	LEITEN · SOLLMASS	L	chldaiin	1	YES
PROC148	SEM141	AL+R+OR	ZIELSTELLE · KUEHLEN · ANSATZ	ZIELSTELLE · KUEHLEN · ANSATZ	R	chealror	1	NO
PROC149	SEM142	EEE+T+Y	VOLL · ANWENDEN · DIES	VOLL · ANWENDEN · DIES	T	cheeety	1	NO
PROC159	SEM151	L+K+E+DY	WEITERLEITEN · ZUGEBEN · KURZ · SCHLUSS	LEITEN · ZUGEBEN · KURZ · SCHLUSS	L	lkedy	1	YES
PROC167	SEM157	L+OL	WEITERLEITEN · WEITER	LEITEN · WEITER	L	lol	1	YES
PROC172	SEM162	R+AL+Y	KUEHLEN · ZIELSTELLE · DIES	KUEHLEN · ZIELSTELLE · DIES	R	raly	1	NO
PROC173	SEM163	L+AL+OR	WEITERLEITEN · ZIELSTELLE · ANSATZ	LEITEN · ZIELSTELLE · ANSATZ	L	ldalor	1	YES
