replay_id	label_id	surface	content_class	physical_page	source_recipe	source_reading_de	cold_route	cold_recipe	cold_reading_de	cold_known_character_count	surface_character_count	cold_complete_recipe_match	replay_class	exact_label_reading_pass	replay_pass
G472-F01	G466-L005	okolar	STAR_BEARING_RING_POSITION	f71v	OK+OL+AR	SETZEN · FORTSETZEN · AUSGANG	CALIBRATED_FULL_FUNCTION_FORMULA	OK+OL+AR	SETZEN · FORTSETZEN · AUSGANG	6	6	YES	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	YES	YES
G472-F02	G466-L007	alcphy	STAR_BEARING_RING_POSITION	f71v	AL+CH+P+Y	ZIELORT · NEHMEN · EINSETZEN · POSTEN	CALIBRATED_FULL_FUNCTION_FORMULA	AL+CH+P+Y	ZIELORT · NEHMEN · EINSETZEN · POSTEN	6	6	YES	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	YES	YES
G472-F03	G466-L008	okaraiin	STAR_BEARING_RING_POSITION	f71v	OK+AR+AIIN	SETZEN · AUSGANG · WERT	CALIBRATED_FULL_FUNCTION_FORMULA	OK+AR+AIIN	SETZEN · AUSGANG · WERT	8	8	YES	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	YES	YES
G472-F04	G466-L013	otalaiin	STAR_BEARING_RING_POSITION	f71v	OT+AL+AIIN	DANACH · ZIELORT · WERT	CALIBRATED_FULL_FUNCTION_FORMULA	OT+AL+AIIN	DANACH · ZIELORT · WERT	8	8	YES	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	YES	YES
G472-F05	G466-L017	okalam	STAR_BEARING_RING_POSITION	f72r	OK+AL+AM_ADDR	SETZEN · ZIELORT · HIER	CALIBRATED_FULL_FUNCTION_FORMULA	OK+AL+AM_ADDR	SETZEN · ZIELORT · HIER	6	6	YES	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	YES	YES
G472-F06	G466-L021	sharam	STAR_BEARING_RING_POSITION	f72r	SH+AR+AM_ADDR	HALTEN · AUSGANG · HIER	CALIBRATED_FULL_FUNCTION_FORMULA	SH+AR+AM_ADDR	HALTEN · AUSGANG · HIER	6	6	YES	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	YES	YES
G472-F07	G466-L022	ofaralar	STAR_BEARING_RING_POSITION	f72r	O+LOCAL_CHAR_F+AR+AL+AR	AUSFÜHRUNG · HIER · AUSGANG · ZIELORT · AUSGANG	CALIBRATED_FULL_FUNCTION_FORMULA	O+LOCAL_CHAR_F+AR+AL+AR	AUSFÜHRUNG · HIER · AUSGANG · ZIELORT · AUSGANG	8	8	YES	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	YES	YES
G472-F08	G466-L025	otainy	STAR_BEARING_RING_POSITION	f72r	OT+AIN+Y	DANACH · ANTEIL · POSTEN	CALIBRATED_FULL_FUNCTION_FORMULA	OT+AIN+Y	DANACH · ANTEIL · POSTEN	6	6	YES	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	YES	YES
G472-F09	G466-L028	okaram	STAR_BEARING_RING_POSITION	f72r	OK+AR+AM_ADDR	SETZEN · AUSGANG · HIER	CALIBRATED_FULL_FUNCTION_FORMULA	OK+AR+AM_ADDR	SETZEN · AUSGANG · HIER	6	6	YES	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	YES	YES
G472-F10	G466-L036	otolam	STAR_BEARING_RING_POSITION	f72r	OT+OL+AM_ADDR	DANACH · FORTSETZEN · HIER	CALIBRATED_FULL_FUNCTION_FORMULA	OT+OL+AM_ADDR	DANACH · FORTSETZEN · HIER	6	6	YES	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	YES	YES
G472-F11	G466-L046	alaly	STAR_BEARING_RING_POSITION	f72r	AL+AL+Y	ZIELORT · ZIELORT · POSTEN	CALIBRATED_FULL_FUNCTION_FORMULA	AL+AL+Y	ZIELORT · ZIELORT · POSTEN	5	5	YES	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	YES	YES
G472-F12	G466-L055	of	STAR_BEARING_RING_POSITION	f72r	O+LOCAL_CHAR_F	AUSFÜHRUNG · HIER	CALIBRATED_FULL_FUNCTION_FORMULA	O+LOCAL_CHAR_F	AUSFÜHRUNG · HIER	2	2	YES	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	YES	YES
G472-F13	G466-L072	otolaiin	BATH_OR_OUTLET_STATION	f77r	OT+OL+AIIN	DANACH · FORTSETZEN · WERT	CALIBRATED_FULL_FUNCTION_FORMULA	OT+OL+AIIN	DANACH · FORTSETZEN · WERT	8	8	YES	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	YES	YES
