complete_assignment_id	label_id	source_event_id	physical_page	locus	surface	content_class	gdt466_hybrid_status	assignment_mode	transferable	complete_template_id	surface_template_id	component_template_id	topology_id	surface_template	component_template	meaning_template_de	slot_topology	source_recipe	source_reading_de	cold_route	cold_recipe	template_familiarity_state	template_familiarity_rank	runtime_exact_label_rank	exact_package_dependency
G472-A001	G466-L001	P1003-E0079	f17r	f17r.13	oteeeon	PICTURED_PLANT	FUNCTION_SHELL_PLUS_LEARNED_CORE	LEARNED_SLOT_TEMPLATE	YES	G472-T042	G472-T042	G472-C036	G472-P08	ot{NAME_1}	OT · {NAME_1}	DANACH · {NAME_1}	PREFIX · {NAME_1}	OT	DANACH · [PFLANZENNAME:eeeon]	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	OT	CROSS_OWNER_RECURRENT_EXACT_FUNCTION_TEMPLATE	1	0	NONE
G472-A002	G466-L002	P1003-E0080	f17r	f17r.13	oiil	PICTURED_PLANT	WHOLE_LEARNED_LABEL	LEARNED_SLOT_TEMPLATE	YES	G472-T051	G472-T051	G472-C051	G472-P13	{NAME_1}	{NAME_1}	{NAME_1}	{NAME_1}	NONE	[PFLANZENNAME:oiil]	WHOLE_LEARNED_OWNER_NAME	NONE	WHOLE_NAME_DEFAULT	7	0	NONE
G472-A003	G466-L003	P1003-E0596	f71v	f71v.2	arom	STAR_BEARING_RING_POSITION	FUNCTION_SHELL_PLUS_LEARNED_CORE	LEARNED_SLOT_TEMPLATE	YES	G472-T005	G472-T005	G472-C005	G472-P08	ar{NAME_1}	AR · {NAME_1}	AUSGANG · {NAME_1}	PREFIX · {NAME_1}	AR	AUSGANG · [STERNSTELLENNAME:om]	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	AR	CROSS_OWNER_RECURRENT_EXACT_FUNCTION_TEMPLATE	1	0	NONE
G472-A004	G466-L004	P1003-E0597	f71v	f71v.3	chfaly	STAR_BEARING_RING_POSITION	FUNCTION_SHELL_PLUS_LEARNED_CORE	LEARNED_SLOT_TEMPLATE	YES	G472-T061	G472-T061	G472-C063	G472-P20	{NAME_1}aly	{NAME_1} · AL+Y	{NAME_1} · ZIELORT · POSTEN	{NAME_1} · SUFFIX	AL+Y	[STERNSTELLENNAME:chf] · ZIELORT · POSTEN	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	AL+Y	MULTI_PAGE_RECURRENT_EXACT_FUNCTION_TEMPLATE	2	0	NONE
G472-A005	G466-L005	P1003-E0598	f71v	f71v.4	okolar	STAR_BEARING_RING_POSITION	FULL_FUNCTION_FORMULA	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	YES	G472-T019	G472-T019	G472-C019	G472-P04	okolar	OK · OL · AR	SETZEN · FORTSETZEN · AUSGANG	PREFIX · INTERNAL · SUFFIX	OK+OL+AR	SETZEN · FORTSETZEN · AUSGANG	CALIBRATED_FULL_FUNCTION_FORMULA	OK+OL+AR	SINGLETON_EXACT_FUNCTION_TEMPLATE	4	0	NONE
G472-A006	G466-L006	P1003-E0599	f71v	f71v.5	otchody	STAR_BEARING_RING_POSITION	FUNCTION_SHELL_PLUS_LEARNED_CORE	LEARNED_SLOT_TEMPLATE	YES	G472-T042	G472-T042	G472-C036	G472-P08	ot{NAME_1}	OT · {NAME_1}	DANACH · {NAME_1}	PREFIX · {NAME_1}	OT	DANACH · [STERNSTELLENNAME:chody]	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	OT	CROSS_OWNER_RECURRENT_EXACT_FUNCTION_TEMPLATE	1	0	NONE
G472-A007	G466-L007	P1003-E0600	f71v	f71v.6	alcphy	STAR_BEARING_RING_POSITION	FULL_FUNCTION_FORMULA	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	YES	G472-T002	G472-T002	G472-C002	G472-P07	alcphy	AL · CH+P+Y	ZIELORT · NEHMEN · EINSETZEN · POSTEN	PREFIX · SUFFIX	AL+CH+P+Y	ZIELORT · NEHMEN · EINSETZEN · POSTEN	CALIBRATED_FULL_FUNCTION_FORMULA	AL+CH+P+Y	SINGLETON_EXACT_FUNCTION_TEMPLATE	4	0	NONE
G472-A008	G466-L008	P1003-E0602	f71v	f71v.8	okaraiin	STAR_BEARING_RING_POSITION	FULL_FUNCTION_FORMULA	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	YES	G472-T016	G472-T016	G472-C016	G472-P04	okaraiin	OK · AR · AIIN	SETZEN · AUSGANG · WERT	PREFIX · INTERNAL · SUFFIX	OK+AR+AIIN	SETZEN · AUSGANG · WERT	CALIBRATED_FULL_FUNCTION_FORMULA	OK+AR+AIIN	SINGLETON_EXACT_FUNCTION_TEMPLATE	4	0	NONE
G472-A009	G466-L009	P1003-E0606	f71v	f71v.10	opalar	STAR_BEARING_RING_POSITION	FUNCTION_SHELL_PLUS_LEARNED_CORE	LEARNED_SLOT_TEMPLATE	YES	G472-T058	G472-T058	G472-C058	G472-P16	{NAME_1}alar	{NAME_1} · AL · AR	{NAME_1} · ZIELORT · AUSGANG	{NAME_1} · INTERNAL · SUFFIX	AL+AR	[STERNSTELLENNAME:op] · ZIELORT · AUSGANG	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	AL+AR	SINGLETON_EXACT_FUNCTION_TEMPLATE	4	0	NONE
G472-A010	G466-L010	P1003-E0609	f71v	f71v.11	opalor	STAR_BEARING_RING_POSITION	FUNCTION_SHELL_PLUS_LEARNED_CORE	LEARNED_SLOT_TEMPLATE	YES	G472-T059	G472-T059	G472-C062	G472-P20	{NAME_1}alor	{NAME_1} · AL+OR	{NAME_1} · ZIELORT · EINHEIT	{NAME_1} · SUFFIX	AL+OR	[STERNSTELLENNAME:op] · ZIELORT · EINHEIT	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	AL+OR	SINGLETON_EXACT_FUNCTION_TEMPLATE	4	0	NONE
