surface_template_id	surface_template	template_modes	component_template_ids	topology_ids	exact_channel_signatures	channel_shapes	function_channel_count	learned_slot_counts	source_count	content_class_count	content_classes	page_count	physical_pages	source_surfaces	recipe_support_tiers	old_carrier_source_count	familiarity_state	familiarity_rank
G472-T001	alaly	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	G472-C001	G472-P07	G466-C05+G466-C23	PREFIX+SUFFIX	2	0	1	1	STAR_BEARING_RING_POSITION	1	f72r	alaly	ADDRESS_FULL_FORMULA_ONLY	1	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G472-T002	alcphy	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	G472-C002	G472-P07	G466-C05+G466-C19	PREFIX+SUFFIX	2	0	1	1	STAR_BEARING_RING_POSITION	1	f71v	alcphy	ADDRESS_FULL_FORMULA_ONLY	1	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G472-T003	al{NAME_1}	LEARNED_SLOT_TEMPLATE	G472-C003	G472-P08	G466-C05	PREFIX	1	1	1	1	STAR_BEARING_RING_POSITION	1	f72r	alif	OUTSIDE_BOUNDED_SHELL_ATLAS	0	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G472-T004	arar{NAME_1}daiin	LEARNED_SLOT_TEMPLATE	G472-C004	G472-P06	G466-C06+G466-C40+G466-C14	PREFIX+INTERNAL+SUFFIX	3	1	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	ararchodaiin	ADDRESS_HYBRID_SHELL_ONLY	1	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G472-T005	ar{NAME_1}	LEARNED_SLOT_TEMPLATE	G472-C005	G472-P08	G466-C06	PREFIX	1	1	2	2	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	2	f71v|f88v	arody|arom	OUTSIDE_BOUNDED_SHELL_ATLAS	0	CROSS_OWNER_RECURRENT_EXACT_FUNCTION_TEMPLATE	1
G472-T006	korainy	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	G472-C006	G472-P07	G466-C03+G466-C16	PREFIX+SUFFIX	2	0	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	korainy	ADDRESS_FULL_FORMULA_ONLY	1	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G472-T007	of	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	G472-C007	G472-P01	G466-C07	PREFIX	1	0	1	1	STAR_BEARING_RING_POSITION	1	f72r	of	OUTSIDE_BOUNDED_SHELL_ATLAS	0	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G472-T008	ofaralar	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	G472-C008	G472-P02	G466-C07+G466-C40+G466-C39+G466-C33	PREFIX+INTERNAL+INTERNAL+SUFFIX	4	0	1	1	STAR_BEARING_RING_POSITION	1	f72r	ofaralar	OUTSIDE_BOUNDED_SHELL_ATLAS	0	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G472-T009	ofshol{NAME_1}	LEARNED_SLOT_TEMPLATE	G472-C009	G472-P03	G466-C07+G466-C44+G466-C42	PREFIX+INTERNAL+INTERNAL	3	1	1	1	STAR_BEARING_RING_POSITION	1	f72r	ofsholdy	ADDRESS_HYBRID_SHELL_ONLY	1	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G472-T010	of{NAME_1}	LEARNED_SLOT_TEMPLATE	G472-C010	G472-P08	G466-C07	PREFIX	1	1	2	1	STAR_BEARING_RING_POSITION	2	f71v|f72r	ofaom|ofchdamy	OUTSIDE_BOUNDED_SHELL_ATLAS	0	MULTI_PAGE_RECURRENT_EXACT_FUNCTION_TEMPLATE	2
G472-T011	of{NAME_1}al	LEARNED_SLOT_TEMPLATE	G472-C011	G472-P12	G466-C07+G466-C31	PREFIX+SUFFIX	2	1	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	ofakal	RUNNING_EXACT_RECIPE	1	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G472-T012	okair{NAME_1}	LEARNED_SLOT_TEMPLATE	G472-C012	G472-P05	G466-C08+G466-C36	PREFIX+INTERNAL	2	1	1	1	STAR_BEARING_RING_POSITION	1	f72r	okairy	OUTSIDE_BOUNDED_SHELL_ATLAS	0	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G472-T013	okair{NAME_1}am	LEARNED_SLOT_TEMPLATE	G472-C013	G472-P06	G466-C08+G466-C36+G466-C32	PREFIX+INTERNAL+SUFFIX	3	1	1	1	STAR_BEARING_RING_POSITION	1	f72r	okaircham	ADDRESS_HYBRID_SHELL_ONLY	1	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G472-T014	okalam	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	G472-C014	G472-P04	G466-C08+G466-C39+G466-C32	PREFIX+INTERNAL+SUFFIX	3	0	1	1	STAR_BEARING_RING_POSITION	1	f72r	okalam	ADDRESS_FULL_FORMULA_ONLY	1	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G472-T015	okal{NAME_1}	LEARNED_SLOT_TEMPLATE	G472-C015	G472-P05	G466-C08+G466-C39	PREFIX+INTERNAL	2	1	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f88v	okalyd	RUNNING_EXACT_RECIPE	1	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G472-T016	okaraiin	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	G472-C016	G472-P04	G466-C08+G466-C40+G466-C15	PREFIX+INTERNAL+SUFFIX	3	0	1	1	STAR_BEARING_RING_POSITION	1	f71v	okaraiin	ADDRESS_FULL_FORMULA_ONLY	1	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G472-T017	okaram	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	G472-C017	G472-P04	G466-C08+G466-C40+G466-C32	PREFIX+INTERNAL+SUFFIX	3	0	1	1	STAR_BEARING_RING_POSITION	1	f72r	okaram	ADDRESS_FULL_FORMULA_ONLY	1	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G472-T018	okar{NAME_1}am	LEARNED_SLOT_TEMPLATE	G472-C018	G472-P06	G466-C08+G466-C40+G466-C32	PREFIX+INTERNAL+SUFFIX	3	1	1	1	STAR_BEARING_RING_POSITION	1	f72r	okarcham	ADDRESS_FULL_FORMULA_ONLY	1	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
