component_template_id	component_template	template_modes	meaning_template_de	surface_template_count	surface_template_ids	surface_templates	alternate_surface_rendering	topology_ids	source_count	content_class_count	content_classes	page_count	physical_pages	source_surfaces	recipe_support_tiers
G472-C001	AL · AL+Y	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	ZIELORT · ZIELORT · POSTEN	1	G472-T001	alaly	NO	G472-P07	1	1	STAR_BEARING_RING_POSITION	1	f72r	alaly	ADDRESS_FULL_FORMULA_ONLY
G472-C002	AL · CH+P+Y	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	ZIELORT · NEHMEN · EINSETZEN · POSTEN	1	G472-T002	alcphy	NO	G472-P07	1	1	STAR_BEARING_RING_POSITION	1	f71v	alcphy	ADDRESS_FULL_FORMULA_ONLY
G472-C003	AL · {NAME_1}	LEARNED_SLOT_TEMPLATE	ZIELORT · {NAME_1}	1	G472-T003	al{NAME_1}	NO	G472-P08	1	1	STAR_BEARING_RING_POSITION	1	f72r	alif	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C004	AR · AR · {NAME_1} · AIIN	LEARNED_SLOT_TEMPLATE	AUSGANG · AUSGANG · {NAME_1} · WERT	1	G472-T004	arar{NAME_1}daiin	NO	G472-P06	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	ararchodaiin	ADDRESS_HYBRID_SHELL_ONLY
G472-C005	AR · {NAME_1}	LEARNED_SLOT_TEMPLATE	AUSGANG · {NAME_1}	1	G472-T005	ar{NAME_1}	NO	G472-P08	2	2	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	2	f71v|f88v	arody|arom	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C006	K+OR · AIN+Y	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	GEBEN · EINHEIT · ANTEIL · POSTEN	1	G472-T006	korainy	NO	G472-P07	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	korainy	ADDRESS_FULL_FORMULA_ONLY
G472-C007	O+LOCAL_CHAR_F	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	AUSFÜHRUNG · HIER	1	G472-T007	of	NO	G472-P01	1	1	STAR_BEARING_RING_POSITION	1	f72r	of	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C008	O+LOCAL_CHAR_F · AR · AL · AR	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	AUSFÜHRUNG · HIER · AUSGANG · ZIELORT · AUSGANG	1	G472-T008	ofaralar	NO	G472-P02	1	1	STAR_BEARING_RING_POSITION	1	f72r	ofaralar	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C009	O+LOCAL_CHAR_F · SH · OL · {NAME_1}	LEARNED_SLOT_TEMPLATE	AUSFÜHRUNG · HIER · HALTEN · FORTSETZEN · {NAME_1}	1	G472-T009	ofshol{NAME_1}	NO	G472-P03	1	1	STAR_BEARING_RING_POSITION	1	f72r	ofsholdy	ADDRESS_HYBRID_SHELL_ONLY
G472-C010	O+LOCAL_CHAR_F · {NAME_1}	LEARNED_SLOT_TEMPLATE	AUSFÜHRUNG · HIER · {NAME_1}	1	G472-T010	of{NAME_1}	NO	G472-P08	2	1	STAR_BEARING_RING_POSITION	2	f71v|f72r	ofaom|ofchdamy	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C011	O+LOCAL_CHAR_F · {NAME_1} · AL	LEARNED_SLOT_TEMPLATE	AUSFÜHRUNG · HIER · {NAME_1} · ZIELORT	1	G472-T011	of{NAME_1}al	NO	G472-P12	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	ofakal	RUNNING_EXACT_RECIPE
G472-C012	OK · AIR · {NAME_1}	LEARNED_SLOT_TEMPLATE	SETZEN · BAHN · {NAME_1}	1	G472-T012	okair{NAME_1}	NO	G472-P05	1	1	STAR_BEARING_RING_POSITION	1	f72r	okairy	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C013	OK · AIR · {NAME_1} · AM_ADDR	LEARNED_SLOT_TEMPLATE	SETZEN · BAHN · {NAME_1} · HIER	1	G472-T013	okair{NAME_1}am	NO	G472-P06	1	1	STAR_BEARING_RING_POSITION	1	f72r	okaircham	ADDRESS_HYBRID_SHELL_ONLY
G472-C014	OK · AL · AM_ADDR	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	SETZEN · ZIELORT · HIER	1	G472-T014	okalam	NO	G472-P04	1	1	STAR_BEARING_RING_POSITION	1	f72r	okalam	ADDRESS_FULL_FORMULA_ONLY
G472-C015	OK · AL · {NAME_1}	LEARNED_SLOT_TEMPLATE	SETZEN · ZIELORT · {NAME_1}	1	G472-T015	okal{NAME_1}	NO	G472-P05	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f88v	okalyd	RUNNING_EXACT_RECIPE
G472-C016	OK · AR · AIIN	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	SETZEN · AUSGANG · WERT	1	G472-T016	okaraiin	NO	G472-P04	1	1	STAR_BEARING_RING_POSITION	1	f71v	okaraiin	ADDRESS_FULL_FORMULA_ONLY
G472-C017	OK · AR · AM_ADDR	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	SETZEN · AUSGANG · HIER	1	G472-T017	okaram	NO	G472-P04	1	1	STAR_BEARING_RING_POSITION	1	f72r	okaram	ADDRESS_FULL_FORMULA_ONLY
G472-C018	OK · AR · {NAME_1} · AM_ADDR	LEARNED_SLOT_TEMPLATE	SETZEN · AUSGANG · {NAME_1} · HIER	1	G472-T018	okar{NAME_1}am	NO	G472-P06	1	1	STAR_BEARING_RING_POSITION	1	f72r	okarcham	ADDRESS_FULL_FORMULA_ONLY
G472-C019	OK · OL · AR	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	SETZEN · FORTSETZEN · AUSGANG	1	G472-T019	okolar	NO	G472-P04	1	1	STAR_BEARING_RING_POSITION	1	f71v	okolar	ADDRESS_FULL_FORMULA_ONLY
G472-C020	OK · SH · {NAME_1}	LEARNED_SLOT_TEMPLATE	SETZEN · HALTEN · {NAME_1}	1	G472-T020	oksh{NAME_1}	NO	G472-P05	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	okshdchos	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C021	OK · {NAME_1}	LEARNED_SLOT_TEMPLATE	SETZEN · {NAME_1}	1	G472-T021	ok{NAME_1}	NO	G472-P08	1	1	STAR_BEARING_RING_POSITION	1	f72r	okyd	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C022	OK · {NAME_1} · AIR · {NAME_2}	LEARNED_SLOT_TEMPLATE	SETZEN · {NAME_1} · BAHN · {NAME_2}	1	G472-T022	ok{NAME_1}air{NAME_2}	NO	G472-P10	1	1	STAR_BEARING_RING_POSITION	1	f72r	oklairdy	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C023	OK · {NAME_1} · AL	LEARNED_SLOT_TEMPLATE	SETZEN · {NAME_1} · ZIELORT	1	G472-T023	ok{NAME_1}al	NO	G472-P12	1	1	STAR_BEARING_RING_POSITION	1	f72r	okeal	RUNNING_EXACT_RECIPE
G472-C024	OK · {NAME_1} · AL · AR	LEARNED_SLOT_TEMPLATE	SETZEN · {NAME_1} · ZIELORT · AUSGANG	1	G472-T024	ok{NAME_1}alar	NO	G472-P09	1	1	STAR_BEARING_RING_POSITION	1	f72r	okealar	RUNNING_EXACT_RECIPE
G472-C025	OL · {NAME_1}	LEARNED_SLOT_TEMPLATE	FORTSETZEN · {NAME_1}	1	G472-T025	ol{NAME_1}	NO	G472-P08	2	2	BATH_OR_OUTLET_STATION|STAR_BEARING_RING_POSITION	2	f72r|f77r	olay|olkchs	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C026	OL · {NAME_1} · AL	LEARNED_SLOT_TEMPLATE	FORTSETZEN · {NAME_1} · ZIELORT	1	G472-T026	ol{NAME_1}al	NO	G472-P12	1	1	STAR_BEARING_RING_POSITION	1	f72r	oletal	RUNNING_EXACT_RECIPE
G472-C027	OL · {NAME_1} · AL · AIIN	LEARNED_SLOT_TEMPLATE	FORTSETZEN · {NAME_1} · ZIELORT · WERT	1	G472-T027	ol{NAME_1}alaiin	NO	G472-P09	1	1	STAR_BEARING_RING_POSITION	1	f72r	olkalaiin	ADDRESS_HYBRID_SHELL_ONLY
G472-C028	OL · {NAME_1} · AM_ADDR	LEARNED_SLOT_TEMPLATE	FORTSETZEN · {NAME_1} · HIER	1	G472-T028	ol{NAME_1}am	NO	G472-P12	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	oldam	RUNNING_EXACT_RECIPE
G472-C029	OL · {NAME_1} · SH · {NAME_2} · AL	LEARNED_SLOT_TEMPLATE	FORTSETZEN · {NAME_1} · HALTEN · {NAME_2} · ZIELORT	1	G472-T029	ol{NAME_1}sh{NAME_2}al	NO	G472-P11	1	1	STAR_BEARING_RING_POSITION	1	f72r	olfsheoral	ADDRESS_HYBRID_SHELL_ONLY
G472-C030	OR · AL · {NAME_1} · AM_ADDR	LEARNED_SLOT_TEMPLATE	EINHEIT · ZIELORT · {NAME_1} · HIER	1	G472-T030	oral{NAME_1}am	NO	G472-P06	1	1	STAR_BEARING_RING_POSITION	1	f72r	oralkam	ADDRESS_HYBRID_SHELL_ONLY
