statement_order	statement_id	record_unit_id	page	event_count	equal_distance_resolutions	resolved_attachment_trace	card_near_workshop_reading_de	concrete_source_expansion_de
1	H1-S001	H1	f10r	10	1	dchey[Wurzel+Posten→E002] | cthoor[bereit+Ansatz→E002] | char[Quelle→E002] | chty[teilen+Teil→E004] | os[Gefäß→E004] | chair[Lauf→E007] | otytchol[danach+Teil+weiter→E007] | oky[ansetzen+Posten→E008] | daiin[Sollmaß→E008] | etyd[kurz+Teil→E008]	Nimm die Wurzel, bereite den Ansatz, trenne daraus einen Teil ab, gib ihn in das Gefäß, gib den Wasserzulauf zu, führe den nächsten Teilposten weiter, setze ihn nach Sollmaß an und behalte einen kleinen Restteil.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
2	H1-S002	H1	f10r	4	0	qokchy[ansetzen+Posten→E011] | qotchol[danach+weiter→E012] | chol[weiter→E013] | cthy[bereit+Posten→E014]	Setze den Posten an, führe ihn danach weiter und halte ihn bereit.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.
3	H2-S001	H2	f10r	9	1	ycheor[Posten+Auszug+Ansatz→E016] | cthy[bereit+Posten→E016] | chor[Ansatz→E018] | cthaiin[bereit+Sollmaß→E018] | qoctholy[bereit+weiter+Posten→E019] | dy[Posten→E019] | chy[Posten→E019] | taiin[Sollmaß→E019] | shy[Posten→E019]	Nimm den bereiten Auszugsansatz, bringe den Ansatz auf Fertigmaß, führe den bereiten Posten weiter und stelle sein Sollmaß ein.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
4	H2-S002	H2	f10r	8	0	qotchor[danach+Ansatz→E026] | chor[Ansatz→E026] | otol[danach+weiter→E026] | chol[weiter→E027] | cholor[weiter+Ansatz→E028] | chol[weiter→E029] | daiin[Sollmaß→E029] | dar[Quelle→E029]	Führe den bemessenen Pflanzenansatz als Folgeansatz samt seinem Fortsetzungsposten weiter und nimm daraus das Sollmaß	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
5	H2-S003	H2	f10r	7	0	oykchor[Posten+bearbeiten+Ansatz→E032] | shor[Ansatz→E032] | chor[Ansatz→E032] | chy[Posten→E032] | kaiiin[Stufe→E032] | dy[Posten→E032] | chodaiin[Zutat+Sollmaß→E032]	Gib den weitergeführten Folgeansatz in das Gefäß, bearbeite diesen Posten bis zur Weichstufe und stelle das Zutatenmaß ein.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
6	H3-S001	H3	f11r	7	1	tshol[Zutat+abführen→E039] | schoal[Zutat+Ziel→E041] | cfhy[auswringen+Posten→E041] | shfydaiin[halten+Sollmaß→E042] | cphy[nachseihen+Posten→E043] | shey[Ergebnis→E043] | tchody[Zutat+Schluss→E043]	Entnimm eine Zutat, gib sie dorthin, wringe aus, lass bis zum Standmaß stehen, seih nach, nimm den Klarlauf und stelle ihn kalt.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
7	H3-S002	H3	f11r	1	0	shoyty[Zutat+Posten+Teil→E046]	Lege einen Zutatenteil zurück.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.
8	H3-S003	H3	f11r	5	0	dchol[vorher→E049] | chy[Posten→E049] | kchy[bearbeiten+Posten→E049] | dy[Posten→E049] | daiin[Sollmaß→E049]	Nimm den Vorposten, bearbeite diesen Posten und stelle sein Sollmaß ein.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
9	H3-S004	H3	f11r	4	0	qotchy[danach+Posten→E053] | okchol[ansetzen+weiter→E053] | cthy[bereit+Posten→E054] | dy[Posten→E054]	Nimm die restliche Blütenreserve als Folgeposten, setze die Fortsetzung an und halte sie bereit	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.
10	H4-S001	H4	f55v	5	1	qokaiin[ansetzen+Sollmaß→E056] | chaiin[Sollmaß→E056] | ykain[Posten+Anteil→E056] | ykan[Posten+Anteil→E060] | ody[kühlen→E060]	Stelle das Sollmaß ein, nimm eine Postenportion und kühle diesen Anteil ab	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.
11	H4-S002	H4	f55v	3	0	daiin[Sollmaß→E062] | chedy[umsetzen+Posten→E062] | talam[Ziel+verwahren→E063]	Setze den Posten nach Sollmaß um und verwahre ihn am Ziel.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.
12	H4-S003	H4	f55v	4	0	ykaiin[Posten+Sollmaß→E066] | cheoar[Auszug+Quelle→E066] | cheeky[wärmen+länger+Posten→E066] | oldy[weiter+Schluss→E067]	Nimm den Auszug aus dem verwahrten Ansatz nach Postenmaß, wärme ihn länger und schließe die Fortsetzung	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.
13	H4-S004	H4	f55v	6	0	aiin[Sollmaß→E069] | okal[ansetzen+Ziel→E069] | oltchy[weiter+bereit+Posten→E070] | or[Ansatz→E070] | y[Posten→E070] | orain[Ansatz+Anteil→E070]	Stelle das Sollmaß ein, setze dort an, führe den bereiten Ansatz weiter und nimm davon eine Portion.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.
14	H5-S001	H5	f56r	9	0	chochor[Zutat+Ansatz→E079] | cho[Zutat→E079] | chodaly[Zutat+Ziel+Posten→E079] | daiin[Sollmaß→E079] | sho[Zutat→E079] | kchol[bearbeiten+weiter→E079] | otchor[danach+Ansatz→E081] | choky[ansetzen+Posten→E081] | dal[Ziel→E081]	Bereite einen Zutatenansatz, gib die Zutat dorthin nach Sollmaß, bearbeite die nächste Zutat weiter, beginne den Folgeansatz und setze den Posten dort an.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
15	H5-S002	H5	f56r	4	0	schol[vorher→E085] | choy[Zutat+Posten→E085] | choky[ansetzen+Posten→E085] | cheeckhody[länger+Durchlass+Zutat+Schluss→E086]	Nimm vom Vorposten diese Zutat, setze sie an und trage sie auf.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.
16	H5-S003	H5	f56r	4	1	sh[halten→E087] | cho[Zutat→E089] | kchey[bearbeiten+kurz+Posten→E089] | qokokchy[ansetzen+ansetzen+Posten→E090]	Nimm den Stängel als Zutat, bearbeite diesen Posten kurz und setze ihn erneut an.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.
