event_serial	event_id	statement_id	record_unit_id	page	surface	master_card_id	semantic_atoms	atomic_default_de	syntactic_role	selected_host_event	selected_direction	selection_rule	was_equal_distance
1	E001	H1-S001	H1	f10r	dchey	MC071	DCHE+Y	Wurzel+Posten	CONTENT_OR_STATE	E002	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
2	E002	H1-S001	H1	f10r	cthoor	MC158	CTH+OR	bereit+Ansatz	ACTION_HEAD	E002	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
3	E003	H1-S001	H1	f10r	char	MC055	AR	Quelle	ARGUMENT_OR_MODIFIER	E002	BACKWARD	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION	YES
4	E004	H1-S001	H1	f10r	chty	MC086	PARTITION+TY	teilen+Teil	ACTION_HEAD	E004	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
5	E005	H1-S001	H1	f10r	os	MC159	OS	Gefäß	CONTENT_OR_STATE	E004	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
6	E006	H1-S001	H1	f10r	chair	MC014	AIR	Lauf	ARGUMENT_OR_MODIFIER	E007	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
7	E007	H1-S001	H1	f10r	otytchol	MC069	OT+TY+OL	danach+Teil+weiter	ACTION_HEAD	E007	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
8	E008	H1-S001	H1	f10r	oky	MC026	OK+Y	ansetzen+Posten	ACTION_HEAD	E008	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
9	E009	H1-S001	H1	f10r	daiin	MC039	AIIN	Sollmaß	ARGUMENT_OR_MODIFIER	E008	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
10	E010	H1-S001	H1	f10r	etyd	MC108	E+TY	kurz+Teil	ARGUMENT_OR_MODIFIER	E008	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
11	E011	H1-S002	H1	f10r	qokchy	MC103	OK+Y	ansetzen+Posten	ACTION_HEAD	E011	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
12	E012	H1-S002	H1	f10r	qotchol	MC163	OT+OL	danach+weiter	ACTION_HEAD	E012	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
13	E013	H1-S002	H1	f10r	chol	MC153	OL	weiter	ACTION_HEAD	E013	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
14	E014	H1-S002	H1	f10r	cthy	MC161	CTH+Y	bereit+Posten	ACTION_HEAD	E014	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
15	E015	H2-S001	H2	f10r	ycheor	MC075	Y+CHEO+OR	Posten+Auszug+Ansatz	CONTENT_OR_STATE	E016	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
16	E016	H2-S001	H2	f10r	cthy	MC161	CTH+Y	bereit+Posten	ACTION_HEAD	E016	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
17	E017	H2-S001	H2	f10r	chor	MC080	OR	Ansatz	CONTENT_OR_STATE	E018	FORWARD	MATERIAL_OR_STATE_BETWEEN_ACTIONS_FEEDS_NEXT_ACTION	YES
18	E018	H2-S001	H2	f10r	cthaiin	MC169	CTH+AIIN	bereit+Sollmaß	ACTION_HEAD	E018	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
19	E019	H2-S001	H2	f10r	qoctholy	MC115	CTH+OL+Y	bereit+weiter+Posten	ACTION_HEAD	E019	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
20	E020	H2-S001	H2	f10r	dy	MC123	Y	Posten	ARGUMENT_OR_MODIFIER	E019	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
21	E021	H2-S001	H2	f10r	chy	MC123	Y	Posten	ARGUMENT_OR_MODIFIER	E019	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
22	E022	H2-S001	H2	f10r	taiin	MC039	AIIN	Sollmaß	ARGUMENT_OR_MODIFIER	E019	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
23	E023	H2-S001	H2	f10r	shy	MC123	Y	Posten	ARGUMENT_OR_MODIFIER	E019	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
24	E024	H2-S002	H2	f10r	qotchor	MC013	OT+OR	danach+Ansatz	ORDER_MARKER	E026	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
25	E025	H2-S002	H2	f10r	chor	MC080	OR	Ansatz	CONTENT_OR_STATE	E026	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
