event_id	event_serial	statement_id	page	surface	semantic_atoms	atomic_default_de	previous_action_event	previous_action_head	next_action_event	next_action_head	selected_host_event	selected_direction	discarded_alternative_host	selection_rule
E003	3	H1-S001	f10r	char	AR	Quelle	E002	CTH	E004	PARTITION	E002	BACKWARD	E004	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION
E017	17	H2-S001	f10r	chor	OR	Ansatz	E016	CTH	E018	CTH	E018	FORWARD	E016	MATERIAL_OR_STATE_BETWEEN_ACTIONS_FEEDS_NEXT_ACTION
E040	40	H3-S001	f11r	schoal	HO+AL	Zutat+Ziel	E039	L	E041	CFH	E041	FORWARD	E039	MATERIAL_OR_STATE_BETWEEN_ACTIONS_FEEDS_NEXT_ACTION
E058	58	H4-S001	f55v	ykain	Y+AIN	Posten+Anteil	E056	OK	E060	ODY	E056	BACKWARD	E060	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION
E088	88	H5-S003	f56r	cho	HO	Zutat	E087	SH	E089	KCH	E089	FORWARD	E087	MATERIAL_OR_STATE_BETWEEN_ACTIONS_FEEDS_NEXT_ACTION
E096	96	H5-S005	f56r	kchoar	CHEO+AR	Auszug+Quelle	E095	OK	E097	DAN	E097	FORWARD	E095	MATERIAL_OR_STATE_BETWEEN_ACTIONS_FEEDS_NEXT_ACTION
E103	103	B1-S002	f81v	kair	AIR	Lauf	E102	OK	E104	OK	E102	BACKWARD	E104	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION
E105	105	B1-S002	f81v	sar	AR	Quelle	E104	OK	E106	OL	E104	BACKWARD	E106	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION
E107	107	B1-S002	f81v	kain	AIN	Anteil	E106	OL	E108	OL	E106	BACKWARD	E108	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION
E109	109	B1-S002	f81v	al	AL	Ziel	E108	OL	E110	OL	E108	BACKWARD	E110	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION
E112	112	B1-S002	f81v	dl	LOCAL_WHOLE	Zusatz	E111	OL	E113	OL	E113	FORWARD	E111	MATERIAL_OR_STATE_BETWEEN_ACTIONS_FEEDS_NEXT_ACTION
E116	116	B1-S002	f81v	daiin	AIIN	Sollmaß	E115	CKH	E117	OK	E115	BACKWARD	E117	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION
E118	118	B1-S002	f81v	daiin	AIIN	Sollmaß	E117	OK	E119	CKH	E117	BACKWARD	E119	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION
E161	161	B1-S018	f81v	oiiin	IIN	Stufe	E160	SH	E162	SOLK	E160	BACKWARD	E162	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION
E170	170	B2-S003	f82r	dy	Y	Posten	E169	OK	E171	OK	E169	BACKWARD	E171	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION
E199	199	B2-S011	f82r	char	AR	Quelle	E198	OK	E200	OK	E198	BACKWARD	E200	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION
E203	203	B2-S012	f82r	cheey	CHEEY	Ergebnis	E202	L	E204	CTH	E204	FORWARD	E202	MATERIAL_OR_STATE_BETWEEN_ACTIONS_FEEDS_NEXT_ACTION
E257	257	B3-S013	f83r	chkain	AIN	Anteil	E256	OK	E258	CTH	E256	BACKWARD	E258	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION
E273	273	B3-S021	f83r	sy	Y	Posten	E271	CTH	E275	SHED	E271	BACKWARD	E275	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION
E290	290	B3-S026	f83r	chealror	AL+OR	Ziel+Ansatz	E289	CTH	E291	SOLK	E291	FORWARD	E289	MATERIAL_OR_STATE_BETWEEN_ACTIONS_FEEDS_NEXT_ACTION
E296	296	B3-S029	f83r	cheeety	EEE+TY	vollständig+Teil	E295	OL	E297	OK	E295	BACKWARD	E297	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION
E359	359	B4-S016	f83r	dal	AL	Ziel	E358	OL	E360	SK	E358	BACKWARD	E360	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION
E365	365	B5-S003	f83r	dal	AL	Ziel	E364	SHED	E366	OL	E364	BACKWARD	E366	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION
E369	369	B5-S003	f83r	aiin	AIIN	Sollmaß	E368	CHD	E370	OL	E368	BACKWARD	E370	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION
E371	371	B5-S003	f83r	daiiin	IIN	Stufe	E370	OL	E372	CHD	E370	BACKWARD	E372	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION
E375	375	B6-S001	f83r	raly	AL+Y	Ziel+Posten	E374	KCH	E376	OL	E374	BACKWARD	E376	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION
E377	377	B6-S001	f83r	daiin	AIIN	Sollmaß	E376	OL	E378	OL	E376	BACKWARD	E378	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION
