current_row_id	event_id	physical_page	statement_id	surface	component_recipe	catalog_intake_tier	identity_route	identity_status	factor_gate_status	execution_route	execution_decision	incoming_action	incoming_argument	scope_context_mode	scope_incoming_action	visible_separated_chains	portable_factor_rules	amber_factor_rules	blocked_factor_rules	outgoing_action_v2	outgoing_argument_v2	execution_stop_preserves_state	identity_only_when_execution_stops	legacy_gdt445_route	legacy_gdt445_decision	gdt445_correction	identity_does_not_override_execution	source_action_after	source_argument_after	state_transition_match
G446-CUR-0001	G407-E0001	f1r	G404-S001	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	T0_EXACT_OBSERVED	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:CH<-Y	NONE	NONE	S	Y	YES	NO	EXACT_CATALOG	READ	SPLIT_EXACT_IDENTITY_FROM_FACTOR_EXECUTION	YES	S	Y	YES
G446-CUR-0002	G407-E0002	f1r	G404-S001	ykal	Y+K+AL	T0_EXACT_OBSERVED	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	S	Y	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-Y|FOCUS:K<-AL	NONE	NONE	K	Y	YES	NO	EXACT_CATALOG	READ	SPLIT_EXACT_IDENTITY_FROM_FACTOR_EXECUTION	YES	K	Y	YES
G446-CUR-0003	G407-E0003	f1r	G404-S001	ar	AR	T0_EXACT_OBSERVED	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	K	Y	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AR	NONE	NONE	K	Y	YES	NO	EXACT_CATALOG	READ	SPLIT_EXACT_IDENTITY_FROM_FACTOR_EXECUTION	YES	K	Y	YES
G446-CUR-0004	G407-E0004	f1r	G404-S001	ataiin	A_ADDR+T+AIIN	T0_EXACT_OBSERVED	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	K	Y	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:T<-AIIN	NONE	NONE	T	AIIN	YES	NO	EXACT_CATALOG	READ	SPLIT_EXACT_IDENTITY_FROM_FACTOR_EXECUTION	YES	T	AIIN	YES
G446-CUR-0005	G407-E0005	f1r	G404-S001	shol	SH+OL	T0_EXACT_OBSERVED	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	T	AIIN	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	NONE	NONE	NONE	SH	AIIN	YES	NO	EXACT_CATALOG	READ	SPLIT_EXACT_IDENTITY_FROM_FACTOR_EXECUTION	YES	SH	AIIN	YES
G446-CUR-0006	G407-E0006	f1r	G404-S001	shory	SH+OR+Y	T0_EXACT_OBSERVED	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	SH	AIIN	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:SH<-OR|FOCUS:SH<-Y	NONE	NONE	SH	Y	YES	NO	EXACT_CATALOG	READ	SPLIT_EXACT_IDENTITY_FROM_FACTOR_EXECUTION	YES	SH	Y	YES
G446-CUR-0007	G407-E0007	f1r	G404-S001	cthres	CH+T+R+E+S	T0_EXACT_OBSERVED	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_VISIBLE_SLOT_CHAIN_GREEN	READ	SH	Y	AUTO_SAME_AS_OWNER_HEAD	AUTO	3:R+E+S__DIRECT_R>S_REMAINS_RED	FOCUS:T<-E|PAIR:CH>T|PAIR:T>R	NONE	NONE	S	Y	YES	NO	EXACT_CATALOG	READ	SPLIT_EXACT_IDENTITY_FROM_FACTOR_EXECUTION	YES	S	Y	YES
G446-CUR-0008	G407-E0008	f1r	G404-S001	y	Y	T0_EXACT_OBSERVED	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	S	Y	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:S<-Y	NONE	NONE	S	Y	YES	NO	EXACT_CATALOG	READ	SPLIT_EXACT_IDENTITY_FROM_FACTOR_EXECUTION	YES	S	Y	YES
G446-CUR-0009	G407-E0009	f1r	G404-S001	kor	K+OR	T0_EXACT_OBSERVED	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	S	Y	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-OR	NONE	NONE	K	OR	YES	NO	EXACT_CATALOG	READ	SPLIT_EXACT_IDENTITY_FROM_FACTOR_EXECUTION	YES	K	OR	YES
G446-CUR-0010	G407-E0010	f1r	G404-S001	sholdy	SH+OL+D_ADDR+Y	T0_EXACT_OBSERVED	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	K	OR	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:SH<-Y	NONE	NONE	SH	Y	YES	NO	EXACT_CATALOG	READ	SPLIT_EXACT_IDENTITY_FROM_FACTOR_EXECUTION	YES	SH	Y	YES
