transformation_id	transformation_family	source_recipe	source_identity_route	source_execution_route	source_execution_decision	transformed_recipe	transformed_identity_route	transformed_execution_route	transformed_execution_decision	transformed_blocked_rules	expected_change	transformation_pass	state_preserved	identity_override_used
G446-DEL-0001	DELETE_VISIBLE_FOCUS_SEPARATOR	CH+AIIN+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTE_VISIBLE_SLOT_CHAIN_GREEN	READ	CH+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	STOP	PAIR:CH>CHD	STOP_ON_PAIR:CH>CHD	YES	YES	NO
G446-DEL-0002	DELETE_VISIBLE_FOCUS_SEPARATOR	CH+AIN+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTE_VISIBLE_SLOT_CHAIN_GREEN	READ	CH+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	STOP	PAIR:CH>CHD	STOP_ON_PAIR:CH>CHD	YES	YES	NO
G446-DEL-0003	DELETE_VISIBLE_FOCUS_SEPARATOR	CH+AIR+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTE_VISIBLE_SLOT_CHAIN_GREEN	READ	CH+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	STOP	PAIR:CH>CHD	STOP_ON_PAIR:CH>CHD	YES	YES	NO
G446-DEL-0004	DELETE_VISIBLE_FOCUS_SEPARATOR	CH+AL+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTE_VISIBLE_SLOT_CHAIN_GREEN	READ	CH+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	STOP	PAIR:CH>CHD	STOP_ON_PAIR:CH>CHD	YES	YES	NO
G446-DEL-0005	DELETE_VISIBLE_FOCUS_SEPARATOR	CH+AR+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTE_VISIBLE_SLOT_CHAIN_GREEN	READ	CH+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	STOP	PAIR:CH>CHD	STOP_ON_PAIR:CH>CHD	YES	YES	NO
G446-DEL-0006	DELETE_VISIBLE_FOCUS_SEPARATOR	CH+E+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTE_VISIBLE_SLOT_CHAIN_GREEN	READ	CH+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	STOP	PAIR:CH>CHD	STOP_ON_PAIR:CH>CHD	YES	YES	NO
G446-DEL-0007	DELETE_VISIBLE_FOCUS_SEPARATOR	CH+EE+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTE_VISIBLE_SLOT_CHAIN_GREEN	READ	CH+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	STOP	PAIR:CH>CHD	STOP_ON_PAIR:CH>CHD	YES	YES	NO
G446-DEL-0008	DELETE_VISIBLE_FOCUS_SEPARATOR	CH+EEE+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTE_VISIBLE_SLOT_CHAIN_GREEN	READ	CH+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	STOP	PAIR:CH>CHD	STOP_ON_PAIR:CH>CHD	YES	YES	NO
G446-DEL-0009	DELETE_VISIBLE_FOCUS_SEPARATOR	CH+L+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTE_VISIBLE_SLOT_CHAIN_GREEN	READ	CH+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	STOP	PAIR:CH>CHD	STOP_ON_PAIR:CH>CHD	YES	YES	NO
G446-DEL-0010	DELETE_VISIBLE_FOCUS_SEPARATOR	CH+OR+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTE_VISIBLE_SLOT_CHAIN_GREEN	READ	CH+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	STOP	PAIR:CH>CHD	STOP_ON_PAIR:CH>CHD	YES	YES	NO
G446-DEL-0011	DELETE_VISIBLE_FOCUS_SEPARATOR	CH+Y+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTE_VISIBLE_SLOT_CHAIN_GREEN	READ	CH+CHD	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	STOP	PAIR:CH>CHD	STOP_ON_PAIR:CH>CHD	YES	YES	NO
G446-DEL-0012	DELETE_VISIBLE_FOCUS_SEPARATOR	CH+AIIN+SH	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTE_VISIBLE_SLOT_CHAIN_GREEN	READ	CH+SH	IDENTITY_NEW_VISIBLE_RECIPE	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	STOP	PAIR:CH>SH	STOP_ON_PAIR:CH>SH	YES	YES	NO
