motif_id	motif_name	record_unit_id	statement_locus	visible_owner	visible_sequence	component_chain	complete_translation_de	reuse_level
M01	SCHLIESSEN_DANN_PORTION	B1	B1-S005>B1-S006	gemeinsames zweireihiges Figuren-/Beckenfeld	qolchedy || qokain shckhy dl ral	weiterführen; Schluss || Anteil zugeben | durchleiten | BADZUSATZ | Zielmarke	Weiterführen; Schluss. Einen Anteil zugeben, durch den Lauf führen und den Badzusatz an die Zielmarke bringen.	EXACT_CARD_TRANSITION
M01	SCHLIESSEN_DANN_PORTION	B2	B2-S002>B2-S003	obere Paarbecken-/Zylinderstation	qolchedy || qokain dy qokeedy	weiterführen; Schluss || Anteil zugeben | dies | lange einwirken; Schluss	Durch die obere Station weiterführen; Schluss. Einen Anteil zugeben, diesen Posten länger einwirken lassen; Schluss.	EXACT_CARD_TRANSITION
M02	ZIEL_DURCHLASS_TRANSFER	B1	B1-S002	gemeinsames zweireihiges Figuren-/Beckenfeld	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	bemessen | Beckenlauf | dorthin einsetzen | davon | weiter | Portion | weiterer Anteil | dorthin | weiter | Anschluss | BADZUSATZ | derselbe Ansatz | weiter | Kurze Zielpassage | Sollwert | Langer Zieleinsatz | Sollwert | durchleiten | überführen; Schluss	Den Beckenlauf bemessen, am Ziel einsetzen und davon Portion und weiteren Anteil weiterführen; Badzusatz aus demselben Ansatz zugeben, auf Sollwert durch den Lauf überführen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M02	ZIEL_DURCHLASS_TRANSFER	B1	B1-S006	gemeinsames zweireihiges Figuren-/Beckenfeld	qokain shckhy dl ral	Anteil zugeben | durchleiten | BADZUSATZ | Zielmarke	Einen Anteil zugeben, durch den Lauf führen und den Badzusatz an die Zielmarke bringen.	PRODUCTIVE_COMPONENT_MOTIF
M02	ZIEL_DURCHLASS_TRANSFER	B2	B2-S004	obere Paarbecken-/Zylinderstation	qokal lcheckhy lched qokeey lcheckhedy	dorthin einsetzen | Abführpassage | Abführung | lange einwirken | Trennabzug; Schluss	Am Ziel einsetzen, durchleiten, abführen, länger einwirken und getrennt abziehen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M02	ZIEL_DURCHLASS_TRANSFER	B2	B2-S005	obere Paarbecken-/Zylinderstation	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	Zieleinsatz | Sollsammlung | durchleiten | bemessen | bemessen | Fortsetzung vorbereiten | Langwärmen | abziehen; Schluss	Am Ziel einsetzen, bis zum Soll sammeln, durchleiten, zweimal bemessen, die Fortsetzung vorbereiten, länger wärmen und abziehen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M02	ZIEL_DURCHLASS_TRANSFER	B2	B2-S016	lokale Randstationen des unteren Feldes	cheal lchedar ches aiin oteey qokaiin okey pchedy	dorthin | Quellabführung | GLEICHTEILEN | Sollwert | Langfolge | bemessen | kurz einwirken | Zuführung; Schluss	Zum Ziel führen, von der Quelle abführen, gleichteilen, auf Sollwert bringen, die Folge bemessen, kurz einwirken und zuführen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M03	HALTEN_DANN_ABSETZEN	B1	B1-S004	gemeinsames zweireihiges Figuren-/Beckenfeld	chedy ol shedy	überführen | weiter | kurz absetzen; Schluss	Überführen, weiterführen und kurz absetzen lassen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M03	HALTEN_DANN_ABSETZEN	B1	B1-S008	gemeinsames zweireihiges Figuren-/Beckenfeld	chey ol cheky ol shedy	dies | weiter | kurz wärmen | weiter | kurz absetzen; Schluss	Diesen Posten weiterführen, kurz wärmen, nochmals weiterführen und kurz absetzen lassen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M03	HALTEN_DANN_ABSETZEN	B1	B1-S016	gemeinsames zweireihiges Figuren-/Beckenfeld	qokal okeey qol cheedy	dorthin einsetzen | lange einwirken | weiter | kurz absetzen; Schluss	Am Ziel einsetzen, länger einwirken lassen, weiterführen und kurz absetzen lassen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M03	HALTEN_DANN_ABSETZEN	B1	B1-S019	gemeinsames zweireihiges Figuren-/Beckenfeld	tedy	kurz absetzen; Schluss	Kurz absetzen lassen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M03	HALTEN_DANN_ABSETZEN	B2	B2-S008	mittlere linke Geräte-/Inline-Knotenstation	sotaiin qokar shedy	Folgemaß | Quelleinsatz | kurz absetzen; Schluss	Das Folgemaß aus der Quelle einsetzen und kurz absetzen lassen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M03	HALTEN_DANN_ABSETZEN	B2	B2-S009	mittlere linke Geräte-/Inline-Knotenstation	solshedy	Folgeabsetzen; Schluss	Den Folgeposten absetzen lassen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M03	HALTEN_DANN_ABSETZEN	B2	B2-S011	ungelöste mittlere rechte Linie-/Liegepodeststation	okain char okain qokeedy	Anteil zugeben | davon | Anteil zugeben | lange einwirken; Schluss	Anteil zugeben, davon Anteil zugeben und länger einwirken; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M04	BEMESSEN_DANN_PASSIEREN	B1	B1-S002	gemeinsames zweireihiges Figuren-/Beckenfeld	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	bemessen | Beckenlauf | dorthin einsetzen | davon | weiter | Portion | weiterer Anteil | dorthin | weiter | Anschluss | BADZUSATZ | derselbe Ansatz | weiter | Kurze Zielpassage | Sollwert | Langer Zieleinsatz | Sollwert | durchleiten | überführen; Schluss	Den Beckenlauf bemessen, am Ziel einsetzen und davon Portion und weiteren Anteil weiterführen; Badzusatz aus demselben Ansatz zugeben, auf Sollwert durch den Lauf überführen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M04	BEMESSEN_DANN_PASSIEREN	B1	B1-S006	gemeinsames zweireihiges Figuren-/Beckenfeld	qokain shckhy dl ral	Anteil zugeben | durchleiten | BADZUSATZ | Zielmarke	Einen Anteil zugeben, durch den Lauf führen und den Badzusatz an die Zielmarke bringen.	PRODUCTIVE_COMPONENT_MOTIF
M04	BEMESSEN_DANN_PASSIEREN	B2	B2-S005	obere Paarbecken-/Zylinderstation	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	Zieleinsatz | Sollsammlung | durchleiten | bemessen | bemessen | Fortsetzung vorbereiten | Langwärmen | abziehen; Schluss	Am Ziel einsetzen, bis zum Soll sammeln, durchleiten, zweimal bemessen, die Fortsetzung vorbereiten, länger wärmen und abziehen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M04	BEMESSEN_DANN_PASSIEREN	B2	B2-S008	mittlere linke Geräte-/Inline-Knotenstation	sotaiin qokar shedy	Folgemaß | Quelleinsatz | kurz absetzen; Schluss	Das Folgemaß aus der Quelle einsetzen und kurz absetzen lassen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M04	BEMESSEN_DANN_PASSIEREN	B2	B2-S016	lokale Randstationen des unteren Feldes	cheal lchedar ches aiin oteey qokaiin okey pchedy	dorthin | Quellabführung | GLEICHTEILEN | Sollwert | Langfolge | bemessen | kurz einwirken | Zuführung; Schluss	Zum Ziel führen, von der Quelle abführen, gleichteilen, auf Sollwert bringen, die Folge bemessen, kurz einwirken und zuführen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M05	WASCH_ODER_KONTAKTABSCHLUSS	B1	B1-S009	gemeinsames zweireihiges Figuren-/Beckenfeld	qokedy	kurz einwirken; Schluss	Kurz einwirken lassen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M05	WASCH_ODER_KONTAKTABSCHLUSS	B1	B1-S012	gemeinsames zweireihiges Figuren-/Beckenfeld	lsho qokey lshedy	Waschgang | kurz einwirken | Waschgang; Schluss	Waschen, kurz einwirken lassen und nochmals waschen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M05	WASCH_ODER_KONTAKTABSCHLUSS	B1	B1-S013	gemeinsames zweireihiges Figuren-/Beckenfeld	lshedy	Waschgang; Schluss	Einen Waschgang ausführen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M05	WASCH_ODER_KONTAKTABSCHLUSS	B2	B2-S003	obere Paarbecken-/Zylinderstation	qokain dy qokeedy	Anteil zugeben | dies | lange einwirken; Schluss	Einen Anteil zugeben, diesen Posten länger einwirken lassen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M05	WASCH_ODER_KONTAKTABSCHLUSS	B2	B2-S015	lokale Randstationen des unteren Feldes	tshey qokeedy	Folgeklarlauf | lange einwirken; Schluss	An der lokalen Randstation den Folgeklarlauf länger einwirken lassen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M05	WASCH_ODER_KONTAKTABSCHLUSS	B2	B2-S018	lokale Randstationen des unteren Feldes	qokeedy	lange einwirken; Schluss	Länger einwirken lassen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M05	WASCH_ODER_KONTAKTABSCHLUSS	B2	B2-S019	lokale Randstationen des unteren Feldes	rshedy	Vollwaschung; Schluss	Eine Vollwaschung ausführen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M05	WASCH_ODER_KONTAKTABSCHLUSS	B2	B2-S021	lokale Randstationen des unteren Feldes	qokeedy	lange einwirken; Schluss	Länger einwirken lassen; Schluss.	PRODUCTIVE_COMPONENT_MOTIF
M06	EMPFANG_UND_ERGEBNIS	B1	B1-S018	gemeinsames zweireihiges Figuren-/Beckenfeld	ly dsheol oiiin olkeedy	AUFFANGSCHALE | Kurzhalt | Arbeitsstufe | lange sammeln; Schluss	In der Auffangschale kurz halten, die Arbeitsstufe setzen und länger sammeln; Schluss.	WHOLE_SIGN_PLUS_PRODUCTIVE_MOTIF
M06	EMPFANG_UND_ERGEBNIS	B2	B2-S010	mittlere linke Geräte-/Inline-Knotenstation	qokeey qoky ls cheey	lange einwirken | einsetzen | DÜSE | Ergebnis	Länger einwirken lassen, einsetzen und an der Düse das Ergebnis abnehmen.	WHOLE_SIGN_PLUS_PRODUCTIVE_MOTIF
M06	EMPFANG_UND_ERGEBNIS	B2	B2-S012	ungelöste mittlere rechte Linie-/Liegepodeststation	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	Abführgut | Ergebnis | kurz vorbereiten | lange einwirken | Klarabzug | Sollwert | dies | Volleinsatz; Schluss	Abführgut auf Ergebnis kurz vorbereiten, länger einwirken, klar abziehen, auf Sollwert bringen und vollständig einsetzen; Schluss.	WHOLE_SIGN_PLUS_PRODUCTIVE_MOTIF
