component_formula	card_count	master_card_ids	master_forms	portable_cores_de	equation_status
AIIN_TARGET_MEASURE	1	MC039	aiin	Sollmaß	CONSISTENT
AIN_PORTION	1	MC105	chkain	Portion	CONSISTENT
AL_TO	1	MC154	al	dorthin	CONSISTENT
AL_TO+R_FRAME+OR_BATCH	1	MC146	chealror	Zielbereitung	CONSISTENT
AL_TO+Y_CURRENT	1	MC046	raly	Endposten	CONSISTENT
AR_FROM	1	MC055	char	davon	CONSISTENT
AR_FROM+Y_CURRENT	1	MC009	chary	Quellposten	CONSISTENT
CFHY	1	MC129	cfhy	auswringen	CONSISTENT
CH + AIR	1	MC014	chair	laufendes Medium zugießen	CONSISTENT
CHD_TRANSFER+AL_TO	1	MC001	chdal	Zieltransfer	CONSISTENT
CHD~CHED_TRANSFER+Y_ITEM	1	MC074	chdy	überführen	CONSISTENT
CHED_TRANSFER+AIN_PORTION	1	MC145	chedain	Anteilstransfer	CONSISTENT
CHED_TRANSFER+AR_FROM	1	MC042	cheedar	Quelltransfer	CONSISTENT
CHED_TRANSFER+CHY_ITEM	1	MC064	chedchy	Postentransfer	CONSISTENT
CHED_TRANSFER+TERMINAL	1	MC025	dchedy	überführen; Schluss	CONSISTENT
CHEECKHO + DY	1	MC099	cheeckhody	auftragen; Schluss	CONSISTENT
CHEO + AR	1	MC085	cheoar	Auszug aus der Quelle	CONSISTENT
CHK_WARM+GRADE_1+Y_CURRENT_ITEM	1	MC147	cheky	kurz wärmen	CONSISTENT
CHK_WARM+GRADE_2+DY_CLOSE	1	MC110	chkeedy	Langwärmen; Schluss	CONSISTENT
CHK_WARM+GRADE_2+Y_CURRENT	1	MC166	chkeey	Langwärmen	CONSISTENT
CHK_WARM+GRADE_2+Y_CURRENT_ITEM	1	MC032	cheeky	länger bearbeiten	CONSISTENT
CHLD_SETTLE+AIIN_MEASURE	1	MC144	chldaiin	Sollabsetzung	CONSISTENT
CHO	1	MC034	cho	EINGABE_ODER_BEDINGUNG	CONSISTENT
CHO + AIIN	1	MC087	chodaiin	Zugabemaß	CONSISTENT
CHO + AL + Y	1	MC010	chodaly	Zugabe am aktuellen Ziel	CONSISTENT
CHO + OR	1	MC125	chochor	Zugabeansatz	CONSISTENT
CHO + Y	1	MC131	choy	aktuelle Zutat	CONSISTENT
