semantic_route	surface_route	groups	share_of_776
ASTRO_LOCATE_READ_RECORD	DEFAULT_OR_HABIT	349	0.4497
ASTRO_LOCATE_READ_RECORD	LOCAL_SURFACE_EXEMPLAR	46	0.0593
BIO_FORM_CARD	DEFAULT_OR_HABIT	67	0.0863
BIO_FORM_CARD	LOCAL_SURFACE_EXEMPLAR	12	0.0155
LOCAL_STATEMENT_FORM	DEFAULT_OR_HABIT	91	0.1173
LOCAL_STATEMENT_FORM	LOCAL_SURFACE_EXEMPLAR	17	0.0219
LOCAL_STATEMENT_FORM+LEARNED_WHOLE_CARD	DEFAULT_OR_HABIT	3	0.0039
SHARED_MOTIF_PLUS_LOCAL_FILL	DEFAULT_OR_HABIT	149	0.1920
SHARED_MOTIF_PLUS_LOCAL_FILL	LOCAL_SURFACE_EXEMPLAR	36	0.0464
SHARED_MOTIF_PLUS_LOCAL_FILL+LEARNED_WHOLE_CARD	DEFAULT_OR_HABIT	4	0.0052
SHARED_MOTIF_PLUS_LOCAL_FILL+LEARNED_WHOLE_CARD	LOCAL_SURFACE_EXEMPLAR	2	0.0026
