identity	surface_forms	component_recipe	slot_signature	atomic_root_reading_de	dictionary_value_de	local_fluent_expansions_de	primary_card_pattern	apprentice_action	functional_allographs	marks	orders	pages	sections	owners_or_handles_de
A1:G001	ykshy	Y+K+Y	REFERENT>OPERATION>REFERENT	POSTEN · ZUGEBEN · POSTEN	POSTEN · ZUGEBEN · POSTEN	POSTEN · ZUGEBEN · POSTEN	OPERATION_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH06	f67r2	WHEN	C1@f67r2.1; rechter Sektor-/Phasenplatz
A1:G002	s	S_LABEL	LABEL	PHASENZEICHEN	PHASENZEICHEN	PHASENZEICHEN	REFERENT_OR_LABEL	READ_LOCAL_CONDITION_WORD	NONE	1	WH06	f67r2	WHEN	C1@f67r2.1; rechter Sektor-/Phasenplatz
A1:G003	aram	AR+AM_ADDR	ADDRESS>ADDRESS	QUELLE · GEGENFELD	QUELLE · GEGENFELD	QUELLE · GEGENFELD	ARGUMENT_OR_ADDRESS	READ_LOCAL_CONDITION_WORD	NONE	1	WH06	f67r2	WHEN	C1@f67r2.1; rechter Sektor-/Phasenplatz
A1:G036	dolchsody	D_ADDR+OL+CH+S_ADDR+O+DY	ADDRESS>ORDER>OPERATION>ADDRESS>PROCESS>ENDPOINT	TEILSTELLE · FORTSETZEN · ENTNEHMEN · STERNBEZUG · ARBEITSGANG · SCHLIESSEN	TEILSTELLE · FORTSETZEN · ENTNEHMEN · STERNBEZUG · ARBEITSGANG · SCHLIESSEN	TEILSTELLE · FORTSETZEN · ENTNEHMEN · STERNBEZUG · ARBEITSGANG · SCHLIESSEN	CLOSING_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH03	f67r2	WHEN	C2@f67r2.15; linker Stern-/Aspektplatz
A2:G033	odchecthy	O+D_ADDR+CH+E+CTH+Y	PROCESS>ADDRESS>OPERATION>GRADE>STATE>REFERENT	ARBEITSGANG · TEILSTELLE · ENTNEHMEN · KURZ · BEREIT · POSTEN	ARBEITSGANG · TEILSTELLE · ENTNEHMEN · KURZ · BEREIT · POSTEN	ARBEITSGANG · TEILSTELLE · ENTNEHMEN · KURZ · BEREIT · POSTEN	OPERATION_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH05	f68r1	WHEN	C3@f68r1.9; direkter Sternort im Mehrpaneelatlas
A3:G041	yka	Y+K+A_ADDR	REFERENT>OPERATION>ADDRESS	POSTEN · ZUGEBEN · STELLE	POSTEN · ZUGEBEN · STELLE	POSTEN · ZUGEBEN · STELLE	OPERATION_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G042	chol	OL	ORDER	FORTSETZEN	FORTSETZEN	FORTSETZEN	ORDERED_INSTRUCTION	READ_LOCAL_CONDITION_WORD	ATTACHED_OR_RING_CONTINUATION->chol	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G043	ykar	Y+K+AR	REFERENT>OPERATION>ADDRESS	POSTEN · ZUGEBEN · QUELLE	POSTEN · ZUGEBEN · QUELLE	POSTEN · ZUGEBEN · QUELLE	OPERATION_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G044	dal	AL	ADDRESS	ZIELSTELLE	ZIELSTELLE	ZIELSTELLE	ARGUMENT_OR_ADDRESS	READ_LOCAL_CONDITION_WORD	DEFAULT_TARGET->dal	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G045	ykady	Y+K+A_ADDR+Y	REFERENT>OPERATION>ADDRESS>REFERENT	POSTEN · ZUGEBEN · STELLE · POSTEN	POSTEN · ZUGEBEN · STELLE · POSTEN	POSTEN · ZUGEBEN · STELLE · POSTEN	OPERATION_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
