order_mark_id	order_id	page	unit	section	surface	identity	component_recipe	slot_signature	atomic_root_reading_de	dictionary_value_de	local_fluent_expansion_de	functional_allograph	microfunction_trigger_de	owner_or_handle_de	unit_fluent_instruction_de	renderer_skeleton	predicted_surface	reading_action
WH01-R001	WH01	f10r	H1-S001	WHAT	dchey	PROC001	CH+E+Y	OPERATION>GRADE>REFERENT	ENTNEHMEN · KURZ · POSTEN	ENTNEHMEN · EIN KURZER ARBEITSGANG · POSTEN	ENTNEHMEN · EIN KURZER ARBEITSGANG · POSTEN	NOT_APPLICABLE	NOT_APPLICABLE	Bildprodukt A.G2	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.	ch-e-y/chy/chey/dy/shy/sy	dchey	READ_SHARED_CORE
WH01-R002	WH01	f10r	H1-S001	WHAT	cthoor	PROC002	CTH+O+OR	STATE>PROCESS>MATERIAL	BEREIT · ARBEITSGANG · ANSATZ	BEREITEN · ARBEITSGANG · ANSATZ	BEREITEN · ARBEITSGANG · ANSATZ	NOT_APPLICABLE	NOT_APPLICABLE	Bildprodukt A.G2	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.	cth-o-or	cthoor	READ_SHARED_CORE
WH01-R003	WH01	f10r	H1-S001	WHAT	char	PROC003	AR	ADDRESS	QUELLE	QUELLE	QUELLE	ACTIVE_SOURCE	die aktiv benutzte Quelle einer Prosaoperation	Bildprodukt A.G2	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.	ar	char	READ_SHARED_CORE
WH01-R004	WH01	f10r	H1-S001	WHAT	chety	PROC004	T+Y	OPERATION>REFERENT	BEARBEITEN · POSTEN	BEARBEITEN · POSTEN	BEARBEITEN · POSTEN	NOT_APPLICABLE	NOT_APPLICABLE	Bildprodukt A.G2	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.	t-y/chy/chey/dy/shy/sy	chety	READ_SHARED_CORE
WH01-R005	WH01	f10r	H1-S001	WHAT	os	PROC005	OS	ORDER	DAZU	DAZU	DAZU	NOT_APPLICABLE	NOT_APPLICABLE	Bildprodukt A.G2	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.	os	os	READ_SHARED_CORE
WH01-R006	WH01	f10r	H1-S001	WHAT	chair	PROC006	CH+AIR	OPERATION>PATH	ENTNEHMEN · LAUF	ENTNEHMEN · WASSER	ENTNEHMEN · WASSER	NOT_APPLICABLE	NOT_APPLICABLE	Bildprodukt A.G2	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.	ch-air	chair	READ_SHARED_CORE
WH01-R007	WH01	f10r	H1-S001	WHAT	otytchol	PROC007	OT+Y+T+CH+OL	ORDER>REFERENT>OPERATION>OPERATION>ORDER	DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · FORTSETZEN	DANACH DIESEN POSTEN BEARBEITEN, ENTNEHMEN UND WEITERFUEHREN	DANACH DIESEN POSTEN BEARBEITEN, ENTNEHMEN UND WEITERFUEHREN	NOT_APPLICABLE	NOT_APPLICABLE	Bildprodukt A.G2	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.	qot/ot-y/chy/chey/dy/shy/sy-t-ch-ol/chol/qol/ls/sol	otytchol	READ_SHARED_CORE
WH01-R008	WH01	f10r	H1-S001	WHAT	qoky	PROC008	OK+Y	OPERATION>REFERENT	ANSETZEN · POSTEN	ANSETZEN · POSTEN	ANSETZEN · POSTEN	DEFAULT_CURRENT_START	den gewöhnlichen aktuellen Posten ansetzen	Bildprodukt A.G2	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.	qok/ok/chok-y/chy/chey/dy/shy/sy	qoky	READ_SHARED_CORE
WH01-R009	WH01	f10r	H1-S001	WHAT	daiin	PROC009	AIIN	ARGUMENT	MASS	EIN KLEINER SCHOEPFBECHER	EIN KLEINER SCHOEPFBECHER	OPERATIONAL_MEASURE	das Maß innerhalb einer Prosaoperation	Bildprodukt A.G2	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.	aiin	daiin	READ_SHARED_CORE
WH01-R010	WH01	f10r	H1-S001	WHAT	etyd	PROC010	E+T+Y	GRADE>OPERATION>REFERENT	KURZ · BEARBEITEN · POSTEN	DEN POSTEN KURZ WEITERBEARBEITEN	DEN POSTEN KURZ WEITERBEARBEITEN	NOT_APPLICABLE	NOT_APPLICABLE	Bildprodukt A.G2	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.	e-t-y/chy/chey/dy/shy/sy	etyd	READ_SHARED_CORE
WH01-R011	WH01	f10r	H1-S002	WHAT	qokchy	PROC011	OK+Y	OPERATION>REFERENT	ANSETZEN · POSTEN	ANSETZEN · POSTEN	ANSETZEN · POSTEN	ARTICLE_INITIAL_CURRENT_START	den ersten aktuellen Posten eines Herstellungsartikels ansetzen	Bildprodukt A.G2	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	qok/ok/chok-y/chy/chey/dy/shy/sy	qokchy	READ_SHARED_CORE
WH01-R012	WH01	f10r	H1-S002	WHAT	qotchol	PROC012	OT+CH+OL	ORDER>OPERATION>ORDER	DANACH · ENTNEHMEN · FORTSETZEN	DANACH · ENTNEHMEN · WEITER	DANACH · ENTNEHMEN · WEITER	NOT_APPLICABLE	NOT_APPLICABLE	Bildprodukt A.G2	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	qot/ot-ch-ol/chol/qol/ls/sol	qotchol	READ_SHARED_CORE
WH01-R013	WH01	f10r	H1-S002	WHAT	ol	PROC013	OL	ORDER	FORTSETZEN	FORTSETZEN	FORTSETZEN	GENERAL_CONTINUATION	den allgemeinen Arbeitsgang fortsetzen	Bildprodukt A.G2	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	ol/chol/qol/ls/sol	ol	READ_SHARED_CORE
WH01-R014	WH01	f10r	H1-S002	WHAT	checthy	PROC014	CTH+Y	STATE>REFERENT	BEREIT · POSTEN	BEREITEN · POSTEN	BEREITEN · POSTEN	NOT_APPLICABLE	NOT_APPLICABLE	Bildprodukt A.G2	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	cth-y/chy/chey/dy/shy/sy	checthy	READ_SHARED_CORE
WH01-R015	WH01	f81v	B1-S001	HOW	qokedy	PROC067	OK+E+DY	OPERATION>GRADE>ENDPOINT	ANSETZEN · KURZ · SCHLIESSEN	ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	NOT_APPLICABLE	NOT_APPLICABLE	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen.	qok/ok/chok-e-dy	qokedy	READ_SHARED_CORE
WH01-R016	WH01	f81v	B1-S002	HOW	qokaiin	PROC038	OK+AIIN	OPERATION>ARGUMENT	ANSETZEN · MASS	ANSETZEN · EIN KLEINER SCHOEPFBECHER	ANSETZEN · EIN KLEINER SCHOEPFBECHER	NOT_APPLICABLE	NOT_APPLICABLE	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	qok/ok/chok-aiin	qokaiin	READ_SHARED_CORE
WH01-R017	WH01	f81v	B1-S002	HOW	kair	PROC068	K+AIR	OPERATION>PATH	ZUGEBEN · LAUF	ZUGEBEN · LAUF	WASSER ZUGEBEN	NOT_APPLICABLE	NOT_APPLICABLE	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	k-air	kair	READ_ROOT_COMPOSITION
WH01-R018	WH01	f81v	B1-S002	HOW	qokal	PROC048	OK+AL	OPERATION>ADDRESS	ANSETZEN · ZIELSTELLE	ANSETZEN · ZIELSTELLE	ANSETZEN · ZIELSTELLE	NOT_APPLICABLE	NOT_APPLICABLE	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	qok/ok/chok-al	qokal	READ_SHARED_CORE
WH01-R019	WH01	f81v	B1-S002	HOW	char	PROC003	AR	ADDRESS	QUELLE	QUELLE	QUELLE	ACTIVE_SOURCE	die aktiv benutzte Quelle einer Prosaoperation	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	ar	char	READ_SHARED_CORE
WH01-R020	WH01	f81v	B1-S002	HOW	ol	PROC013	OL	ORDER	FORTSETZEN	FORTSETZEN	FORTSETZEN	GENERAL_CONTINUATION	den allgemeinen Arbeitsgang fortsetzen	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	ol/chol/qol/ls/sol	ol	READ_SHARED_CORE
WH01-R021	WH01	f81v	B1-S002	HOW	kain	PROC069	K+AIN	OPERATION>ARGUMENT	ZUGEBEN · PORTION	ZUGEBEN · EIN ABGEGRENZTER TEIL	ZUGEBEN · EIN ABGEGRENZTER TEIL	NOT_APPLICABLE	NOT_APPLICABLE	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	k-ain	kain	READ_SHARED_CORE
WH01-R022	WH01	f81v	B1-S002	HOW	olkain	PROC070	OL+K+AIN	ORDER>OPERATION>ARGUMENT	FORTSETZEN · ZUGEBEN · PORTION	WEITER · ZUGEBEN · EIN ABGEGRENZTER TEIL	WEITER · ZUGEBEN · EIN ABGEGRENZTER TEIL	NOT_APPLICABLE	NOT_APPLICABLE	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	ol/chol/qol/ls/sol-k-ain	olkain	READ_SHARED_CORE
WH01-R023	WH01	f81v	B1-S002	HOW	dal	PROC055	AL	ADDRESS	ZIELSTELLE	ZIELSTELLE	ZIELSTELLE	DEFAULT_TARGET	die gewöhnliche Zielstelle	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	al	dal	READ_SHARED_CORE
WH01-R024	WH01	f81v	B1-S002	HOW	ol	PROC013	OL	ORDER	FORTSETZEN	FORTSETZEN	FORTSETZEN	GENERAL_CONTINUATION	den allgemeinen Arbeitsgang fortsetzen	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	ol/chol/qol/ls/sol	ol	READ_SHARED_CORE
